;Tarih;TP_01TKFE
0;2010-1;96.92
1;2010-2;97.22
2;2010-3;97.77
3;2010-4;98.39
4;2010-5;98.95
5;2010-6;99.47
6;2010-7;100.05
7;2010-8;100.94
8;2010-9;101.59
9;2010-10;102.2
10;2010-11;102.88
11;2010-12;103.56
12;2011-1;104.29
13;2011-2;105.45
14;2011-3;106.61
15;2011-4;107.76
16;2011-5;109.41
17;2011-6;110.51
18;2011-7;111.22
19;2011-8;111.42
20;2011-9;112.68
21;2011-10;113.63
22;2011-11;114.3
23;2011-12;115.3
24;2012-1;116.22
25;2012-2;117.97
26;2012-3;119.0
27;2012-4;120.56
28;2012-5;121.83
29;2012-6;123.16
30;2012-7;124.13
31;2012-8;125.32
32;2012-9;125.97
33;2012-10;126.72
34;2012-11;127.46
35;2012-12;128.61
36;2013-1;130.06
37;2013-2;131.86
38;2013-3;133.46
39;2013-4;135.14
40;2013-5;136.73
41;2013-6;138.54
42;2013-7;140.13
43;2013-8;141.24
44;2013-9;142.21
45;2013-10;143.22
46;2013-11;145.35
47;2013-12;146.37
48;2014-1;147.55
49;2014-2;148.98
50;2014-3;150.81
51;2014-4;153.41
52;2014-5;155.4
53;2014-6;157.92
54;2014-7;160.63
55;2014-8;162.72
56;2014-9;164.02
57;2014-10;166.05
58;2014-11;168.26
59;2014-12;169.99
60;2015-1;172.19
61;2015-2;175.16
62;2015-3;178.78
63;2015-4;181.79
64;2015-5;184.98
65;2015-6;187.83
66;2015-7;190.75
67;2015-8;192.42
68;2015-9;194.36
69;2015-10;197.1
70;2015-11;199.59
71;2015-12;201.28
72;2016-1;202.32
73;2016-2;203.95
74;2016-3;206.22
75;2016-4;208.52
76;2016-5;211.93
77;2016-6;213.89
78;2016-7;217.41
79;2016-8;219.7
80;2016-9;221.38
81;2016-10;222.45
82;2016-11;224.05
83;2016-12;225.95
84;2017-1;228.61
85;2017-2;231.14
86;2017-3;233.8
87;2017-4;235.9
88;2017-5;238.73
89;2017-6;241.04
90;2017-7;242.66
91;2017-8;244.51
92;2017-9;246.1
93;2017-10;248.42
94;2017-11;249.37
95;2017-12;251.09
96;2018-1;252.1
97;2018-2;254.47
98;2018-3;255.88
99;2018-4;259.77
100;2018-5;264.05
101;2018-6;266.36
102;2018-7;268.1
103;2018-8;268.66
104;2018-9;270.84
105;2018-10;274.49
106;2018-11;275.46
107;2018-12;273.99
108;2019-1;271.27
