;Tarih;TP_01TYKFE
0;2010-1;96.9
1;2010-2;96.62
2;2010-3;97.37
3;2010-4;97.82
4;2010-5;98.6
5;2010-6;99.25
6;2010-7;100.19
7;2010-8;101.28
8;2010-9;102.08
9;2010-10;102.67
10;2010-11;103.16
11;2010-12;104.0
12;2011-1;103.31
13;2011-2;105.23
14;2011-3;106.38
15;2011-4;107.92
16;2011-5;109.36
17;2011-6;110.46
18;2011-7;110.74
19;2011-8;111.52
20;2011-9;112.71
21;2011-10;113.58
22;2011-11;113.83
23;2011-12;114.73
24;2012-1;115.95
25;2012-2;118.61
26;2012-3;120.17
27;2012-4;121.37
28;2012-5;121.92
29;2012-6;122.3
30;2012-7;123.09
31;2012-8;125.36
32;2012-9;126.46
33;2012-10;127.26
34;2012-11;127.71
35;2012-12;129.11
36;2013-1;128.65
37;2013-2;131.25
38;2013-3;133.41
39;2013-4;134.58
40;2013-5;136.18
41;2013-6;137.43
42;2013-7;139.11
43;2013-8;140.7
44;2013-9;142.37
45;2013-10;143.39
46;2013-11;144.8
47;2013-12;145.56
48;2014-1;147.55
49;2014-2;149.75
50;2014-3;151.0
51;2014-4;152.13
52;2014-5;153.74
53;2014-6;156.11
54;2014-7;158.3
55;2014-8;160.79
56;2014-9;162.42
57;2014-10;164.8
58;2014-11;166.66
59;2014-12;168.28
60;2015-1;167.68
61;2015-2;171.43
62;2015-3;175.28
63;2015-4;177.72
64;2015-5;180.69
65;2015-6;183.22
66;2015-7;185.63
67;2015-8;187.87
68;2015-9;188.22
69;2015-10;190.91
70;2015-11;192.65
71;2015-12;194.51
72;2016-1;193.26
73;2016-2;196.54
74;2016-3;199.02
75;2016-4;200.56
76;2016-5;203.3
77;2016-6;204.82
78;2016-7;207.72
79;2016-8;208.71
80;2016-9;210.38
81;2016-10;212.72
82;2016-11;214.53
83;2016-12;216.45
84;2017-1;217.39
85;2017-2;221.31
86;2017-3;224.27
87;2017-4;224.57
88;2017-5;226.15
89;2017-6;228.2
90;2017-7;229.69
91;2017-8;231.6
92;2017-9;234.91
93;2017-10;237.5
94;2017-11;238.38
95;2017-12;238.64
96;2018-1;240.11
97;2018-2;242.85
98;2018-3;243.65
99;2018-4;246.42
100;2018-5;248.95
101;2018-6;251.3
102;2018-7;252.9
103;2018-8;254.69
104;2018-9;256.06
105;2018-10;258.72
106;2018-11;257.65
107;2018-12;259.96
108;2019-1;261.13
