;Tarih;TP_03ANKARA_Y
0;2010-1;97.0
1;2010-2;96.73
2;2010-3;97.91
3;2010-4;98.19
4;2010-5;98.65
5;2010-6;98.91
6;2010-7;99.82
7;2010-8;101.52
8;2010-9;102.11
9;2010-10;102.41
10;2010-11;102.47
11;2010-12;104.22
12;2011-1;105.08
13;2011-2;106.85
14;2011-3;107.65
15;2011-4;108.63
16;2011-5;109.86
17;2011-6;109.97
18;2011-7;110.42
19;2011-8;111.55
20;2011-9;112.91
21;2011-10;113.87
22;2011-11;112.63
23;2011-12;114.11
24;2012-1;117.55
25;2012-2;120.21
26;2012-3;122.62
27;2012-4;123.59
28;2012-5;122.8
29;2012-6;120.45
30;2012-7;121.33
31;2012-8;124.42
32;2012-9;125.27
33;2012-10;125.08
34;2012-11;125.24
35;2012-12;126.5
36;2013-1;126.07
37;2013-2;129.42
38;2013-3;132.99
39;2013-4;133.65
40;2013-5;133.88
41;2013-6;134.07
42;2013-7;134.88
43;2013-8;136.99
44;2013-9;139.7
45;2013-10;141.56
46;2013-11;141.24
47;2013-12;141.83
48;2014-1;147.95
49;2014-2;148.42
50;2014-3;150.8
51;2014-4;147.38
52;2014-5;149.82
53;2014-6;150.28
54;2014-7;152.9
55;2014-8;154.46
56;2014-9;157.01
57;2014-10;159.07
58;2014-11;160.08
59;2014-12;160.41
60;2015-1;158.93
61;2015-2;163.21
62;2015-3;166.93
63;2015-4;168.72
64;2015-5;170.81
65;2015-6;171.33
66;2015-7;174.66
67;2015-8;175.98
68;2015-9;174.69
69;2015-10;177.49
70;2015-11;181.02
71;2015-12;183.42
72;2016-1;183.89
73;2016-2;182.94
74;2016-3;183.17
75;2016-4;184.9
76;2016-5;186.93
77;2016-6;189.73
78;2016-7;195.68
79;2016-8;191.1
80;2016-9;193.81
81;2016-10;198.64
82;2016-11;203.64
83;2016-12;205.95
84;2017-1;207.63
85;2017-2;209.03
86;2017-3;210.99
87;2017-4;208.4
88;2017-5;210.36
89;2017-6;208.67
90;2017-7;208.03
91;2017-8;206.77
92;2017-9;213.27
93;2017-10;214.95
94;2017-11;216.69
95;2017-12;215.74
96;2018-1;220.83
97;2018-2;221.0
98;2018-3;216.37
99;2018-4;217.11
100;2018-5;224.29
101;2018-6;227.92
102;2018-7;230.23
103;2018-8;233.95
104;2018-9;240.57
105;2018-10;245.23
106;2018-11;241.42
107;2018-12;245.35
108;2019-1;245.01
