;Tarih;TP_03TR51
0;2010-1;96.63
1;2010-2;97.14
2;2010-3;98.05
3;2010-4;98.69
4;2010-5;99.54
5;2010-6;99.94
6;2010-7;100.56
7;2010-8;101.37
8;2010-9;101.79
9;2010-10;101.82
10;2010-11;101.85
11;2010-12;102.55
12;2011-1;103.79
13;2011-2;105.05
14;2011-3;106.17
15;2011-4;106.94
16;2011-5;108.49
17;2011-6;109.3
18;2011-7;109.8
19;2011-8;110.22
20;2011-9;111.41
21;2011-10;111.74
22;2011-11;112.05
23;2011-12;112.04
24;2012-1;112.69
25;2012-2;114.13
26;2012-3;115.88
27;2012-4;117.85
28;2012-5;118.69
29;2012-6;119.16
30;2012-7;119.7
31;2012-8;120.15
32;2012-9;121.09
33;2012-10;121.56
34;2012-11;122.43
35;2012-12;123.04
36;2013-1;123.62
37;2013-2;125.01
38;2013-3;126.81
39;2013-4;128.61
40;2013-5;129.93
41;2013-6;131.29
42;2013-7;132.1
43;2013-8;132.64
44;2013-9;133.28
45;2013-10;134.22
46;2013-11;135.78
47;2013-12;136.35
48;2014-1;137.6
49;2014-2;139.11
50;2014-3;141.1
51;2014-4;141.99
52;2014-5;143.69
53;2014-6;144.74
54;2014-7;146.68
55;2014-8;147.64
56;2014-9;148.78
57;2014-10;150.53
58;2014-11;151.39
59;2014-12;152.07
60;2015-1;152.16
61;2015-2;154.19
62;2015-3;157.02
63;2015-4;158.8
64;2015-5;161.02
65;2015-6;162.31
66;2015-7;163.83
67;2015-8;165.66
68;2015-9;166.69
69;2015-10;169.02
70;2015-11;169.77
71;2015-12;170.86
72;2016-1;171.59
73;2016-2;172.2
74;2016-3;172.59
75;2016-4;173.48
76;2016-5;176.26
77;2016-6;177.55
78;2016-7;178.73
79;2016-8;178.74
80;2016-9;181.33
81;2016-10;183.55
82;2016-11;185.18
83;2016-12;186.24
84;2017-1;186.77
85;2017-2;188.09
86;2017-3;189.95
87;2017-4;190.99
88;2017-5;192.65
89;2017-6;192.67
90;2017-7;193.09
91;2017-8;193.48
92;2017-9;195.17
93;2017-10;196.99
94;2017-11;197.3
95;2017-12;198.37
96;2018-1;197.93
97;2018-2;200.06
98;2018-3;200.54
99;2018-4;203.98
100;2018-5;206.71
101;2018-6;208.95
102;2018-7;209.64
103;2018-8;209.42
104;2018-9;212.68
105;2018-10;214.56
106;2018-11;214.92
107;2018-12;215.87
108;2019-1;215.01
