;Tarih;TP_21TRA1
0;2010-1;95.69
1;2010-2;95.44
2;2010-3;96.7
3;2010-4;96.78
4;2010-5;100.04
5;2010-6;100.2
6;2010-7;102.71
7;2010-8;100.7
8;2010-9;100.2
9;2010-10;100.2
10;2010-11;104.38
11;2010-12;106.88
12;2011-1;109.21
13;2011-2;111.38
14;2011-3;111.38
15;2011-4;113.56
16;2011-5;113.89
17;2011-6;115.56
18;2011-7;115.23
19;2011-8;115.23
20;2011-9;121.4
21;2011-10;127.83
22;2011-11;134.93
23;2011-12;136.1
24;2012-1;134.09
25;2012-2;127.91
26;2012-3;125.24
27;2012-4;128.83
28;2012-5;133.59
29;2012-6;139.1
30;2012-7;143.78
31;2012-8;147.95
32;2012-9;149.04
33;2012-10;149.37
34;2012-11;149.62
35;2012-12;150.46
36;2013-1;150.29
37;2013-2;153.79
38;2013-3;154.13
39;2013-4;156.63
40;2013-5;156.13
41;2013-6;157.47
42;2013-7;157.13
43;2013-8;156.63
44;2013-9;157.13
45;2013-10;159.81
46;2013-11;166.99
47;2013-12;166.99
48;2014-1;168.21
49;2014-2;168.57
50;2014-3;169.42
51;2014-4;172.26
52;2014-5;172.99
53;2014-6;172.66
54;2014-7;172.98
55;2014-8;173.02
56;2014-9;174.6
57;2014-10;177.03
58;2014-11;179.45
59;2014-12;179.54
60;2015-1;181.38
61;2015-2;178.8
62;2015-3;177.03
63;2015-4;176.37
64;2015-5;177.93
65;2015-6;179.39
66;2015-7;181.61
67;2015-8;182.1
68;2015-9;183.37
69;2015-10;189.13
70;2015-11;192.17
71;2015-12;195.4
72;2016-1;193.4
73;2016-2;189.95
74;2016-3;191.76
75;2016-4;193.17
76;2016-5;191.51
77;2016-6;192.3
78;2016-7;194.86
79;2016-8;199.21
80;2016-9;198.68
81;2016-10;195.45
82;2016-11;198.25
83;2016-12;201.56
84;2017-1;209.06
85;2017-2;208.15
86;2017-3;214.42
87;2017-4;219.4
88;2017-5;222.59
89;2017-6;225.34
90;2017-7;222.71
91;2017-8;226.01
92;2017-9;228.34
93;2017-10;230.3
94;2017-11;237.42
95;2017-12;242.9
96;2018-1;243.75
97;2018-2;238.18
98;2018-3;237.35
99;2018-4;241.32
100;2018-5;247.87
101;2018-6;251.26
102;2018-7;258.31
103;2018-8;257.83
104;2018-9;262.59
105;2018-10;251.38
106;2018-11;250.12
107;2018-12;267.91
108;2019-1;240.02
