;Tarih;TP_27TRC3
0;2010-1;95.37
1;2010-2;99.34
2;2010-3;97.99
3;2010-4;99.34
4;2010-5;97.91
5;2010-6;99.34
6;2010-7;99.34
7;2010-8;100.29
8;2010-9;99.5
9;2010-10;101.49
10;2010-11;104.03
11;2010-12;106.02
12;2011-1;106.02
13;2011-2;106.02
14;2011-3;107.92
15;2011-4;108.72
16;2011-5;108.4
17;2011-6;112.21
18;2011-7;113.49
19;2011-8;112.85
20;2011-9;109.99
21;2011-10;108.48
22;2011-11;111.42
23;2011-12;117.94
24;2012-1;118.41
25;2012-2;121.11
26;2012-3;114.99
27;2012-4;117.94
28;2012-5;119.21
29;2012-6;124.21
30;2012-7;125.41
31;2012-8;127.15
32;2012-9;122.23
33;2012-10;122.23
34;2012-11;121.43
35;2012-12;121.91
36;2013-1;121.91
37;2013-2;125.4
38;2013-3;127.15
39;2013-4;129.53
40;2013-5;130.01
41;2013-6;131.2
42;2013-7;132.08
43;2013-8;131.6
44;2013-9;134.78
45;2013-10;136.21
46;2013-11;138.28
47;2013-12;137.8
48;2014-1;135.38
49;2014-2;138.5
50;2014-3;138.97
51;2014-4;146.04
52;2014-5;145.31
53;2014-6;148.59
54;2014-7;150.87
55;2014-8;151.79
56;2014-9;154.3
57;2014-10;155.9
58;2014-11;159.36
59;2014-12;160.34
60;2015-1;163.2
61;2015-2;165.67
62;2015-3;164.36
63;2015-4;163.35
64;2015-5;162.89
65;2015-6;166.29
66;2015-7;168.42
67;2015-8;161.1
68;2015-9;161.05
69;2015-10;161.1
70;2015-11;166.71
71;2015-12;167.11
72;2016-1;169.24
73;2016-2;171.21
74;2016-3;169.68
75;2016-4;169.42
76;2016-5;171.28
77;2016-6;173.89
78;2016-7;175.1
79;2016-8;172.24
80;2016-9;173.21
81;2016-10;172.5
82;2016-11;173.31
83;2016-12;173.35
84;2017-1;171.36
85;2017-2;172.43
86;2017-3;173.39
87;2017-4;174.36
88;2017-5;173.82
89;2017-6;176.7
90;2017-7;178.53
91;2017-8;179.88
92;2017-9;179.9
93;2017-10;178.11
94;2017-11;177.1
95;2017-12;176.75
96;2018-1;178.93
97;2018-2;179.58
98;2018-3;182.03
99;2018-4;185.26
100;2018-5;189.94
101;2018-6;190.37
102;2018-7;190.25
103;2018-8;184.78
104;2018-9;179.34
105;2018-10;178.74
106;2018-11;180.22
107;2018-12;184.7
108;2019-1;191.24
