;Tarih;TP_AOFO
0;07-01-2011;7.2
1;10-01-2011;6.77
2;11-01-2011;6.65
3;12-01-2011;5.41
4;13-01-2011;5.41
5;14-01-2011;6.78
6;17-01-2011;6.91
7;18-01-2011;6.34
8;19-01-2011;6.95
9;20-01-2011;6.35
10;21-01-2011;6.99
11;24-01-2011;6.98
12;25-01-2011;6.94
13;26-01-2011;6.49
14;27-01-2011;5.93
15;28-01-2011;6.76
16;31-01-2011;6.12
17;01-02-2011;5.87
18;02-02-2011;4.75
19;03-02-2011;3.76
20;04-02-2011;7.1
21;07-02-2011;6.8
22;08-02-2011;6.69
23;09-02-2011;6.37
24;10-02-2011;6.21
25;11-02-2011;6.45
26;14-02-2011;6.64
27;15-02-2011;6.99
28;16-02-2011;6.86
29;17-02-2011;6.22
30;18-02-2011;7.14
31;21-02-2011;7.38
32;22-02-2011;7.5
33;23-02-2011;6.5
34;24-02-2011;5.93
35;25-02-2011;6.29
36;28-02-2011;6.02
37;01-03-2011;6.24
38;02-03-2011;
39;03-03-2011;
40;04-03-2011;7.38
41;07-03-2011;
42;08-03-2011;
43;09-03-2011;
44;10-03-2011;7.05
45;11-03-2011;
46;14-03-2011;
47;15-03-2011;7.1
48;16-03-2011;7.25
49;17-03-2011;7.25
50;18-03-2011;7.08
51;21-03-2011;6.95
52;22-03-2011;6.38
53;23-03-2011;6.1
54;24-03-2011;
55;25-03-2011;6.47
56;28-03-2011;7.14
57;29-03-2011;7.39
58;30-03-2011;7.28
59;31-03-2011;6.9
60;01-04-2011;7.61
61;04-04-2011;7.24
62;05-04-2011;7.72
63;06-04-2011;7.74
64;07-04-2011;
65;08-04-2011;
66;11-04-2011;
67;12-04-2011;
68;13-04-2011;
69;14-04-2011;
70;15-04-2011;7.59
71;18-04-2011;
72;19-04-2011;
73;20-04-2011;
74;21-04-2011;
75;22-04-2011;
76;25-04-2011;
77;26-04-2011;
78;27-04-2011;
79;28-04-2011;
80;29-04-2011;7.47
81;02-05-2011;
82;03-05-2011;
83;04-05-2011;
84;05-05-2011;
85;06-05-2011;
86;09-05-2011;
87;10-05-2011;
88;11-05-2011;7.72
89;12-05-2011;6.76
90;13-05-2011;7.43
91;16-05-2011;7.5
92;17-05-2011;6.85
93;18-05-2011;7.0
94;19-05-2011;
95;20-05-2011;7.15
96;23-05-2011;7.0
97;24-05-2011;6.69
98;25-05-2011;5.38
99;26-05-2011;6.47
100;27-05-2011;7.73
101;30-05-2011;
102;31-05-2011;7.77
103;01-06-2011;7.8
104;02-06-2011;7.8
105;03-06-2011;7.9
106;06-06-2011;7.7
107;07-06-2011;7.75
108;08-06-2011;7.89
109;09-06-2011;7.38
110;10-06-2011;7.73
111;13-06-2011;7.01
112;14-06-2011;
113;15-06-2011;6.5
114;16-06-2011;6.6
115;17-06-2011;7.34
116;20-06-2011;
117;21-06-2011;7.24
118;22-06-2011;7.45
119;23-06-2011;7.0
120;24-06-2011;7.92
121;27-06-2011;7.6
122;28-06-2011;7.77
123;29-06-2011;7.28
124;30-06-2011;7.33
125;01-07-2011;7.42
126;04-07-2011;7.2
127;05-07-2011;7.0
128;06-07-2011;6.75
129;07-07-2011;
130;08-07-2011;8.39
131;11-07-2011;7.5
132;12-07-2011;7.6
133;13-07-2011;
134;14-07-2011;
135;15-07-2011;
136;18-07-2011;
137;19-07-2011;5.9
138;20-07-2011;6.0
139;21-07-2011;
140;22-07-2011;8.48
141;25-07-2011;7.6
142;26-07-2011;7.68
143;27-07-2011;7.22
144;28-07-2011;7.0
145;29-07-2011;7.0
146;01-08-2011;7.0
147;02-08-2011;7.7
148;03-08-2011;7.8
149;04-08-2011;7.9
150;05-08-2011;8.43
151;08-08-2011;
152;09-08-2011;
153;10-08-2011;
154;11-08-2011;
155;12-08-2011;
156;15-08-2011;
157;16-08-2011;
158;17-08-2011;
159;18-08-2011;6.5
160;19-08-2011;
161;22-08-2011;
162;23-08-2011;
163;24-08-2011;
164;25-08-2011;
165;26-08-2011;
166;29-08-2011;
167;30-08-2011;
168;31-08-2011;
169;01-09-2011;
170;02-09-2011;
171;05-09-2011;
172;06-09-2011;
173;07-09-2011;
174;08-09-2011;
175;09-09-2011;
176;12-09-2011;
177;13-09-2011;
178;14-09-2011;
179;15-09-2011;6.0
180;16-09-2011;6.9
181;19-09-2011;7.25
182;20-09-2011;
183;21-09-2011;
184;22-09-2011;
185;23-09-2011;7.74
186;26-09-2011;7.54
187;27-09-2011;6.78
188;28-09-2011;6.34
189;29-09-2011;6.42
190;30-09-2011;6.5
191;03-10-2011;6.7
192;04-10-2011;6.62
193;05-10-2011;6.5
194;06-10-2011;6.66
195;07-10-2011;6.73
196;10-10-2011;6.85
197;11-10-2011;7.03
198;12-10-2011;7.06
199;13-10-2011;6.73
200;14-10-2011;6.51
201;17-10-2011;7.06
202;18-10-2011;7.36
203;19-10-2011;7.97
204;20-10-2011;8.0
205;21-10-2011;11.34
206;24-10-2011;11.1
207;25-10-2011;11.5
208;26-10-2011;12.27
209;27-10-2011;12.43
210;28-10-2011;12.41
211;31-10-2011;11.8
212;01-11-2011;11.08
213;02-11-2011;9.82
214;03-11-2011;9.64
215;04-11-2011;10.32
216;07-11-2011;
217;08-11-2011;
218;09-11-2011;
219;10-11-2011;10.1
220;11-11-2011;8.51
221;14-11-2011;11.61
222;15-11-2011;11.81
223;16-11-2011;11.25
224;17-11-2011;10.67
225;18-11-2011;11.56
226;21-11-2011;11.85
227;22-11-2011;12.46
228;23-11-2011;12.4
229;24-11-2011;12.16
230;25-11-2011;12.43
231;28-11-2011;12.46
232;29-11-2011;12.48
233;30-11-2011;12.43
234;01-12-2011;12.45
235;02-12-2011;12.47
236;05-12-2011;12.48
237;06-12-2011;12.48
238;07-12-2011;12.48
239;08-12-2011;12.23
240;09-12-2011;12.48
241;12-12-2011;12.49
242;13-12-2011;12.48
243;14-12-2011;12.48
244;15-12-2011;12.49
245;16-12-2011;12.49
246;19-12-2011;12.49
247;20-12-2011;12.49
248;21-12-2011;12.44
249;22-12-2011;11.83
250;23-12-2011;12.45
251;26-12-2011;12.47
252;27-12-2011;12.37
253;28-12-2011;11.79
254;29-12-2011;10.37
255;30-12-2011;11.46
256;02-01-2012;11.84
257;03-01-2012;11.73
258;04-01-2012;10.98
259;05-01-2012;11.46
260;06-01-2012;12.39
261;09-01-2012;12.45
262;10-01-2012;12.37
263;11-01-2012;11.78
264;12-01-2012;11.92
265;13-01-2012;11.97
266;16-01-2012;11.81
267;17-01-2012;11.66
268;18-01-2012;11.66
269;19-01-2012;11.29
270;20-01-2012;11.79
271;23-01-2012;11.64
272;24-01-2012;11.64
273;25-01-2012;11.6
274;26-01-2012;11.04
275;27-01-2012;10.44
276;30-01-2012;10.28
277;31-01-2012;11.4
278;01-02-2012;11.27
279;02-02-2012;10.68
280;03-02-2012;11.21
281;06-02-2012;11.2
282;07-02-2012;11.31
283;08-02-2012;11.36
