;Tarih;TP_BEK_S01_B_A
0;2013-1;0.51
1;2013-2;0.53
2;2013-3;0.72
3;2013-4;0.46
4;2013-5;-0.11
5;2013-6;0.11
6;2013-7;0.29
7;2013-8;0.68
8;2013-9;1.09
9;2013-10;0.7
10;2013-11;0.39
11;2013-12;0.71
12;2014-1;0.6
13;2014-2;0.69
14;2014-3;0.8
15;2014-4;0.59
16;2014-5;0.25
17;2014-6;0.15
18;2014-7;0.12
19;2014-8;0.57
20;2014-9;1.04
21;2014-10;0.55
22;2014-11;0.44
23;2014-12;0.8
24;2015-1;0.42
25;2015-2;0.59
26;2015-3;0.73
27;2015-4;0.54
28;2015-5;0.17
29;2015-6;0.2
30;2015-7;0.19
31;2015-8;0.53
32;2015-9;1.2
33;2015-10;0.46
34;2015-11;0.22
35;2015-12;0.94
36;2016-1;0.62
37;2016-2;0.82
38;2016-3;0.99
39;2016-4;0.63
40;2016-5;0.17
41;2016-6;0.21
42;2016-7;0.38
43;2016-8;0.71
44;2016-9;1.34
45;2016-10;0.75
46;2016-11;0.55
47;2016-12;1.21
48;2017-1;0.75
49;2017-2;0.74
50;2017-3;0.92
51;2017-4;0.6
52;2017-5;0.25
53;2017-6;0.25
54;2017-7;0.2
55;2017-8;0.57
56;2017-9;1.22
57;2017-10;0.6
58;2017-11;0.5
59;2017-12;1.29
60;2018-1;0.62
61;2018-2;0.83
62;2018-3;1.03
63;2018-4;0.78
64;2018-5;0.49
65;2018-6;0.71
66;2018-7;0.64
67;2018-8;1.25
68;2018-9;2.05
69;2018-10;1.28
70;2018-11;0.8
71;2018-12;1.56
72;2019-1;0.94
73;2019-2;0.99
74;2019-3;1.59
75;2019-4;1.12
76;2019-5;1.1
77;2019-6;0.98
78;2019-7;0.85
79;2019-8;1.46
80;2019-9;1.93
81;2019-10;1.13
82;2019-11;0.72
83;2019-12;1.13
84;2020-1;0.64
85;2020-2;0.83
86;2020-3;0.97
87;2020-4;0.7
88;2020-5;0.45
89;2020-6;0.45
90;2020-7;0.53
91;2020-8;0.98
92;2020-9;1.46
93;2020-10;0.75
94;2020-11;0.74
95;2020-12;1.29
96;2021-1;0.71
97;2021-2;0.89
98;2021-3;1.12
99;2021-4;1.05
100;2021-5;0.82
101;2021-6;0.77
102;2021-7;0.85
103;2021-8;1.17
104;2021-9;1.65
105;2021-10;1.18
106;2021-11;1.32
107;2021-12;3.23
108;2022-1;3.17
109;2022-2;3.03
110;2022-3;3.29
111;2022-4;2.86
112;2022-5;3.11
113;2022-6;3.1
114;2022-7;3.02
115;2022-8;3.28
116;2022-9;2.94
117;2022-10;3.05
118;2022-11;3.31
119;2022-12;3.39
120;2023-1;2.24
121;2023-2;2.7
122;2023-3;2.89
123;2023-4;2.46
124;2023-5;2.49
125;2023-6;2.51
126;2023-7;3.1
127;2023-8;4.43
128;2023-9;4.64
129;2023-10;3.92
130;2023-11;3.57
131;2023-12;4.86
132;2024-1;3.51
