;Tarih;TP_BEK_S01_B_K
0;2013-1;-0.25
1;2013-2;0.01
2;2013-3;0.3
3;2013-4;-0.2
4;2013-5;-0.98
5;2013-6;-0.82
6;2013-7;-0.75
7;2013-8;0.05
8;2013-9;0.2
9;2013-10;-0.01
10;2013-11;-0.25
11;2013-12;0.15
12;2014-1;0.2
13;2014-2;0.4
14;2014-3;0.3
15;2014-4;0.1
16;2014-5;-0.9
17;2014-6;-0.5
18;2014-7;-0.55
19;2014-8;0.2
20;2014-9;0.1
21;2014-10;0.1
22;2014-11;0.0
23;2014-12;0.1
24;2015-1;-0.6
25;2015-2;-0.4
26;2015-3;0.1
27;2015-4;0.1
28;2015-5;-0.8
29;2015-6;-0.5
30;2015-7;-0.4
31;2015-8;0.0
32;2015-9;0.25
33;2015-10;-0.5
34;2015-11;-0.46
35;2015-12;0.1
36;2016-1;0.01
37;2016-2;0.44
38;2016-3;0.3
39;2016-4;0.1
40;2016-5;-0.5
41;2016-6;-0.2
42;2016-7;-0.15
43;2016-8;0.2
44;2016-9;-0.05
45;2016-10;0.3
46;2016-11;0.17
47;2016-12;0.1
48;2017-1;0.0
49;2017-2;-0.74
50;2017-3;0.33
51;2017-4;-0.58
52;2017-5;-1.05
53;2017-6;-0.3
54;2017-7;-0.84
55;2017-8;0.1
56;2017-9;0.1
57;2017-10;0.1
58;2017-11;-0.1
59;2017-12;0.4
60;2018-1;0.0
61;2018-2;0.3
62;2018-3;0.3
63;2018-4;-0.12
64;2018-5;-0.6
65;2018-6;-0.2
66;2018-7;-0.11
67;2018-8;0.5
68;2018-9;0.6
69;2018-10;-1.13
70;2018-11;-0.4
71;2018-12;0.5
72;2019-1;0.1
73;2019-2;0.3
74;2019-3;0.3
75;2019-4;0.3
76;2019-5;0.1
77;2019-6;0.2
78;2019-7;0.2
79;2019-8;0.6
80;2019-9;0.8
81;2019-10;0.06
82;2019-11;0.2
83;2019-12;-0.05
84;2020-1;0.1
85;2020-2;0.13
86;2020-3;0.4
87;2020-4;0.15
88;2020-5;-0.25
89;2020-6;-1.0
90;2020-7;0.0
91;2020-8;0.4
92;2020-9;0.1
93;2020-10;-0.2
94;2020-11;0.0
95;2020-12;0.5
96;2021-1;0.1
97;2021-2;0.2
98;2021-3;0.3
99;2021-4;0.4
100;2021-5;0.18
101;2021-6;-0.5
102;2021-7;0.26
103;2021-8;0.4
104;2021-9;0.53
105;2021-10;0.38
106;2021-11;0.5
107;2021-12;1.2
108;2022-1;0.6
109;2022-2;1.0
110;2022-3;1.0
111;2022-4;0.89
112;2022-5;1.0
113;2022-6;1.5
114;2022-7;1.25
115;2022-8;1.5
116;2022-9;1.13
117;2022-10;1.5
118;2022-11;1.8
119;2022-12;1.5
120;2023-1;0.85
121;2023-2;1.0
122;2023-3;1.4
123;2023-4;1.05
124;2023-5;1.3
125;2023-6;0.23
126;2023-7;1.0
127;2023-8;2.5
128;2023-9;2.8
129;2023-10;2.13
130;2023-11;2.0
131;2023-12;1.75
132;2024-1;1.95
