;Tarih;TP_BEK_S01_B_S
0;2013-1;0.16
1;2013-2;0.21
2;2013-3;0.29
3;2013-4;0.25
4;2013-5;0.46
5;2013-6;0.33
6;2013-7;0.29
7;2013-8;0.27
8;2013-9;0.44
9;2013-10;0.25
10;2013-11;0.35
11;2013-12;0.26
12;2014-1;0.21
13;2014-2;0.22
14;2014-3;0.33
15;2014-4;0.21
16;2014-5;0.4
17;2014-6;0.3
18;2014-7;0.27
19;2014-8;0.22
20;2014-9;0.53
21;2014-10;0.25
22;2014-11;0.28
23;2014-12;0.36
24;2015-1;0.21
25;2015-2;0.22
26;2015-3;0.25
27;2015-4;0.23
28;2015-5;0.42
29;2015-6;0.27
30;2015-7;0.23
31;2015-8;0.26
32;2015-9;0.51
33;2015-10;0.24
34;2015-11;0.28
35;2015-12;0.31
36;2016-1;0.21
37;2016-2;0.2
38;2016-3;0.32
39;2016-4;0.23
40;2016-5;0.35
41;2016-6;0.19
42;2016-7;0.17
43;2016-8;0.21
44;2016-9;0.49
45;2016-10;0.26
46;2016-11;0.22
47;2016-12;0.42
48;2017-1;0.38
49;2017-2;0.33
50;2017-3;0.27
51;2017-4;0.33
52;2017-5;0.5
53;2017-6;0.22
54;2017-7;0.24
55;2017-8;0.24
56;2017-9;0.45
57;2017-10;0.26
58;2017-11;0.4
59;2017-12;0.44
60;2018-1;0.23
61;2018-2;0.18
62;2018-3;0.26
63;2018-4;0.29
64;2018-5;0.42
65;2018-6;0.39
66;2018-7;0.44
67;2018-8;0.56
68;2018-9;0.71
69;2018-10;0.65
70;2018-11;0.48
71;2018-12;0.61
72;2019-1;0.4
73;2019-2;0.32
74;2019-3;0.74
75;2019-4;0.34
76;2019-5;0.52
77;2019-6;0.5
78;2019-7;0.36
79;2019-8;0.48
80;2019-9;0.58
81;2019-10;0.36
82;2019-11;0.31
83;2019-12;0.34
84;2020-1;0.23
85;2020-2;0.2
86;2020-3;0.26
87;2020-4;0.29
88;2020-5;0.4
89;2020-6;0.38
90;2020-7;0.28
91;2020-8;0.4
92;2020-9;0.6
93;2020-10;0.33
94;2020-11;0.32
95;2020-12;0.33
96;2021-1;0.31
97;2021-2;0.26
98;2021-3;0.27
99;2021-4;0.32
100;2021-5;0.32
101;2021-6;0.38
102;2021-7;0.28
103;2021-8;0.37
104;2021-9;0.46
105;2021-10;0.38
106;2021-11;0.33
107;2021-12;1.65
108;2022-1;1.59
109;2022-2;1.34
110;2022-3;1.03
111;2022-4;1.12
112;2022-5;1.49
113;2022-6;1.16
114;2022-7;1.29
115;2022-8;1.03
116;2022-9;0.8
117;2022-10;0.65
118;2022-11;1.15
119;2022-12;1.08
120;2023-1;0.76
121;2023-2;0.66
122;2023-3;0.59
123;2023-4;0.59
124;2023-5;0.51
125;2023-6;0.97
126;2023-7;0.96
127;2023-8;0.93
128;2023-9;1.33
129;2023-10;0.79
130;2023-11;0.72
131;2023-12;1.21
132;2024-1;0.8
