;Tarih;TP_BEK_S01_C_B
0;2013-1;1.5
1;2013-2;1.7
2;2013-3;1.25
3;2013-4;0.71
4;2013-5;0.73
5;2013-6;0.9
6;2013-7;1.43
7;2013-8;2.25
8;2013-9;1.5
9;2013-10;1.2
10;2013-11;1.71
11;2013-12;0.89
12;2014-1;1.1
13;2014-2;2.15
14;2014-3;1.35
15;2014-4;1.19
16;2014-5;1.0
17;2014-6;0.75
18;2014-7;1.5
19;2014-8;2.1
20;2014-9;1.0
21;2014-10;0.89
22;2014-11;1.9
23;2014-12;1.2
24;2015-1;1.2
25;2015-2;1.26
26;2015-3;1.0
27;2015-4;1.75
28;2015-5;1.35
29;2015-6;1.0
30;2015-7;1.2
31;2015-8;2.01
32;2015-9;1.5
33;2015-10;1.0
34;2015-11;1.7
35;2015-12;1.0
36;2016-1;1.5
37;2016-2;1.9
38;2016-3;1.1
39;2016-4;1.0
40;2016-5;1.0
41;2016-6;1.0
42;2016-7;1.2
43;2016-8;2.02
44;2016-9;1.3
45;2016-10;1.3
46;2016-11;2.4
47;2016-12;2.1
48;2017-1;2.25
49;2017-2;1.45
50;2017-3;2.0
51;2017-4;2.2
52;2017-5;2.3
53;2017-6;0.8
54;2017-7;1.3
55;2017-8;1.9
56;2017-9;1.0
57;2017-10;1.31
58;2017-11;2.75
59;2017-12;2.61
60;2018-1;1.25
61;2018-2;1.84
62;2018-3;1.78
63;2018-4;1.1
64;2018-5;1.8
65;2018-6;2.0
66;2018-7;2.0
67;2018-8;2.83
68;2018-9;3.0
69;2018-10;3.0
70;2018-11;3.5
71;2018-12;2.1
72;2019-1;2.0
73;2019-2;6.3
74;2019-3;2.1
75;2019-4;2.52
76;2019-5;2.5
77;2019-6;2.0
78;2019-7;2.5
79;2019-8;4.0
80;2019-9;2.0
81;2019-10;1.8
82;2019-11;2.2
83;2019-12;1.5
84;2020-1;2.3
85;2020-2;1.6
86;2020-3;1.25
87;2020-4;1.4
88;2020-5;1.7
89;2020-6;1.3
90;2020-7;2.6
91;2020-8;3.04
92;2020-9;1.3
93;2020-10;1.3
94;2020-11;2.0
95;2020-12;1.02
96;2021-1;1.45
97;2021-2;2.0
98;2021-3;1.5
99;2021-4;1.5
100;2021-5;1.5
101;2021-6;1.7
102;2021-7;2.1
103;2021-8;2.4
104;2021-9;1.95
105;2021-10;1.6
106;2021-11;3.3
107;2021-12;4.0
108;2022-1;6.0
109;2022-2;5.0
110;2022-3;5.0
111;2022-4;5.0
112;2022-5;9.0
113;2022-6;9.0
114;2022-7;9.5
115;2022-8;5.45
116;2022-9;4.32
117;2022-10;8.7
118;2022-11;5.7
119;2022-12;4.39
120;2023-1;3.3
121;2023-2;3.3
122;2023-3;4.2
123;2023-4;3.7
124;2023-5;4.41
125;2023-6;4.5
126;2023-7;5.1
127;2023-8;5.3
128;2023-9;9.4
129;2023-10;5.32
130;2023-11;8.57
131;2023-12;6.0
132;2024-1;5.0
