;Tarih;TP_BEK_S01_C_K
0;2013-1;0.2
1;2013-2;-0.3
2;2013-3;-0.3
3;2013-4;-1.09
4;2013-5;-0.76
5;2013-6;-0.56
6;2013-7;-0.8
7;2013-8;0.2
8;2013-9;0.06
9;2013-10;-0.1
10;2013-11;0.39
11;2013-12;0.18
12;2014-1;0.3
13;2014-2;0.3
14;2014-3;0.1
15;2014-4;-0.8
16;2014-5;-0.5
17;2014-6;-0.5
18;2014-7;0.1
19;2014-8;0.15
20;2014-9;-0.12
21;2014-10;-0.6
22;2014-11;0.1
23;2014-12;0.0
24;2015-1;0.1
25;2015-2;-1.1
26;2015-3;-0.1
27;2015-4;-0.7
28;2015-5;-0.5
29;2015-6;-0.4
30;2015-7;0.0
31;2015-8;0.2
32;2015-9;-0.05
33;2015-10;-0.68
34;2015-11;0.22
35;2015-12;-0.3
36;2016-1;0.1
37;2016-2;0.2
38;2016-3;0.0
39;2016-4;-0.77
40;2016-5;-0.21
41;2016-6;-0.8
42;2016-7;0.3
43;2016-8;0.25
44;2016-9;-0.05
45;2016-10;0.15
46;2016-11;0.15
47;2016-12;0.05
48;2017-1;0.02
49;2017-2;0.5
50;2017-3;0.11
51;2017-4;-1.05
52;2017-5;-0.26
53;2017-6;-0.65
54;2017-7;0.1
55;2017-8;0.25
56;2017-9;-0.16
57;2017-10;0.0
58;2017-11;0.4
59;2017-12;0.0
60;2018-1;0.14
61;2018-2;0.5
62;2018-3;0.08
63;2018-4;-0.6
64;2018-5;0.1
65;2018-6;-0.3
66;2018-7;0.2
67;2018-8;0.14
68;2018-9;0.5
69;2018-10;-0.7
70;2018-11;0.14
71;2018-12;0.15
72;2019-1;0.18
73;2019-2;0.4
74;2019-3;0.5
75;2019-4;0.1
76;2019-5;0.26
77;2019-6;0.3
78;2019-7;0.0
79;2019-8;0.5
80;2019-9;0.0
81;2019-10;0.2
82;2019-11;0.0
83;2019-12;0.1
84;2020-1;0.18
85;2020-2;0.5
86;2020-3;0.18
87;2020-4;-0.2
88;2020-5;-0.1
89;2020-6;-0.24
90;2020-7;0.35
91;2020-8;0.12
92;2020-9;-0.2
93;2020-10;0.0
94;2020-11;0.5
95;2020-12;0.1
96;2021-1;0.2
97;2021-2;0.3
98;2021-3;0.4
99;2021-4;-0.03
100;2021-5;0.11
101;2021-6;-0.5
102;2021-7;0.4
103;2021-8;0.4
104;2021-9;0.4
105;2021-10;0.33
106;2021-11;1.0
107;2021-12;0.5
108;2022-1;0.9
109;2022-2;1.0
110;2022-3;0.6
111;2022-4;0.41
112;2022-5;0.75
113;2022-6;0.4
114;2022-7;1.0
115;2022-8;1.25
116;2022-9;1.2
117;2022-10;1.8
118;2022-11;1.6
119;2022-12;1.25
120;2023-1;1.0
121;2023-2;1.05
122;2023-3;1.05
123;2023-4;1.4
124;2023-5;1.1
125;2023-6;0.08
126;2023-7;1.5
127;2023-8;2.8
128;2023-9;1.5
129;2023-10;1.28
130;2023-11;1.3
131;2023-12;1.4
132;2024-1;1.08
