;Tarih;TP_BEK_S01_D_B
0;2013-1;7.2
1;2013-2;8.03
2;2013-3;7.9
3;2013-4;11.02
4;2013-5;7.8
5;2013-6;8.0
6;2013-7;8.23
7;2013-8;8.55
8;2013-9;9.0
9;2013-10;8.8
10;2013-11;9.0
11;2013-12;8.0
12;2014-1;10.0
13;2014-2;10.53
14;2014-3;12.0
15;2014-4;9.5
16;2014-5;10.3
17;2014-6;9.54
18;2014-7;10.4
19;2014-8;10.0
20;2014-9;10.69
21;2014-10;9.95
22;2014-11;9.95
23;2014-12;9.75
24;2015-1;9.25
25;2015-2;8.7
26;2015-3;8.0
27;2015-4;9.0
28;2015-5;9.5
29;2015-6;9.3
30;2015-7;8.95
31;2015-8;8.8
32;2015-9;9.03
33;2015-10;9.15
34;2015-11;9.5
35;2015-12;9.4
36;2016-1;10.0
37;2016-2;9.87
38;2016-3;9.87
39;2016-4;9.0
40;2016-5;9.0
41;2016-6;8.5
42;2016-7;8.66
43;2016-8;9.42
44;2016-9;9.0
45;2016-10;8.5
46;2016-11;8.6
47;2016-12;8.5
48;2017-1;13.0
49;2017-2;10.0
50;2017-3;12.0
51;2017-4;13.0
52;2017-5;12.5
53;2017-6;12.5
54;2017-7;12.5
55;2017-8;12.5
56;2017-9;13.0
57;2017-10;12.0
58;2017-11;12.53
59;2017-12;13.5
60;2018-1;11.5
61;2018-2;11.47
62;2018-3;11.3
63;2018-4;12.0
64;2018-5;13.5
65;2018-6;15.0
66;2018-7;18.0
67;2018-8;22.0
68;2018-9;23.9
69;2018-10;30.0
70;2018-11;29.55
71;2018-12;24.0
72;2019-1;23.35
73;2019-2;22.1
74;2019-3;22.0
75;2019-4;22.0
76;2019-5;22.0
77;2019-6;20.5
78;2019-7;18.35
79;2019-8;17.5
80;2019-9;16.5
81;2019-10;14.4
82;2019-11;14.25
83;2019-12;12.5
84;2020-1;12.7
85;2020-2;13.07
86;2020-3;12.35
87;2020-4;13.0
88;2020-5;12.0
89;2020-6;13.4
90;2020-7;13.0
91;2020-8;13.0
92;2020-9;13.5
93;2020-10;13.0
94;2020-11;14.0
95;2020-12;15.27
96;2021-1;14.06
97;2021-2;14.0
98;2021-3;15.0
99;2021-4;17.1
100;2021-5;17.1
101;2021-6;17.2
102;2021-7;18.0
103;2021-8;19.0
104;2021-9;21.0
105;2021-10;19.25
106;2021-11;21.0
107;2021-12;27.7
108;2022-1;55.0
109;2022-2;55.0
110;2022-3;69.0
111;2022-4;71.0
112;2022-5;83.0
113;2022-6;83.63
114;2022-7;87.09
115;2022-8;81.1
116;2022-9;75.0
117;2022-10;75.0
118;2022-11;75.7
119;2022-12;70.0
120;2023-1;54.7
121;2023-2;45.0
122;2023-3;50.0
123;2023-4;47.0
124;2023-5;47.0
125;2023-6;50.0
126;2023-7;60.0
127;2023-8;65.0
128;2023-9;90.0
129;2023-10;74.25
130;2023-11;71.0
131;2023-12;68.9
132;2024-1;48.0
