;Tarih;TP_BEK_S01_D_M
0;2013-1;6.4
1;2013-2;6.5
2;2013-3;6.5
3;2013-4;6.53
4;2013-5;6.5
5;2013-6;6.5
6;2013-7;7.2
7;2013-8;7.3
8;2013-9;7.5
9;2013-10;7.5
10;2013-11;7.7
11;2013-12;7.4
12;2014-1;7.5
13;2014-2;8.0
14;2014-3;8.0
15;2014-4;8.0
16;2014-5;8.23
17;2014-6;8.3
18;2014-7;8.3
19;2014-8;8.7
20;2014-9;8.9
21;2014-10;9.1
22;2014-11;9.2
23;2014-12;9.0
24;2015-1;6.9
25;2015-2;6.9
26;2015-3;7.0
27;2015-4;7.2
28;2015-5;7.5
29;2015-6;7.72
30;2015-7;7.7
31;2015-8;7.6
32;2015-9;8.0
33;2015-10;8.2
34;2015-11;8.3
35;2015-12;8.51
36;2016-1;8.2
37;2016-2;8.5
38;2016-3;8.35
39;2016-4;7.98
40;2016-5;7.85
41;2016-6;7.7
42;2016-7;7.8
43;2016-8;8.26
44;2016-9;8.0
45;2016-10;7.89
46;2016-11;7.8
47;2016-12;7.7
48;2017-1;8.4
49;2017-2;8.99
50;2017-3;9.0
51;2017-4;9.25
52;2017-5;9.5
53;2017-6;9.5
54;2017-7;9.5
55;2017-8;9.5
56;2017-9;9.72
57;2017-10;9.9
58;2017-11;10.69
59;2017-12;11.71
60;2018-1;9.5
61;2018-2;9.5
62;2018-3;9.5
63;2018-4;10.0
64;2018-5;11.0
65;2018-6;12.0
66;2018-7;14.0
67;2018-8;16.5
68;2018-9;19.95
69;2018-10;24.35
70;2018-11;24.5
71;2018-12;21.39
72;2019-1;16.0
73;2019-2;15.9
74;2019-3;15.9
75;2019-4;16.0
76;2019-5;16.5
77;2019-6;16.0
78;2019-7;15.0
79;2019-8;14.35
80;2019-9;14.0
81;2019-10;12.6
82;2019-11;12.1
83;2019-12;11.51
84;2020-1;10.0
85;2020-2;10.0
86;2020-3;9.9
87;2020-4;9.85
88;2020-5;9.28
89;2020-6;9.5
90;2020-7;10.0
91;2020-8;10.53
92;2020-9;11.5
93;2020-10;11.85
94;2020-11;12.41
95;2020-12;14.1
96;2021-1;11.0
97;2021-2;11.12
98;2021-3;11.5
99;2021-4;13.0
100;2021-5;13.92
101;2021-6;14.5
102;2021-7;15.54
103;2021-8;16.1
104;2021-9;16.73
105;2021-10;17.7
106;2021-11;19.2
107;2021-12;23.65
108;2022-1;30.0
109;2022-2;35.0
110;2022-3;40.1
111;2022-4;46.0
112;2022-5;56.66
113;2022-6;64.75
114;2022-7;69.75
115;2022-8;70.0
116;2022-9;67.61
117;2022-10;67.36
118;2022-11;68.05
119;2022-12;66.7
120;2023-1;33.81
121;2023-2;38.62
122;2023-3;40.0
123;2023-4;40.0
124;2023-5;38.73
125;2023-6;39.0
126;2023-7;45.0
127;2023-8;60.0
128;2023-9;67.0
129;2023-10;68.59
130;2023-11;67.0
131;2023-12;65.2
132;2024-1;42.09
