;Tarih;TP_BEK_S01_D_S
0;2013-1;0.49
1;2013-2;0.55
2;2013-3;0.5
3;2013-4;0.65
4;2013-5;0.47
5;2013-6;0.49
6;2013-7;0.57
7;2013-8;0.54
8;2013-9;0.51
9;2013-10;0.43
10;2013-11;0.43
11;2013-12;0.26
12;2014-1;0.67
13;2014-2;0.62
14;2014-3;0.69
15;2014-4;0.48
16;2014-5;0.6
17;2014-6;0.5
18;2014-7;0.56
19;2014-8;0.56
20;2014-9;0.58
21;2014-10;0.53
22;2014-11;0.52
23;2014-12;0.26
24;2015-1;0.71
25;2015-2;0.58
26;2015-3;0.43
27;2015-4;0.51
28;2015-5;0.6
29;2015-6;0.55
30;2015-7;0.42
31;2015-8;0.45
32;2015-9;0.43
33;2015-10;0.42
34;2015-11;0.45
35;2015-12;0.35
36;2016-1;0.63
37;2016-2;0.6
38;2016-3;0.53
39;2016-4;0.5
40;2016-5;0.44
41;2016-6;0.45
42;2016-7;0.37
43;2016-8;0.42
44;2016-9;0.36
45;2016-10;0.46
46;2016-11;0.33
47;2016-12;0.33
48;2017-1;0.89
49;2017-2;0.51
50;2017-3;0.63
51;2017-4;0.84
52;2017-5;0.73
53;2017-6;0.61
54;2017-7;0.55
55;2017-8;0.47
56;2017-9;0.59
57;2017-10;0.56
58;2017-11;0.63
59;2017-12;0.54
60;2018-1;0.74
61;2018-2;0.63
62;2018-3;0.57
63;2018-4;0.63
64;2018-5;0.85
65;2018-6;0.97
66;2018-7;1.24
67;2018-8;2.09
68;2018-9;1.8
69;2018-10;2.2
70;2018-11;1.2
71;2018-12;0.79
72;2019-1;1.92
73;2019-2;1.73
74;2019-3;1.7
75;2019-4;1.73
76;2019-5;1.65
77;2019-6;1.49
78;2019-7;1.55
79;2019-8;1.16
80;2019-9;1.0
81;2019-10;0.74
82;2019-11;0.66
83;2019-12;0.31
84;2020-1;1.02
85;2020-2;1.1
86;2020-3;1.06
87;2020-4;1.46
88;2020-5;1.3
89;2020-6;1.33
90;2020-7;1.29
91;2020-8;1.0
92;2020-9;0.96
93;2020-10;0.63
94;2020-11;0.55
95;2020-12;0.47
96;2021-1;1.02
97;2021-2;0.91
98;2021-3;0.85
99;2021-4;1.43
100;2021-5;1.13
101;2021-6;1.19
102;2021-7;0.86
103;2021-8;0.99
104;2021-9;0.91
105;2021-10;0.82
106;2021-11;0.99
107;2021-12;1.45
108;2022-1;8.13
109;2022-2;5.91
110;2022-3;6.9
111;2022-4;6.39
112;2022-5;8.06
113;2022-6;8.75
114;2022-7;7.73
115;2022-8;5.76
116;2022-9;3.35
117;2022-10;3.0
118;2022-11;2.39
119;2022-12;1.22
120;2023-1;8.63
121;2023-2;7.23
122;2023-3;7.37
123;2023-4;6.92
124;2023-5;6.85
125;2023-6;6.52
126;2023-7;7.49
127;2023-8;4.41
128;2023-9;5.32
129;2023-10;2.99
130;2023-11;1.74
131;2023-12;0.97
132;2024-1;2.89
