;Tarih;TP_BEK_S01_E_K
0;2013-1;4.2
1;2013-2;4.75
2;2013-3;4.0
3;2013-4;4.59
4;2013-5;4.48
5;2013-6;4.36
6;2013-7;4.33
7;2013-8;4.33
8;2013-9;4.33
9;2013-10;4.55
10;2013-11;4.9
11;2013-12;5.4
12;2014-1;5.0
13;2014-2;5.16
14;2014-3;6.0
15;2014-4;4.6
16;2014-5;5.0
17;2014-6;5.08
18;2014-7;5.03
19;2014-8;5.23
20;2014-9;5.5
21;2014-10;5.15
22;2014-11;5.75
23;2014-12;5.75
24;2015-1;5.0
25;2015-2;5.3
26;2015-3;5.11
27;2015-4;5.4
28;2015-5;5.44
29;2015-6;5.57
30;2015-7;5.2
31;2015-8;5.2
32;2015-9;5.84
33;2015-10;6.02
34;2015-11;6.2
35;2015-12;6.5
36;2016-1;6.4
37;2016-2;6.2
38;2016-3;6.27
39;2016-4;6.0
40;2016-5;6.5
41;2016-6;5.0
42;2016-7;6.0
43;2016-8;6.5
44;2016-9;6.4
45;2016-10;6.0
46;2016-11;6.6
47;2016-12;6.5
48;2017-1;6.5
49;2017-2;6.7
50;2017-3;6.57
51;2017-4;6.3
52;2017-5;6.5
53;2017-6;6.8
54;2017-7;7.0
55;2017-8;7.0
56;2017-9;6.8
57;2017-10;7.2
58;2017-11;8.0
59;2017-12;7.0
60;2018-1;7.0
61;2018-2;7.5
62;2018-3;7.8
63;2018-4;8.2
64;2018-5;8.5
65;2018-6;8.9
66;2018-7;9.5
67;2018-8;9.64
68;2018-9;9.08
69;2018-10;12.0
70;2018-11;13.6
71;2018-12;13.8
72;2019-1;11.19
73;2019-2;10.0
74;2019-3;9.5
75;2019-4;12.21
76;2019-5;12.0
77;2019-6;11.7
78;2019-7;10.4
79;2019-8;10.3
80;2019-9;9.2
81;2019-10;7.72
82;2019-11;8.25
83;2019-12;8.44
84;2020-1;8.0
85;2020-2;6.0
86;2020-3;7.04
87;2020-4;6.0
88;2020-5;6.4
89;2020-6;5.8
90;2020-7;5.0
91;2020-8;6.25
92;2020-9;6.25
93;2020-10;8.2
94;2020-11;9.0
95;2020-12;9.08
96;2021-1;8.75
97;2021-2;6.4
98;2021-3;7.57
99;2021-4;7.32
100;2021-5;8.7
101;2021-6;8.6
102;2021-7;9.5
103;2021-8;8.19
104;2021-9;9.5
105;2021-10;9.55
106;2021-11;9.75
107;2021-12;11.5
108;2022-1;9.4
109;2022-2;10.9
110;2022-3;7.0
111;2022-4;10.0
112;2022-5;13.2
113;2022-6;14.0
114;2022-7;15.56
115;2022-8;23.7
116;2022-9;21.0
117;2022-10;24.0
118;2022-11;24.6
119;2022-12;20.3
120;2023-1;15.0
121;2023-2;15.0
122;2023-3;16.15
123;2023-4;15.0
124;2023-5;14.0
125;2023-6;15.1
126;2023-7;15.0
127;2023-8;25.5
128;2023-9;30.0
129;2023-10;30.0
130;2023-11;30.0
131;2023-12;32.0
132;2024-1;29.8
