;Tarih;TP_BEK_S01_E_S
0;2013-1;0.59
1;2013-2;0.6
2;2013-3;0.67
3;2013-4;0.59
4;2013-5;0.62
5;2013-6;0.62
6;2013-7;0.74
7;2013-8;0.74
8;2013-9;0.77
9;2013-10;0.65
10;2013-11;0.62
11;2013-12;0.48
12;2014-1;0.82
13;2014-2;0.73
14;2014-3;0.8
15;2014-4;0.73
16;2014-5;0.8
17;2014-6;0.72
18;2014-7;0.8
19;2014-8;0.77
20;2014-9;0.63
21;2014-10;0.72
22;2014-11;0.67
23;2014-12;0.72
24;2015-1;0.66
25;2015-2;0.53
26;2015-3;0.61
27;2015-4;0.64
28;2015-5;0.69
29;2015-6;0.55
30;2015-7;0.6
31;2015-8;0.55
32;2015-9;0.54
33;2015-10;0.54
34;2015-11;0.54
35;2015-12;0.49
36;2016-1;0.59
37;2016-2;0.64
38;2016-3;0.57
39;2016-4;0.75
40;2016-5;0.63
41;2016-6;0.77
42;2016-7;0.68
43;2016-8;0.58
44;2016-9;0.62
45;2016-10;0.64
46;2016-11;0.57
47;2016-12;0.67
48;2017-1;1.03
49;2017-2;0.63
50;2017-3;0.72
51;2017-4;0.92
52;2017-5;0.92
53;2017-6;0.66
54;2017-7;0.66
55;2017-8;0.81
56;2017-9;0.83
57;2017-10;0.78
58;2017-11;1.01
59;2017-12;1.14
60;2018-1;0.86
61;2018-2;0.79
62;2018-3;0.67
63;2018-4;0.81
64;2018-5;0.81
65;2018-6;1.18
66;2018-7;1.63
67;2018-8;2.7
68;2018-9;3.3
69;2018-10;3.0
70;2018-11;2.21
71;2018-12;1.66
72;2019-1;2.14
73;2019-2;1.95
74;2019-3;2.09
75;2019-4;1.77
76;2019-5;1.74
77;2019-6;1.82
78;2019-7;1.81
79;2019-8;1.55
80;2019-9;1.68
81;2019-10;1.48
82;2019-11;1.18
83;2019-12;0.87
84;2020-1;0.92
85;2020-2;1.21
86;2020-3;1.04
87;2020-4;1.54
88;2020-5;1.14
89;2020-6;1.5
90;2020-7;1.44
91;2020-8;1.22
92;2020-9;1.39
93;2020-10;1.14
94;2020-11;1.05
95;2020-12;1.07
96;2021-1;0.97
97;2021-2;0.97
98;2021-3;0.89
99;2021-4;1.51
100;2021-5;1.47
101;2021-6;1.47
102;2021-7;1.56
103;2021-8;1.79
104;2021-9;1.52
105;2021-10;1.9
106;2021-11;2.15
107;2021-12;5.75
108;2022-1;7.87
109;2022-2;6.58
110;2022-3;8.53
111;2022-4;7.79
112;2022-5;9.69
113;2022-6;11.29
114;2022-7;11.12
115;2022-8;10.17
116;2022-9;7.26
117;2022-10;6.24
118;2022-11;6.99
119;2022-12;8.13
120;2023-1;9.44
121;2023-2;7.31
122;2023-3;7.59
123;2023-4;7.51
124;2023-5;7.37
125;2023-6;7.55
126;2023-7;7.7
127;2023-8;6.81
128;2023-9;7.3
129;2023-10;5.57
130;2023-11;4.49
131;2023-12;3.36
132;2024-1;3.5
