;Tarih;TP_BEK_S01_F_D
0;2013-1;5.0
1;2013-2;6.0
2;2013-3;6.0
3;2013-4;6.0
4;2013-5;6.0
5;2013-6;6.0
6;2013-7;6.0
7;2013-8;6.0
8;2013-9;6.0
9;2013-10;6.0
10;2013-11;6.0
11;2013-12;6.0
12;2014-1;6.5
13;2014-2;7.0
14;2014-3;6.5
15;2014-4;7.0
16;2014-5;6.5
17;2014-6;7.0
18;2014-7;7.0
19;2014-8;7.0
20;2014-9;7.0
21;2014-10;7.0
22;2014-11;7.0
23;2014-12;6.5
24;2015-1;6.0
25;2015-2;6.0
26;2015-3;6.5
27;2015-4;6.0
28;2015-5;6.5
29;2015-6;6.5
30;2015-7;7.0
31;2015-8;7.0
32;2015-9;7.0
33;2015-10;7.0
34;2015-11;7.0
35;2015-12;7.0
36;2016-1;7.0
37;2016-2;7.0
38;2016-3;7.0
39;2016-4;7.0
40;2016-5;7.0
41;2016-6;7.0
42;2016-7;7.0
43;2016-8;7.0
44;2016-9;7.0
45;2016-10;7.0
46;2016-11;7.0
47;2016-12;7.5
48;2017-1;7.5
49;2017-2;7.0
50;2017-3;7.0
51;2017-4;8.0
52;2017-5;8.0
53;2017-6;8.0
54;2017-7;7.5
55;2017-8;8.0
56;2017-9;8.0
57;2017-10;8.0
58;2017-11;8.0
59;2017-12;8.0
60;2018-1;8.0
61;2018-2;8.0
62;2018-3;8.0
63;2018-4;8.0
64;2018-5;9.0
65;2018-6;10.0
66;2018-7;10.0
67;2018-8;10.0
68;2018-9;11.0
69;2018-10;10.0
70;2018-11;12.0
71;2018-12;12.0
72;2019-1;12.0
73;2019-2;12.0
74;2019-3;12.0
75;2019-4;12.0
76;2019-5;12.0
77;2019-6;10.0
78;2019-7;12.0
79;2019-8;10.0
80;2019-9;9.0
81;2019-10;11.0
82;2019-11;10.0
83;2019-12;9.0
84;2020-1;8.0
85;2020-2;8.0
86;2020-3;8.0
87;2020-4;8.0
88;2020-5;8.0
89;2020-6;8.0
90;2020-7;8.0
91;2020-8;8.5
92;2020-9;8.5
93;2020-10;9.0
94;2020-11;10.0
95;2020-12;9.0
96;2021-1;9.0
97;2021-2;9.0
98;2021-3;9.0
99;2021-4;10.0
100;2021-5;10.0
101;2021-6;10.0
102;2021-7;10.5
103;2021-8;11.0
104;2021-9;10.5
105;2021-10;11.0
106;2021-11;11.0
107;2021-12;15.0
108;2022-1;20.0
109;2022-2;15.0
110;2022-3;15.0
111;2022-4;20.0
112;2022-5;20.0
113;2022-6;20.0
114;2022-7;25.0
115;2022-8;20.0
116;2022-9;25.0
117;2022-10;20.0
118;2022-11;22.0
119;2022-12;20.0
120;2023-1;15.0
121;2023-2;17.0
122;2023-3;20.0
123;2023-4;15.0
124;2023-5;8.0
125;2023-6;15.0
126;2023-7;20.0
127;2023-8;15.0
128;2023-9;20.0
129;2023-10;25.0
130;2023-11;20.0
131;2023-12;25.0
132;2024-1;25.0
