;Tarih;TP_BEK_S01_F_K
0;2013-1;4.5
1;2013-2;4.5
2;2013-3;4.0
3;2013-4;4.18
4;2013-5;3.97
5;2013-6;4.5
6;2013-7;4.07
7;2013-8;4.5
8;2013-9;4.52
9;2013-10;5.0
10;2013-11;4.77
11;2013-12;4.8
12;2014-1;4.67
13;2014-2;5.0
14;2014-3;5.0
15;2014-4;4.8
16;2014-5;5.0
17;2014-6;5.0
18;2014-7;5.0
19;2014-8;5.0
20;2014-9;4.91
21;2014-10;5.0
22;2014-11;4.72
23;2014-12;5.0
24;2015-1;5.0
25;2015-2;5.1
26;2015-3;5.0
27;2015-4;5.3
28;2015-5;5.0
29;2015-6;5.1
30;2015-7;5.4
31;2015-8;5.01
32;2015-9;5.4
33;2015-10;5.4
34;2015-11;5.39
35;2015-12;4.9
36;2016-1;4.89
37;2016-2;5.1
38;2016-3;5.16
39;2016-4;5.3
40;2016-5;5.5
41;2016-6;5.0
42;2016-7;5.5
43;2016-8;5.95
44;2016-9;5.5
45;2016-10;5.5
46;2016-11;5.5
47;2016-12;5.6
48;2017-1;6.14
49;2017-2;6.1
50;2017-3;5.89
51;2017-4;6.4
52;2017-5;6.4
53;2017-6;6.0
54;2017-7;6.5
55;2017-8;6.4
56;2017-9;6.0
57;2017-10;6.5
58;2017-11;7.0
59;2017-12;6.0
60;2018-1;6.2
61;2018-2;6.5
62;2018-3;6.8
63;2018-4;6.3
64;2018-5;5.8
65;2018-6;6.7
66;2018-7;8.0
67;2018-8;8.0
68;2018-9;7.9
69;2018-10;8.9
70;2018-11;8.8
71;2018-12;8.2
72;2019-1;7.9
73;2019-2;7.9
74;2019-3;7.9
75;2019-4;8.5
76;2019-5;8.0
77;2019-6;8.7
78;2019-7;8.0
79;2019-8;7.5
80;2019-9;7.0
81;2019-10;6.0
82;2019-11;6.3
83;2019-12;6.0
84;2020-1;5.8
85;2020-2;4.9
86;2020-3;5.75
87;2020-4;5.4
88;2020-5;5.0
89;2020-6;5.2
90;2020-7;5.0
91;2020-8;5.5
92;2020-9;5.75
93;2020-10;6.0
94;2020-11;5.9
95;2020-12;5.9
96;2021-1;6.8
97;2021-2;5.0
98;2021-3;6.5
99;2021-4;6.5
100;2021-5;5.9
101;2021-6;5.8
102;2021-7;6.5
103;2021-8;6.5
104;2021-9;8.0
105;2021-10;8.0
106;2021-11;8.12
107;2021-12;7.0
108;2022-1;7.0
109;2022-2;5.0
110;2022-3;7.0
111;2022-4;9.0
112;2022-5;9.5
113;2022-6;9.4
114;2022-7;9.9
115;2022-8;11.92
116;2022-9;13.8
117;2022-10;13.5
118;2022-11;14.5
119;2022-12;10.5
120;2023-1;9.0
121;2023-2;8.0
122;2023-3;8.0
123;2023-4;7.75
124;2023-5;7.5
125;2023-6;8.0
126;2023-7;8.0
127;2023-8;15.0
128;2023-9;14.0
129;2023-10;15.1
130;2023-11;13.9
131;2023-12;14.0
132;2024-1;10.0
