;Tarih;TP_BEK_S01_F_M
0;2013-1;5.7
1;2013-2;5.8
2;2013-3;6.0
3;2013-4;5.95
4;2013-5;5.8
5;2013-6;6.0
6;2013-7;6.0
7;2013-8;6.2
8;2013-9;6.2
9;2013-10;6.17
10;2013-11;6.3
11;2013-12;6.4
12;2014-1;6.5
13;2014-2;6.55
14;2014-3;6.5
15;2014-4;6.5
16;2014-5;6.56
17;2014-6;6.7
18;2014-7;6.75
19;2014-8;6.8
20;2014-9;6.9
21;2014-10;6.8
22;2014-11;6.8
23;2014-12;6.5
24;2015-1;6.35
25;2015-2;6.45
26;2015-3;6.5
27;2015-4;6.5
28;2015-5;6.6
29;2015-6;6.7
30;2015-7;6.7
31;2015-8;6.85
32;2015-9;7.0
33;2015-10;7.0
34;2015-11;6.95
35;2015-12;7.0
36;2016-1;7.0
37;2016-2;7.21
38;2016-3;7.1
39;2016-4;7.15
40;2016-5;7.05
41;2016-6;7.0
42;2016-7;7.0
43;2016-8;7.0
44;2016-9;7.0
45;2016-10;7.0
46;2016-11;7.24
47;2016-12;7.49
48;2017-1;7.53
49;2017-2;7.5
50;2017-3;7.7
51;2017-4;7.8
52;2017-5;7.95
53;2017-6;7.9
54;2017-7;7.93
55;2017-8;8.0
56;2017-9;8.0
57;2017-10;8.0
58;2017-11;8.0
59;2017-12;8.3
60;2018-1;8.0
61;2018-2;8.08
62;2018-3;8.25
63;2018-4;8.6
64;2018-5;9.0
65;2018-6;9.12
66;2018-7;9.5
67;2018-8;10.0
68;2018-9;11.0
69;2018-10;12.0
70;2018-11;12.5
71;2018-12;12.0
72;2019-1;12.0
73;2019-2;12.0
74;2019-3;12.0
75;2019-4;12.0
76;2019-5;12.1
77;2019-6;11.5
78;2019-7;11.0
79;2019-8;10.0
80;2019-9;10.1
81;2019-10;10.0
82;2019-11;9.14
83;2019-12;9.0
84;2020-1;8.64
85;2020-2;8.5
86;2020-3;8.5
87;2020-4;8.7
88;2020-5;8.5
89;2020-6;8.48
90;2020-7;8.5
91;2020-8;8.52
92;2020-9;8.78
93;2020-10;9.0
94;2020-11;9.3
95;2020-12;9.1
96;2021-1;9.0
97;2021-2;9.0
98;2021-3;9.05
99;2021-4;9.8
100;2021-5;9.85
101;2021-6;10.0
102;2021-7;10.5
103;2021-8;10.5
104;2021-9;10.55
105;2021-10;11.0
106;2021-11;11.48
107;2021-12;14.6
108;2022-1;14.85
109;2022-2;15.15
110;2022-3;16.28
111;2022-4;17.0
112;2022-5;20.0
113;2022-6;20.26
114;2022-7;23.5
115;2022-8;24.0
116;2022-9;22.0
117;2022-10;21.0
118;2022-11;21.5
119;2022-12;20.38
120;2023-1;16.95
121;2023-2;18.0
122;2023-3;18.5
123;2023-4;18.0
124;2023-5;18.8
125;2023-6;18.0
126;2023-7;19.8
127;2023-8;22.0
128;2023-9;24.05
129;2023-10;25.0
130;2023-11;25.15
131;2023-12;25.0
132;2024-1;24.0
