;Tarih;TP_BEK_S05_A_A
0;2013-1;1.7799
1;2013-2;1.7737
2;2013-3;1.8045
3;2013-4;1.7953
4;2013-5;1.7978
5;2013-6;1.8784
6;2013-7;1.9396
7;2013-8;1.9334
8;2013-9;2.0141
9;2013-10;1.9891
10;2013-11;2.0299
11;2013-12;2.0199
12;2014-1;2.19
13;2014-2;2.2061
14;2014-3;2.2395
15;2014-4;2.1457
16;2014-5;2.0878
17;2014-6;2.1317
18;2014-7;2.1304
19;2014-8;2.1577
20;2014-9;2.2125
21;2014-10;2.2711
22;2014-11;2.2562
23;2014-12;2.3195
24;2015-1;2.2973
25;2015-2;2.4494
26;2015-3;2.5938
27;2015-4;2.6895
28;2015-5;2.6625
29;2015-6;2.7293
30;2015-7;2.669
31;2015-8;2.797
32;2015-9;3.0199
33;2015-10;2.9462
34;2015-11;2.8708
35;2015-12;2.9395
36;2016-1;3.0241
37;2016-2;2.9697
38;2016-3;2.9017
39;2016-4;2.8678
40;2016-5;2.9731
41;2016-6;2.9406
42;2016-7;2.9124
43;2016-8;2.9475
44;2016-9;2.9716
45;2016-10;3.0804
46;2016-11;3.3398
47;2016-12;3.4671
48;2017-1;3.7598
49;2017-2;3.7189
50;2017-3;3.7569
51;2017-4;3.6989
52;2017-5;3.608
53;2017-6;3.5558
54;2017-7;3.5851
55;2017-8;3.5628
56;2017-9;3.4629
57;2017-10;3.6554
58;2017-11;3.859
59;2017-12;3.8752
60;2018-1;3.8091
61;2018-2;3.8148
62;2018-3;3.8603
63;2018-4;4.078
64;2018-5;4.4227
65;2018-6;4.5215
66;2018-7;4.794
67;2018-8;5.8906
68;2018-9;6.462
69;2018-10;5.7688
70;2018-11;5.5233
71;2018-12;5.4372
72;2019-1;5.5068
73;2019-2;5.2975
74;2019-3;5.4777
75;2019-4;5.7926
76;2019-5;6.1146
77;2019-6;5.9112
78;2019-7;5.7495
79;2019-8;5.5427
80;2019-9;5.744
81;2019-10;5.9016
82;2019-11;5.797
83;2019-12;5.821
84;2020-1;5.9503
85;2020-2;6.0516
86;2020-3;6.2035
87;2020-4;6.8743
88;2020-5;6.9618
89;2020-6;6.8489
90;2020-7;6.8742
91;2020-8;7.2768
92;2020-9;7.509
93;2020-10;7.9051
94;2020-11;7.8441
95;2020-12;7.7704
96;2021-1;7.4295
97;2021-2;7.1192
98;2021-3;7.5188
99;2021-4;8.2008
100;2021-5;8.3157
101;2021-6;8.6138
102;2021-7;8.6922
103;2021-8;8.4874
104;2021-9;8.5151
105;2021-10;9.0592
106;2021-11;9.7889
107;2021-12;13.7719
108;2022-1;13.9483
109;2022-2;13.6923
110;2022-3;14.7635
111;2022-4;14.8739
112;2022-5;15.9441
113;2022-6;17.3462
114;2022-7;17.3809
115;2022-8;18.0932
116;2022-9;18.4674
117;2022-10;18.7922
118;2022-11;18.7815
119;2022-12;18.8259
120;2023-1;18.9219
121;2023-2;18.9252
122;2023-3;19.0559
123;2023-4;19.4996
124;2023-5;19.8311
125;2023-6;23.916
126;2023-7;26.3859
127;2023-8;27.3945
128;2023-9;27.3099
129;2023-10;28.2418
130;2023-11;29.0124
131;2023-12;29.6779
132;2024-1;30.4969
