;Tarih;TP_BEK_S05_A_K
0;2013-1;1.75
1;2013-2;1.7
2;2013-3;1.76
3;2013-4;1.76
4;2013-5;1.7
5;2013-6;1.8225
6;2013-7;1.829
7;2013-8;1.9
8;2013-9;1.95
9;2013-10;1.92
10;2013-11;1.95
11;2013-12;1.96
12;2014-1;1.9978
13;2014-2;2.15
14;2014-3;2.18
15;2014-4;2.1
16;2014-5;2.014
17;2014-6;2.08
18;2014-7;2.1
19;2014-8;2.12
20;2014-9;2.15
21;2014-10;2.2
22;2014-11;2.2
23;2014-12;2.25
24;2015-1;2.25
25;2015-2;2.2985
26;2015-3;2.44
27;2015-4;2.58
28;2015-5;2.55
29;2015-6;2.6
30;2015-7;2.6
31;2015-8;2.65
32;2015-9;2.92
33;2015-10;2.85
34;2015-11;2.8
35;2015-12;2.8
36;2016-1;2.9
37;2016-2;2.85
38;2016-3;2.82
39;2016-4;2.79
40;2016-5;2.86
41;2016-6;2.85
42;2016-7;2.8
43;2016-8;2.9
44;2016-9;2.9
45;2016-10;3.0
46;2016-11;3.15
47;2016-12;3.35
48;2017-1;3.55
49;2017-2;3.55
50;2017-3;3.52
51;2017-4;3.5
52;2017-5;3.5
53;2017-6;3.48
54;2017-7;3.52
55;2017-8;3.52
56;2017-9;3.35
57;2017-10;3.5
58;2017-11;3.75
59;2017-12;3.65
60;2018-1;3.68
61;2018-2;3.77
62;2018-3;3.76
63;2018-4;3.9818
64;2018-5;4.2
65;2018-6;4.3
66;2018-7;4.5
67;2018-8;5.1
68;2018-9;5.8
69;2018-10;5.4
70;2018-11;5.3
71;2018-12;5.1
72;2019-1;5.25
73;2019-2;5.16
74;2019-3;5.3
75;2019-4;5.6
76;2019-5;5.9
77;2019-6;5.77
78;2019-7;5.55
79;2019-8;5.35
80;2019-9;5.49
81;2019-10;5.66
82;2019-11;5.6
83;2019-12;5.7
84;2020-1;5.8
85;2020-2;5.9
86;2020-3;6.0
87;2020-4;6.4
88;2020-5;6.75
89;2020-6;6.7
90;2020-7;6.8
91;2020-8;7.0
92;2020-9;7.3028
93;2020-10;7.6
94;2020-11;7.3
95;2020-12;7.4
96;2021-1;7.0
97;2021-2;6.95
98;2021-3;7.2
99;2021-4;7.95
100;2021-5;8.1
101;2021-6;8.45
102;2021-7;8.5
103;2021-8;8.25
104;2021-9;8.2998
105;2021-10;8.9
106;2021-11;9.2
107;2021-12;12.9
108;2022-1;13.4
109;2022-2;13.0
110;2022-3;14.2
111;2022-4;14.5
112;2022-5;15.0
113;2022-6;15.65
114;2022-7;16.9
115;2022-8;17.8
116;2022-9;18.2
117;2022-10;18.2176
118;2022-11;18.599
119;2022-12;18.6
120;2023-1;18.6
121;2023-2;18.82
122;2023-3;18.8
123;2023-4;19.0
124;2023-5;19.1
125;2023-6;22.0
126;2023-7;25.48
127;2023-8;26.971
128;2023-9;27.0
129;2023-10;27.75
130;2023-11;28.0
131;2023-12;29.0
132;2024-1;30.0
