;Tarih;TP_BEK_S05_A_U
0;2013-1;1.7799
1;2013-2;1.7734
2;2013-3;1.8046
3;2013-4;1.7941
4;2013-5;1.7992
5;2013-6;1.8782
6;2013-7;1.9411
7;2013-8;1.9334
8;2013-9;2.0141
9;2013-10;1.9891
10;2013-11;2.0309
11;2013-12;2.0199
12;2014-1;2.1943
13;2014-2;2.2034
14;2014-3;2.2367
15;2014-4;2.1393
16;2014-5;2.0833
17;2014-6;2.1317
18;2014-7;2.1286
19;2014-8;2.1577
20;2014-9;2.2125
21;2014-10;2.2734
22;2014-11;2.2562
23;2014-12;2.3195
24;2015-1;2.2973
25;2015-2;2.4501
26;2015-3;2.5938
27;2015-4;2.6895
28;2015-5;2.6591
29;2015-6;2.7286
30;2015-7;2.667
31;2015-8;2.801
32;2015-9;3.0199
33;2015-10;2.9462
34;2015-11;2.8708
35;2015-12;2.9394
36;2016-1;3.021
37;2016-2;2.9714
38;2016-3;2.9017
39;2016-4;2.8659
40;2016-5;2.9731
41;2016-6;2.9406
42;2016-7;2.9112
43;2016-8;2.9475
44;2016-9;2.9695
45;2016-10;3.0804
46;2016-11;3.3398
47;2016-12;3.4602
48;2017-1;3.7675
49;2017-2;3.7189
50;2017-3;3.7537
51;2017-4;3.6989
52;2017-5;3.608
53;2017-6;3.5558
54;2017-7;3.5851
55;2017-8;3.5586
56;2017-9;3.4629
57;2017-10;3.6522
58;2017-11;3.859
59;2017-12;3.8805
60;2018-1;3.8007
61;2018-2;3.8116
62;2018-3;3.8598
63;2018-4;4.078
64;2018-5;4.4087
65;2018-6;4.5065
66;2018-7;4.8029
67;2018-8;5.8906
68;2018-9;6.462
69;2018-10;5.7472
70;2018-11;5.5096
71;2018-12;5.4372
72;2019-1;5.5068
73;2019-2;5.2913
74;2019-3;5.4751
75;2019-4;5.7926
76;2019-5;6.1146
77;2019-6;5.8837
78;2019-7;5.7432
79;2019-8;5.5427
80;2019-9;5.744
81;2019-10;5.9007
82;2019-11;5.7968
83;2019-12;5.8166
84;2020-1;5.9503
85;2020-2;6.0516
86;2020-3;6.2035
87;2020-4;6.8827
88;2020-5;6.9573
89;2020-6;6.8445
90;2020-7;6.872
91;2020-8;7.2768
92;2020-9;7.5128
93;2020-10;7.9067
94;2020-11;7.8441
95;2020-12;7.7704
96;2021-1;7.4315
97;2021-2;7.1038
98;2021-3;7.5188
99;2021-4;8.2008
100;2021-5;8.3157
101;2021-6;8.6062
102;2021-7;8.6922
103;2021-8;8.4874
104;2021-9;8.4922
105;2021-10;9.0418
106;2021-11;9.8023
107;2021-12;13.7719
108;2022-1;13.8625
109;2022-2;13.7175
110;2022-3;14.722
111;2022-4;14.8358
112;2022-5;15.9163
113;2022-6;17.3552
114;2022-7;17.3809
115;2022-8;18.0
116;2022-9;18.3688
117;2022-10;18.77
118;2022-11;18.7815
119;2022-12;18.7797
120;2023-1;18.8597
121;2023-2;18.85
122;2023-3;19.032
123;2023-4;19.4996
124;2023-5;19.8329
125;2023-6;23.92
126;2023-7;26.3859
127;2023-8;27.3945
128;2023-9;27.0
129;2023-10;28.194
130;2023-11;29.0259
131;2023-12;29.6229
132;2024-1;30.4969
