;Tarih;TP_BEK_S05_B_B
0;2013-1;1.95
1;2013-2;1.97
2;2013-3;1.98
3;2013-4;1.98
4;2013-5;1.98
5;2013-6;2.0
6;2013-7;2.12
7;2013-8;2.1
8;2013-9;2.15
9;2013-10;2.16
10;2013-11;2.15
11;2013-12;2.1
12;2014-1;2.5
13;2014-2;2.5
14;2014-3;2.5
15;2014-4;2.465
16;2014-5;2.7638
17;2014-6;2.4
18;2014-7;2.4
19;2014-8;2.4
20;2014-9;2.45
21;2014-10;2.45
22;2014-11;2.4
23;2014-12;2.4
24;2015-1;2.65
25;2015-2;2.7
26;2015-3;2.9
27;2015-4;2.9
28;2015-5;3.0
29;2015-6;3.0
30;2015-7;2.9005
31;2015-8;3.0
32;2015-9;3.4
33;2015-10;3.24
34;2015-11;3.1
35;2015-12;3.1
36;2016-1;3.5
37;2016-2;3.4
38;2016-3;3.3
39;2016-4;3.35
40;2016-5;3.4
41;2016-6;3.35
42;2016-7;3.25
43;2016-8;3.25
44;2016-9;3.25
45;2016-10;3.3
46;2016-11;3.65
47;2016-12;3.7
48;2017-1;4.35
49;2017-2;4.45
50;2017-3;4.1
51;2017-4;4.5
52;2017-5;4.2
53;2017-6;4.1
54;2017-7;4.1
55;2017-8;4.1
56;2017-9;3.9
57;2017-10;4.1
58;2017-11;4.1
59;2017-12;4.1
60;2018-1;4.8
61;2018-2;4.55
62;2018-3;4.55
63;2018-4;5.0
64;2018-5;5.5
65;2018-6;5.5
66;2018-7;6.0
67;2018-8;8.0
68;2018-9;8.0
69;2018-10;7.7
70;2018-11;6.46
71;2018-12;5.85
72;2019-1;7.35
73;2019-2;7.35
74;2019-3;7.35
75;2019-4;7.2
76;2019-5;7.5
77;2019-6;7.495
78;2019-7;6.7
79;2019-8;6.5
80;2019-9;6.5
81;2019-10;6.5
82;2019-11;6.5
83;2019-12;6.1
84;2020-1;6.7
85;2020-2;6.77
86;2020-3;7.1
87;2020-4;7.83
88;2020-5;7.7
89;2020-6;7.5
90;2020-7;7.7
91;2020-8;8.25
92;2020-9;8.0
93;2020-10;8.5
94;2020-11;8.65
95;2020-12;8.0
96;2021-1;8.6
97;2021-2;8.5
98;2021-3;8.82
99;2021-4;9.6
100;2021-5;9.47
101;2021-6;9.6
102;2021-7;9.5
103;2021-8;9.5
104;2021-9;9.5
105;2021-10;10.0
106;2021-11;10.5
107;2021-12;14.5
108;2022-1;21.0
109;2022-2;21.0
110;2022-3;23.0
111;2022-4;23.0
112;2022-5;25.0
113;2022-6;25.0
114;2022-7;25.0
115;2022-8;25.0
116;2022-9;23.7839
117;2022-10;22.1
118;2022-11;22.0
119;2022-12;20.0
120;2023-1;28.0
121;2023-2;28.0
122;2023-3;26.0
123;2023-4;26.107
124;2023-5;26.0
125;2023-6;28.5
126;2023-7;32.0
127;2023-8;35.0
128;2023-9;34.3
129;2023-10;33.0525
130;2023-11;33.5
131;2023-12;31.0
132;2024-1;44.0
