;Tarih;TP_BEK_S05_B_M
0;2013-1;1.81
1;2013-2;1.8
2;2013-3;1.82
3;2013-4;1.82
4;2013-5;1.82
5;2013-6;1.8578
6;2013-7;1.92
7;2013-8;1.935
8;2013-9;1.995
9;2013-10;1.985
10;2013-11;2.0065
11;2013-12;2.02
12;2014-1;2.2
13;2014-2;2.229
14;2014-3;2.235
15;2014-4;2.2
16;2014-5;2.195
17;2014-6;2.18
18;2014-7;2.1801
19;2014-8;2.2
20;2014-9;2.23
21;2014-10;2.28
22;2014-11;2.265
23;2014-12;2.312
24;2015-1;2.4
25;2015-2;2.5
26;2015-3;2.61
27;2015-4;2.7
28;2015-5;2.71
29;2015-6;2.8
30;2015-7;2.7575
31;2015-8;2.825
32;2015-9;3.05
33;2015-10;3.0
34;2015-11;2.91
35;2015-12;2.95
36;2016-1;3.15
37;2016-2;3.15
38;2016-3;3.1
39;2016-4;3.07
40;2016-5;3.1
41;2016-6;3.1
42;2016-7;3.05
43;2016-8;3.05
44;2016-9;3.05
45;2016-10;3.1
46;2016-11;3.3225
47;2016-12;3.46
48;2017-1;3.87
49;2017-2;3.9
50;2017-3;3.9
51;2017-4;3.85
52;2017-5;3.8
53;2017-6;3.75
54;2017-7;3.75
55;2017-8;3.72
56;2017-9;3.65
57;2017-10;3.7229
58;2017-11;3.855
59;2017-12;3.88
60;2018-1;4.13
61;2018-2;4.1
62;2018-3;4.1
63;2018-4;4.2
64;2018-5;4.4
65;2018-6;4.535
66;2018-7;4.9
67;2018-8;6.0
68;2018-9;6.56
69;2018-10;6.0
70;2018-11;5.6
71;2018-12;5.4375
72;2019-1;6.2
73;2019-2;6.0
74;2019-3;6.04
75;2019-4;6.15
76;2019-5;6.45
77;2019-6;6.3
78;2019-7;6.125
79;2019-8;5.9
80;2019-9;6.0
81;2019-10;6.04
82;2019-11;5.9
83;2019-12;5.8
84;2020-1;6.4
85;2020-2;6.48
86;2020-3;6.5
87;2020-4;6.9
88;2020-5;7.05
89;2020-6;7.0
90;2020-7;7.0
91;2020-8;7.4
92;2020-9;7.6
93;2020-10;7.9
94;2020-11;7.92
95;2020-12;7.8
96;2021-1;8.1
97;2021-2;7.855
98;2021-3;8.0
99;2021-4;8.5
100;2021-5;8.7
101;2021-6;9.0
102;2021-7;9.0
103;2021-8;8.94
104;2021-9;8.9
105;2021-10;9.2
106;2021-11;9.935
107;2021-12;13.85
108;2022-1;16.0
109;2022-2;16.0
110;2022-3;16.5
111;2022-4;17.0
112;2022-5;17.56
113;2022-6;18.98
114;2022-7;19.0
115;2022-8;19.4988
116;2022-9;19.55
117;2022-10;19.9
118;2022-11;19.5
119;2022-12;18.7
120;2023-1;23.0
121;2023-2;23.0
122;2023-3;23.0
123;2023-4;23.0
124;2023-5;23.0
125;2023-6;26.0
126;2023-7;28.0
127;2023-8;29.655
128;2023-9;30.0
129;2023-10;30.0
130;2023-11;30.0
131;2023-12;29.5873
132;2024-1;40.0
