;Tarih;TP_BEK_S07_A_B
0;2013-1;5.3
1;2013-2;5.5
2;2013-3;5.5
3;2013-4;5.3
4;2013-5;5.5
5;2013-6;5.5
6;2013-7;4.5
7;2013-8;4.25
8;2013-9;4.2
9;2013-10;4.1
10;2013-11;4.1
11;2013-12;4.3
12;2014-1;4.4
13;2014-2;4.25
14;2014-3;4.0
15;2014-4;4.1
16;2014-5;3.8
17;2014-6;4.5
18;2014-7;4.8
19;2014-8;4.0
20;2014-9;4.0
21;2014-10;3.5
22;2014-11;3.8
23;2014-12;4.2
24;2015-1;4.5
25;2015-2;4.5
26;2015-3;4.5
27;2015-4;4.0
28;2015-5;3.75
29;2015-6;4.0
30;2015-7;3.8
31;2015-8;3.5
32;2015-9;3.5
33;2015-10;3.5
34;2015-11;3.5
35;2015-12;3.9
36;2016-1;4.5
37;2016-2;4.5
38;2016-3;4.5
39;2016-4;4.5
40;2016-5;4.5
41;2016-6;4.5
42;2016-7;4.5
43;2016-8;4.5
44;2016-9;4.1
45;2016-10;4.1
46;2016-11;4.2
47;2016-12;3.3
48;2017-1;4.0
49;2017-2;4.0
50;2017-3;4.0
51;2017-4;5.0
52;2017-5;5.0
53;2017-6;5.0
54;2017-7;5.5
55;2017-8;5.5
56;2017-9;5.8
57;2017-10;6.3
58;2017-11;6.5
59;2017-12;7.0
60;2018-1;6.0
61;2018-2;6.0
62;2018-3;6.0
63;2018-4;6.0
64;2018-5;6.0
65;2018-6;5.5
66;2018-7;5.9
67;2018-8;6.5
68;2018-9;4.7
69;2018-10;4.2
70;2018-11;4.1
71;2018-12;4.0
72;2019-1;3.1
73;2019-2;2.8
74;2019-3;2.5
75;2019-4;2.3
76;2019-5;2.3
77;2019-6;2.3
78;2019-7;2.3
79;2019-8;2.0
80;2019-9;2.0
81;2019-10;1.0
82;2019-11;1.9
83;2019-12;1.5
84;2020-1;5.0
85;2020-2;5.0
86;2020-3;5.0
87;2020-4;5.0
88;2020-5;5.0
89;2020-6;5.0
90;2020-7;5.0
91;2020-8;2.5
92;2020-9;2.5
93;2020-10;1.0
94;2020-11;1.5
95;2020-12;1.73
96;2021-1;6.1
97;2021-2;5.8
98;2021-3;6.5
99;2021-4;6.0
100;2021-5;6.0
101;2021-6;7.0
102;2021-7;8.0
103;2021-8;9.0
104;2021-9;9.7
105;2021-10;10.0
106;2021-11;10.1
107;2021-12;11.0
108;2022-1;5.2
109;2022-2;5.2
110;2022-3;5.0
111;2022-4;5.0
112;2022-5;5.0
113;2022-6;5.5
114;2022-7;5.5
115;2022-8;5.5
116;2022-9;8.5
117;2022-10;8.0
118;2022-11;8.0
119;2022-12;6.1
120;2023-1;5.9
121;2023-2;5.0
122;2023-3;5.0
123;2023-4;5.0
124;2023-5;5.0
125;2023-6;6.0
126;2023-7;5.0
127;2023-8;5.0
128;2023-9;5.0
129;2023-10;6.5
130;2023-11;6.0
131;2023-12;5.5
132;2024-1;4.5
