;Tarih;TP_BEK_S07_A_S
0;2013-1;0.56
1;2013-2;0.53
2;2013-3;0.48
3;2013-4;0.46
4;2013-5;0.46
5;2013-6;0.55
6;2013-7;0.48
7;2013-8;0.38
8;2013-9;0.33
9;2013-10;0.28
10;2013-11;0.29
11;2013-12;0.28
12;2014-1;0.58
13;2014-2;0.56
14;2014-3;0.55
15;2014-4;0.47
16;2014-5;0.47
17;2014-6;0.53
18;2014-7;0.5
19;2014-8;0.43
20;2014-9;0.37
21;2014-10;0.33
22;2014-11;0.35
23;2014-12;0.36
24;2015-1;0.52
25;2015-2;0.46
26;2015-3;0.55
27;2015-4;0.46
28;2015-5;0.4
29;2015-6;0.42
30;2015-7;0.4
31;2015-8;0.43
32;2015-9;0.36
33;2015-10;0.34
34;2015-11;0.25
35;2015-12;0.28
36;2016-1;0.48
37;2016-2;0.47
38;2016-3;0.44
39;2016-4;0.43
40;2016-5;0.41
41;2016-6;0.41
42;2016-7;0.39
43;2016-8;0.43
44;2016-9;0.37
45;2016-10;0.31
46;2016-11;0.39
47;2016-12;0.35
48;2017-1;0.54
49;2017-2;0.54
50;2017-3;0.49
51;2017-4;0.48
52;2017-5;0.49
53;2017-6;0.51
54;2017-7;0.63
55;2017-8;0.6
56;2017-9;0.6
57;2017-10;0.51
58;2017-11;0.54
59;2017-12;0.55
60;2018-1;0.65
61;2018-2;0.54
62;2018-3;0.63
63;2018-4;0.64
64;2018-5;0.7
65;2018-6;0.73
66;2018-7;0.59
67;2018-8;1.04
68;2018-9;0.67
69;2018-10;0.56
70;2018-11;0.54
71;2018-12;0.47
72;2019-1;1.14
73;2019-2;0.93
74;2019-3;1.06
75;2019-4;1.15
76;2019-5;1.0
77;2019-6;1.02
78;2019-7;1.04
79;2019-8;0.97
80;2019-9;0.76
81;2019-10;0.53
82;2019-11;0.55
83;2019-12;0.33
84;2020-1;0.77
85;2020-2;0.82
86;2020-3;0.81
87;2020-4;2.89
88;2020-5;2.59
89;2020-6;2.05
90;2020-7;2.06
91;2020-8;1.77
92;2020-9;1.34
93;2020-10;1.09
94;2020-11;0.91
95;2020-12;0.68
96;2021-1;0.94
97;2021-2;0.63
98;2021-3;0.8
99;2021-4;0.82
100;2021-5;0.78
101;2021-6;0.81
102;2021-7;1.04
103;2021-8;1.11
104;2021-9;1.41
105;2021-10;1.1
106;2021-11;0.94
107;2021-12;0.85
108;2022-1;0.93
109;2022-2;0.83
110;2022-3;1.22
111;2022-4;1.15
112;2022-5;1.13
113;2022-6;1.08
114;2022-7;1.05
115;2022-8;1.08
116;2022-9;0.97
117;2022-10;0.74
118;2022-11;0.72
119;2022-12;0.42
120;2023-1;0.86
121;2023-2;0.85
122;2023-3;0.8
123;2023-4;0.75
124;2023-5;0.74
125;2023-6;0.79
126;2023-7;0.69
127;2023-8;0.61
128;2023-9;0.54
129;2023-10;0.42
130;2023-11;0.36
131;2023-12;0.28
132;2024-1;0.61
