;Tarih;TP_BEKODTUFE_BT62
0;2017-11;0.6
1;2017-12;0.66
2;2018-1;0.0
3;2018-2;0.0
4;2018-3;0.0
5;2018-4;0.0
6;2018-5;0.0
7;2018-6;0.0
8;2018-7;0.26
9;2018-8;0.83
10;2018-9;1.95
11;2018-10;8.7
12;2018-11;5.24
13;2018-12;6.33
14;2019-1;6.49
15;2019-2;6.65
16;2019-3;3.91
17;2019-4;5.81
18;2019-5;4.58
19;2019-6;4.43
20;2019-7;0.28
21;2019-8;0.49
22;2019-9;1.46
23;2019-10;0.69
24;2019-11;0.17
25;2019-12;0.47
26;2020-1;0.64
27;2020-2;0.8
28;2020-3;0.0
29;2020-4;0.0
30;2020-5;0.0
31;2020-6;0.0
32;2020-7;0.0
33;2020-8;0.93
34;2020-9;1.16
35;2020-10;0.4121
36;2020-11;0.3448
37;2020-12;0.4941
38;2021-1;0.0
39;2021-2;0.0
40;2021-3;0.0
41;2021-4;0.0
42;2021-5;0.0
43;2021-6;0.4903
44;2021-7;0.8625
45;2021-8;1.0482
46;2021-9;1.1625
47;2021-10;2.929
48;2021-11;4.48
49;2021-12;3.84
50;2022-1;6.7407
51;2022-2;4.3724
52;2022-3;7.5655
53;2022-4;7.1419
54;2022-5;3.323
55;2022-6;0.3703
56;2022-7;0.4142
57;2022-8;0.0
58;2022-9;5.64
59;2022-10;0.9636
60;2022-11;2.9714
61;2022-12;0.0
62;2023-1;0.96
63;2023-2;0.0
64;2023-3;2.5
65;2023-4;0.8909
66;2023-5;3.6696
67;2023-6;2.9714
68;2023-7;0.9
69;2023-8;0.496
70;2023-9;2.08
71;2023-10;0.0
72;2023-11;0.0
