;Tarih;YEARWEEK;TP_BS04_NOMINAL
0;30-12-2011;2011-52;3379.9
1;06-01-2012;2012-1;3343.6
2;13-01-2012;2012-2;3394.5
3;20-01-2012;2012-3;3462.7
4;27-01-2012;2012-4;3009.3
5;03-02-2012;2012-5;3373.0
6;10-02-2012;2012-6;3421.8
7;17-02-2012;2012-7;3471.5
8;24-02-2012;2012-8;3536.6
9;02-03-2012;2012-9;3525.8
10;09-03-2012;2012-10;3497.4
11;16-03-2012;2012-11;3459.0
12;23-03-2012;2012-12;3463.9
13;30-03-2012;2012-13;3504.8
14;06-04-2012;2012-14;3460.8
15;13-04-2012;2012-15;3605.1
16;20-04-2012;2012-16;3624.0
17;27-04-2012;2012-17;3535.0
18;04-05-2012;2012-18;3509.9
19;11-05-2012;2012-19;3581.4
20;18-05-2012;2012-20;3560.2
21;25-05-2012;2012-21;3549.2
22;01-06-2012;2012-22;3556.5
23;08-06-2012;2012-23;3552.4
24;15-06-2012;2012-24;3520.0
25;22-06-2012;2012-25;3493.6
26;29-06-2012;2012-26;3492.1
27;06-07-2012;2012-27;3418.1
28;13-07-2012;2012-28;3316.1
29;20-07-2012;2012-29;3445.5
30;27-07-2012;2012-30;2926.9
31;03-08-2012;2012-31;2945.7
32;10-08-2012;2012-32;3040.7
33;17-08-2012;2012-33;2923.1
34;24-08-2012;2012-34;2936.9
35;31-08-2012;2012-35;2927.5
36;07-09-2012;2012-36;2897.6
37;14-09-2012;2012-37;2908.3
38;21-09-2012;2012-38;2932.2
39;28-09-2012;2012-39;3152.0
40;05-10-2012;2012-40;2989.9
41;12-10-2012;2012-41;2973.9
42;19-10-2012;2012-42;2985.7
43;26-10-2012;2012-43;2973.8
44;02-11-2012;2012-44;3107.9
45;09-11-2012;2012-45;2951.4
46;16-11-2012;2012-46;2930.8
47;23-11-2012;2012-47;2952.5
48;30-11-2012;2012-48;2959.1
49;07-12-2012;2012-49;2956.5
50;14-12-2012;2012-50;3139.4
51;21-12-2012;2012-51;3165.2
52;28-12-2012;2012-52;3003.0
53;04-01-2013;2013-1;2998.3
54;11-01-2013;2013-2;3001.1
55;18-01-2013;2013-3;2962.5
56;25-01-2013;2013-4;2973.33
57;01-02-2013;2013-5;2981.27
58;08-02-2013;2013-6;2983.96
59;15-02-2013;2013-7;2992.76
60;22-02-2013;2013-8;2995.83
61;01-03-2013;2013-9;2974.35
62;08-03-2013;2013-10;2978.22
63;15-03-2013;2013-11;2980.39
64;22-03-2013;2013-12;3046.28
65;29-03-2013;2013-13;3021.76
66;05-04-2013;2013-14;3005.57
67;12-04-2013;2013-15;3024.57
68;19-04-2013;2013-16;3074.61
69;26-04-2013;2013-17;3031.69
70;03-05-2013;2013-18;3019.1
71;10-05-2013;2013-19;3016.5
72;17-05-2013;2013-20;3026.6
73;24-05-2013;2013-21;3011.8
74;31-05-2013;2013-22;3017.3
75;07-06-2013;2013-23;3004.5
76;14-06-2013;2013-24;2998.5
77;21-06-2013;2013-25;3024.1
78;28-06-2013;2013-26;3018.8
79;05-07-2013;2013-27;3230.8
80;12-07-2013;2013-28;3060.4
81;19-07-2013;2013-29;3216.6
82;26-07-2013;2013-30;3226.0
83;02-08-2013;2013-31;3231.1
84;09-08-2013;2013-32;3195.8
85;16-08-2013;2013-33;3224.7
86;23-08-2013;2013-34;3231.1
87;30-08-2013;2013-35;3214.2
88;06-09-2013;2013-36;3212.6
89;13-09-2013;2013-37;3255.4
90;20-09-2013;2013-38;3318.7
91;27-09-2013;2013-39;3295.7
92;04-10-2013;2013-40;3279.1
93;11-10-2013;2013-41;3447.9
94;18-10-2013;2013-42;3448.9
95;25-10-2013;2013-43;3469.4
96;01-11-2013;2013-44;3476.4
97;08-11-2013;2013-45;3452.2
98;15-11-2013;2013-46;3800.5
99;22-11-2013;2013-47;3808.2
100;29-11-2013;2013-48;3837.6
101;06-12-2013;2013-49;3806.4
102;13-12-2013;2013-50;3844.9
103;20-12-2013;2013-51;3879.3
104;27-12-2013;2013-52;3932.4
105;03-01-2014;2014-1;3844.8
106;10-01-2014;2014-2;3830.7
107;17-01-2014;2014-3;3774.1
108;24-01-2014;2014-4;3832.1
109;31-01-2014;2014-5;3745.2
110;07-02-2014;2014-6;3887.3
111;14-02-2014;2014-7;3768.4
112;21-02-2014;2014-8;4308.4
113;28-02-2014;2014-9;4300.7
114;07-03-2014;2014-10;4133.0
115;14-03-2014;2014-11;4120.6
116;21-03-2014;2014-12;4094.4
117;28-03-2014;2014-13;3835.6
118;04-04-2014;2014-14;3732.5
119;11-04-2014;2014-15;3905.0
120;18-04-2014;2014-16;3826.3
121;25-04-2014;2014-17;3811.0
122;02-05-2014;2014-18;3825.4
123;09-05-2014;2014-19;3858.1
124;16-05-2014;2014-20;3880.9
125;23-05-2014;2014-21;3699.7
126;30-05-2014;2014-22;3890.3
127;06-06-2014;2014-23;3843.3
128;13-06-2014;2014-24;3894.92
129;20-06-2014;2014-25;3916.9
130;27-06-2014;2014-26;3888.1
131;04-07-2014;2014-27;3884.7
132;11-07-2014;2014-28;3895.7
133;18-07-2014;2014-29;3899.9
134;25-07-2014;2014-30;3892.9
135;01-08-2014;2014-31;3879.0
136;08-08-2014;2014-32;3887.8
