;Tarih;YEARWEEK;TP_BS07_CARI
0;30-12-2011;2011-52;32116.9
1;06-01-2012;2012-1;31693.4
2;13-01-2012;2012-2;31609.1
3;20-01-2012;2012-3;30633.0
4;27-01-2012;2012-4;33177.6
5;03-02-2012;2012-5;33482.8
6;10-02-2012;2012-6;33228.7
7;17-02-2012;2012-7;34116.4
8;24-02-2012;2012-8;34158.5
9;02-03-2012;2012-9;34402.0
10;09-03-2012;2012-10;34626.8
11;16-03-2012;2012-11;35329.2
12;23-03-2012;2012-12;35194.2
13;30-03-2012;2012-13;35136.4
14;06-04-2012;2012-14;35178.4
15;13-04-2012;2012-15;35292.7
16;20-04-2012;2012-16;35161.5
17;27-04-2012;2012-17;35321.5
18;04-05-2012;2012-18;35558.8
19;11-05-2012;2012-19;35394.0
20;18-05-2012;2012-20;34497.5
21;25-05-2012;2012-21;34268.7
22;01-06-2012;2012-22;33924.0
23;08-06-2012;2012-23;34646.3
24;15-06-2012;2012-24;35005.2
25;22-06-2012;2012-25;35148.0
26;29-06-2012;2012-26;35992.1
27;06-07-2012;2012-27;36064.6
28;13-07-2012;2012-28;36516.5
29;20-07-2012;2012-29;36871.6
30;27-07-2012;2012-30;37835.4
31;03-08-2012;2012-31;38887.2
32;10-08-2012;2012-32;38186.9
33;17-08-2012;2012-33;37217.3
34;24-08-2012;2012-34;38485.4
35;31-08-2012;2012-35;38591.9
36;07-09-2012;2012-36;39285.7
37;14-09-2012;2012-37;39414.8
38;21-09-2012;2012-38;38941.5
39;28-09-2012;2012-39;39696.9
40;05-10-2012;2012-40;40387.2
41;12-10-2012;2012-41;41066.2
42;19-10-2012;2012-42;41543.6
43;26-10-2012;2012-43;41476.8
44;02-11-2012;2012-44;41225.5
45;09-11-2012;2012-45;42106.5
46;16-11-2012;2012-46;42117.3
47;23-11-2012;2012-47;42022.6
48;30-11-2012;2012-48;42419.9
49;07-12-2012;2012-49;42263.8
50;14-12-2012;2012-50;41978.3
51;21-12-2012;2012-51;42468.7
52;28-12-2012;2012-52;43053.6
53;04-01-2013;2013-1;42640.7
54;11-01-2013;2013-2;43517.6
55;18-01-2013;2013-3;42680.2
56;25-01-2013;2013-4;42813.05
57;01-02-2013;2013-5;42091.72
58;08-02-2013;2013-6;41672.08
59;15-02-2013;2013-7;41719.88
60;22-02-2013;2013-8;41088.89
61;01-03-2013;2013-9;41445.31
62;08-03-2013;2013-10;41006.71
63;15-03-2013;2013-11;40834.28
64;22-03-2013;2013-12;40754.2
65;29-03-2013;2013-13;40166.87
66;05-04-2013;2013-14;41116.4
67;12-04-2013;2013-15;41448.61
68;19-04-2013;2013-16;42590.5
69;26-04-2013;2013-17;42764.09
70;03-05-2013;2013-18;43262.7
71;10-05-2013;2013-19;43280.73
72;17-05-2013;2013-20;43341.2
73;24-05-2013;2013-21;42659.6
74;31-05-2013;2013-22;42493.4
75;07-06-2013;2013-23;41899.7
76;14-06-2013;2013-24;42385.7
77;21-06-2013;2013-25;40035.5
78;28-06-2013;2013-26;40103.5
79;05-07-2013;2013-27;39775.2
80;12-07-2013;2013-28;39605.9
81;19-07-2013;2013-29;40580.6
82;26-07-2013;2013-30;39910.2
83;02-08-2013;2013-31;39688.1
84;09-08-2013;2013-32;39634.5
85;16-08-2013;2013-33;39127.1
86;23-08-2013;2013-34;38628.2
87;30-08-2013;2013-35;38513.4
88;06-09-2013;2013-36;38300.9
89;13-09-2013;2013-37;38518.9
90;20-09-2013;2013-38;39505.9
91;27-09-2013;2013-39;39342.2
92;04-10-2013;2013-40;39641.0
93;11-10-2013;2013-41;40661.4
94;18-10-2013;2013-42;40724.5
95;25-10-2013;2013-43;41443.0
96;01-11-2013;2013-44;40851.5
97;08-11-2013;2013-45;40039.9
98;15-11-2013;2013-46;41381.2
99;22-11-2013;2013-47;41348.8
100;29-11-2013;2013-48;41248.7
101;06-12-2013;2013-49;41170.7
102;13-12-2013;2013-50;41061.64
103;20-12-2013;2013-51;40538.7
104;27-12-2013;2013-52;40670.5
105;03-01-2014;2014-1;40335.1
106;10-01-2014;2014-2;41539.7
107;17-01-2014;2014-3;39637.3
108;24-01-2014;2014-4;38829.4
109;31-01-2014;2014-5;41511.7
110;07-02-2014;2014-6;42268.3
111;14-02-2014;2014-7;41499.1
112;21-02-2014;2014-8;42464.7
113;28-02-2014;2014-9;42638.0
114;07-03-2014;2014-10;42412.8
115;14-03-2014;2014-11;42014.6
116;21-03-2014;2014-12;41719.4
117;28-03-2014;2014-13;41905.7
118;04-04-2014;2014-14;43143.8
119;11-04-2014;2014-15;44698.4
120;18-04-2014;2014-16;44959.5
121;25-04-2014;2014-17;44964.6
122;02-05-2014;2014-18;45598.4
123;09-05-2014;2014-19;45910.4
124;16-05-2014;2014-20;45524.5
125;23-05-2014;2014-21;45817.2
126;30-05-2014;2014-22;45533.5
127;06-06-2014;2014-23;45872.6
128;13-06-2014;2014-24;45273.68
129;20-06-2014;2014-25;44997.2
130;27-06-2014;2014-26;45480.3
131;04-07-2014;2014-27;45618.5
132;11-07-2014;2014-28;45872.0
133;18-07-2014;2014-29;45814.0
134;25-07-2014;2014-30;46096.9
135;01-08-2014;2014-31;45656.5
136;08-08-2014;2014-32;45177.5
137;15-08-2014;2014-33;45386.0
138;22-08-2014;2014-34;45585.0
139;29-08-2014;2014-35;45941.6
140;05-09-2014;2014-36;45971.9
141;12-09-2014;2014-37;45116.7
142;19-09-2014;2014-38;44893.7
143;26-09-2014;2014-39;45441.1
144;03-10-2014;2014-40;45183.0
145;10-10-2014;2014-41;45570.1
146;17-10-2014;2014-42;46243.2
147;24-10-2014;2014-43;46048.4
148;31-10-2014;2014-44;46038.3
149;07-11-2014;2014-45;45543.4
150;14-11-2014;2014-46;45896.4
151;21-11-2014;2014-47;45901.5
152;28-11-2014;2014-48;47416.0
153;05-12-2014;2014-49;47250.5
154;12-12-2014;2014-50;46860.8
155;19-12-2014;2014-51;46992.1
156;26-12-2014;2014-52;47007.0
157;02-01-2015;2015-1;47162.1
158;09-01-2015;2015-2;47022.9
159;16-01-2015;2015-3;48256.1
160;23-01-2015;2015-4;48833.9
161;30-01-2015;2015-5;48521.4
162;06-02-2015;2015-6;48320.7
163;13-02-2015;2015-7;48057.5
164;20-02-2015;2015-8;47866.4
165;27-02-2015;2015-9;47370.1
166;06-03-2015;2015-10;46082.7
167;13-03-2015;2015-11;45710.7
168;20-03-2015;2015-12;45982.4
169;27-03-2015;2015-13;45880.3
170;03-04-2015;2015-14;45846.0
171;10-04-2015;2015-15;45957.9
172;17-04-2015;2015-16;46648.5
173;24-04-2015;2015-17;46635.6
174;01-05-2015;2015-18;46556.1
175;08-05-2015;2015-19;46780.9
176;15-05-2015;2015-20;46720.5
177;22-05-2015;2015-21;46138.8
178;29-05-2015;2015-22;45777.1
179;05-06-2015;2015-23;45265.6
180;12-06-2015;2015-24;44679.0
181;19-06-2015;2015-25;44880.6
182;26-06-2015;2015-26;44417.5
183;03-07-2015;2015-27;44511.2
184;10-07-2015;2015-28;44709.5
185;17-07-2015;2015-29;44583.3
186;24-07-2015;2015-30;44263.4
187;31-07-2015;2015-31;44095.2
188;07-08-2015;2015-32;43609.8
189;14-08-2015;2015-33;43120.5
190;21-08-2015;2015-34;43564.8
191;28-08-2015;2015-35;43440.5
192;04-09-2015;2015-36;42810.5
193;11-09-2015;2015-37;41982.2
194;18-09-2015;2015-38;42289.5
195;25-09-2015;2015-39;41465.1
196;02-10-2015;2015-40;41163.0
197;09-10-2015;2015-41;42306.2
198;16-10-2015;2015-42;42664.2
199;23-10-2015;2015-43;42870.8
200;30-10-2015;2015-44;41989.9
201;06-11-2015;2015-45;41386.5
202;13-11-2015;2015-46;41413.4
203;20-11-2015;2015-47;41434.8
204;27-11-2015;2015-48;40534.7
205;04-12-2015;2015-49;40682.8
206;11-12-2015;2015-50;40473.7
207;18-12-2015;2015-51;39712.3
208;25-12-2015;2015-52;39682.1
209;01-01-2016;2016-1;39712.5
210;08-01-2016;2016-2;39444.1
211;15-01-2016;2016-3;39354.8
212;22-01-2016;2016-4;37868.9
213;29-01-2016;2016-5;38180.5
214;05-02-2016;2016-6;39546.1
215;12-02-2016;2016-7;39668.0
216;19-02-2016;2016-8;39169.6
217;26-02-2016;2016-9;39284.6
218;04-03-2016;2016-10;39134.5
219;11-03-2016;2016-11;40500.5
220;18-03-2016;2016-12;41138.7
221;25-03-2016;2016-13;40829.7
222;01-04-2016;2016-14;41170.0
223;08-04-2016;2016-15;41436.6
224;15-04-2016;2016-16;41991.6
225;22-04-2016;2016-17;42026.2
226;29-04-2016;2016-18;42038.1
227;06-05-2016;2016-19;43223.1
228;13-05-2016;2016-20;43175.2
229;20-05-2016;2016-21;42435.0
230;27-05-2016;2016-22;42442.7
231;03-06-2016;2016-23;42992.6
232;10-06-2016;2016-24;43894.2
233;17-06-2016;2016-25;43960.1
234;24-06-2016;2016-26;43757.4
235;01-07-2016;2016-27;45738.5
236;08-07-2016;2016-28;45231.2
237;15-07-2016;2016-29;45294.7
238;22-07-2016;2016-30;43922.9
239;29-07-2016;2016-31;44000.9
240;05-08-2016;2016-32;44130.1
241;12-08-2016;2016-33;44953.8
242;19-08-2016;2016-34;44917.3
243;26-08-2016;2016-35;45235.7
244;02-09-2016;2016-36;44386.4
245;09-09-2016;2016-37;44115.0
246;16-09-2016;2016-38;44893.5
247;23-09-2016;2016-39;44984.5
248;30-09-2016;2016-40;42902.8
249;07-10-2016;2016-41;43157.5
250;14-10-2016;2016-42;42826.9
251;21-10-2016;2016-43;43775.4
252;28-10-2016;2016-44;43296.2
253;04-11-2016;2016-45;42728.5
254;11-11-2016;2016-46;40971.0
255;18-11-2016;2016-47;40183.3
256;25-11-2016;2016-48;39659.6
257;02-12-2016;2016-49;39236.7
258;09-12-2016;2016-50;39498.6
259;16-12-2016;2016-51;39437.4
260;23-12-2016;2016-52;39625.5
261;30-12-2016;2016-53;39755.4
262;06-01-2017;2017-1;39886.1
263;13-01-2017;2017-2;39922.9
264;20-01-2017;2017-3;39603.6
265;27-01-2017;2017-4;41502.6
266;03-02-2017;2017-5;42480.3
267;10-02-2017;2017-6;42369.7
268;17-02-2017;2017-7;41670.7
269;24-02-2017;2017-8;42738.1
270;03-03-2017;2017-9;42052.2
271;10-03-2017;2017-10;42469.7
272;17-03-2017;2017-11;42834.1
273;24-03-2017;2017-12;43080.1
274;31-03-2017;2017-13;43030.8
275;07-04-2017;2017-14;44245.4
276;14-04-2017;2017-15;44425.1
277;21-04-2017;2017-16;44854.3
278;28-04-2017;2017-17;45204.9
279;05-05-2017;2017-18;44960.1
280;12-05-2017;2017-19;46311.1
281;19-05-2017;2017-20;45841.7
282;26-05-2017;2017-21;46767.4
283;02-06-2017;2017-22;46964.3
284;09-06-2017;2017-23;47051.7
285;16-06-2017;2017-24;48165.3
286;23-06-2017;2017-25;48175.7
287;30-06-2017;2017-26;47710.4
288;07-07-2017;2017-27;46925.3
289;14-07-2017;2017-28;45832.7
290;21-07-2017;2017-29;46273.3
291;28-07-2017;2017-30;46454.1
292;04-08-2017;2017-31;46964.4
