;Tarih;TP_DB_B01
0;1989-Q4;43910.0
1;1990-Q1;45056.0
2;1990-Q2;46683.0
3;1990-Q3;50516.0
4;1990-Q4;52380.0
5;1991-Q1;49387.0
6;1991-Q2;48417.0
7;1991-Q3;50216.0
8;1991-Q4;53622.0
9;1992-Q1;51584.0
10;1992-Q2;55581.0
11;1992-Q3;59745.0
12;1992-Q4;58595.0
13;1993-Q1;60511.0
14;1993-Q2;63577.0
15;1993-Q3;68643.0
16;1993-Q4;70511.0
17;1994-Q1;70835.0
18;1994-Q2;69844.0
19;1994-Q3;69475.0
20;1994-Q4;68704.0
21;1995-Q1;74443.0
22;1995-Q2;76095.0
23;1995-Q3;75725.0
24;1995-Q4;75947.0
25;1996-Q1;76124.0
26;1996-Q2;78665.0
27;1996-Q3;79020.0
28;1996-Q4;79298.0
29;1997-Q1;76381.0
30;1997-Q2;79633.0
31;1997-Q3;81957.0
32;1997-Q4;84355.0
33;1998-Q1;85751.0
34;1998-Q2;90390.0
35;1998-Q3;95708.0
36;1998-Q4;96351.0
37;1999-Q1;94914.0
38;1999-Q2;93618.0
39;1999-Q3;97384.0
40;1999-Q4;103123.0
41;2000-Q1;104752.0
42;2000-Q2;109476.0
43;2000-Q3;110712.0
44;2000-Q4;118601.0
45;2001-Q1;116946.0
46;2001-Q2;114376.0
47;2001-Q3;119774.0
48;2001-Q4;113591.0
49;2002-Q1;114902.0
50;2002-Q2;124789.0
51;2002-Q3;126542.0
52;2002-Q4;131886.0
53;2003-Q1;132760.0
54;2003-Q2;137829.0
55;2003-Q3;142527.0
56;2003-Q4;148482.0
57;2004-Q1;148983.0
58;2004-Q2;152753.0
59;2004-Q3;157838.0
60;2004-Q4;165945.0
61;2005-Q1;164516.0
62;2005-Q2;167770.0
63;2005-Q3;171328.0
64;2005-Q4;175751.0
65;2006-Q1;190381.0
66;2006-Q2;199034.0
67;2006-Q3;204309.0
68;2006-Q4;215646.0
69;2007-Q1;220079.0
70;2007-Q2;232683.0
71;2007-Q3;244951.0
72;2007-Q4;259940.0
73;2008-Q1;274367.0
74;2008-Q2;297170.0
75;2008-Q3;302176.0
76;2008-Q4;285591.0
77;2009-Q1;270358.0
78;2009-Q2;275407.0
79;2009-Q3;278593.0
80;2009-Q4;277033.0
81;2010-Q1;274819.0
82;2010-Q2;276732.0
83;2010-Q3;296330.0
84;2010-Q4;308737.0
85;2011-Q1;316809.0
86;2011-Q2;332605.0
87;2011-Q3;327884.0
88;2011-Q4;321111.0
89;2012-Q1;332349.0
90;2012-Q2;338674.0
91;2012-Q3;344029.0
92;2012-Q4;357483.0
93;2013-Q1;366500.0
94;2013-Q2;382731.0
95;2013-Q3;391092.0
96;2013-Q4;405331.0
97;2014-Q1;402820.0
98;2014-Q2;417847.0
99;2014-Q3;413961.0
100;2014-Q4;416772.0
101;2015-Q1;404486.0
102;2015-Q2;415494.0
103;2015-Q3;413595.0
104;2015-Q4;403146.0
105;2016-Q1;415538.0
106;2016-Q2;425640.0
107;2016-Q3;419186.0
108;2016-Q4;406543.0
109;2017-Q1;414052.0
110;2017-Q2;434267.0
111;2017-Q3;440776.0
112;2017-Q4;451503.0
113;2018-Q1;457750.0
114;2018-Q2;448640.0
115;2018-Q3;435228.0
116;2018-Q4;426711.0
117;2019-Q1;432762.0
118;2019-Q2;424674.0
119;2019-Q3;416362.0
120;2019-Q4;414700.0
121;2020-Q1;410389.0
122;2020-Q2;406380.0
123;2020-Q3;414578.0
124;2020-Q4;429382.0
125;2021-Q1;426058.0
126;2021-Q2;439665.0
127;2021-Q3;447784.0
128;2021-Q4;437556.0
129;2022-Q1;445516.0
130;2022-Q2;440803.0
131;2022-Q3;438895.0
132;2022-Q4;459260.0
133;2023-Q1;476766.0
134;2023-Q2;478398.0
135;2023-Q3;482639.0
