;Tarih;TP_DK_CNY_A
0;20-03-2012;0.28192
1;21-03-2012;0.28345
2;22-03-2012;0.28319
3;23-03-2012;0.28367
4;24-03-2012;
5;25-03-2012;
6;26-03-2012;0.28179
7;27-03-2012;0.28052
8;28-03-2012;0.27925
9;29-03-2012;0.27901
10;30-03-2012;0.27861
11;31-03-2012;
12;01-04-2012;
13;02-04-2012;0.27918
14;03-04-2012;0.27905
15;04-04-2012;0.27863
16;05-04-2012;0.28055
17;06-04-2012;0.28067
18;07-04-2012;
19;08-04-2012;
20;09-04-2012;0.28051
21;10-04-2012;0.28119
22;11-04-2012;0.28159
23;12-04-2012;0.28271
24;13-04-2012;0.2817
25;14-04-2012;
26;15-04-2012;
27;16-04-2012;0.28062
28;17-04-2012;0.28149
29;18-04-2012;0.28054
30;19-04-2012;0.28049
31;20-04-2012;0.28003
32;21-04-2012;
33;22-04-2012;
34;23-04-2012;
35;24-04-2012;0.28028
36;25-04-2012;0.27984
37;26-04-2012;0.27783
38;27-04-2012;0.27633
39;28-04-2012;
40;29-04-2012;
41;30-04-2012;0.27563
42;01-05-2012;
43;02-05-2012;0.27488
44;03-05-2012;0.27543
45;04-05-2012;0.2754
46;05-05-2012;
47;06-05-2012;
48;07-05-2012;0.27495
49;08-05-2012;0.27618
50;09-05-2012;0.27601
51;10-05-2012;0.27977
52;11-05-2012;0.27941
53;12-05-2012;
54;13-05-2012;
55;14-05-2012;0.27966
56;15-05-2012;0.28218
57;16-05-2012;0.28208
58;17-05-2012;0.28502
59;18-05-2012;0.28477
60;19-05-2012;
61;20-05-2012;
62;21-05-2012;0.28581
63;22-05-2012;0.28537
64;23-05-2012;0.28503
65;24-05-2012;0.28791
66;25-05-2012;0.28747
67;26-05-2012;
68;27-05-2012;
69;28-05-2012;0.28635
70;29-05-2012;0.28536
71;30-05-2012;0.28543
72;31-05-2012;0.2856
73;01-06-2012;0.28658
74;02-06-2012;
75;03-06-2012;
76;04-06-2012;0.28943
77;05-06-2012;0.28718
78;06-06-2012;0.28691
79;07-06-2012;0.28534
80;08-06-2012;0.28357
81;09-06-2012;
82;10-06-2012;
83;11-06-2012;0.28442
84;12-06-2012;0.28157
85;13-06-2012;0.28332
86;14-06-2012;0.28283
87;15-06-2012;0.28243
88;16-06-2012;
89;17-06-2012;
90;18-06-2012;0.28147
91;19-06-2012;0.28106
92;20-06-2012;0.28054
93;21-06-2012;0.27829
94;22-06-2012;0.27886
95;23-06-2012;
96;24-06-2012;
97;25-06-2012;0.28013
98;26-06-2012;0.28244
99;27-06-2012;0.28228
100;28-06-2012;0.28089
101;29-06-2012;0.28319
102;30-06-2012;
103;01-07-2012;
104;02-07-2012;0.28197
105;03-07-2012;0.28107
106;04-07-2012;0.27983
107;05-07-2012;0.28018
108;06-07-2012;0.28101
109;07-07-2012;
110;08-07-2012;
111;09-07-2012;0.28195
112;10-07-2012;0.28226
113;11-07-2012;0.28206
114;12-07-2012;0.28053
115;13-07-2012;0.2813
116;14-07-2012;
117;15-07-2012;
118;16-07-2012;0.28134
119;17-07-2012;0.28062
120;18-07-2012;0.28016
121;19-07-2012;0.28023
122;20-07-2012;0.27919
123;21-07-2012;
124;22-07-2012;
125;23-07-2012;0.27959
126;24-07-2012;0.28109
127;25-07-2012;0.28207
128;26-07-2012;0.28193
129;27-07-2012;0.28185
130;28-07-2012;
131;29-07-2012;
132;30-07-2012;0.28134
133;31-07-2012;0.28001
134;01-08-2012;0.27839
135;02-08-2012;0.27807
136;03-08-2012;0.27872
137;04-08-2012;
138;05-08-2012;
139;06-08-2012;0.27693
140;07-08-2012;0.27554
141;08-08-2012;0.27622
142;09-08-2012;0.27756
143;10-08-2012;0.277
144;11-08-2012;
145;12-08-2012;
146;13-08-2012;0.27773
147;14-08-2012;0.27782
148;15-08-2012;0.27855
149;16-08-2012;0.27954
150;17-08-2012;0.27879
151;18-08-2012;
152;19-08-2012;
153;20-08-2012;
154;21-08-2012;
155;22-08-2012;0.27917
156;23-08-2012;0.27899
157;24-08-2012;0.27854
158;25-08-2012;
159;26-08-2012;
160;27-08-2012;0.27939
161;28-08-2012;0.27951
162;29-08-2012;0.27983
163;30-08-2012;
164;31-08-2012;0.28217
165;01-09-2012;
166;02-09-2012;
167;03-09-2012;0.28291
168;04-09-2012;0.28341
169;05-09-2012;0.28273
170;06-09-2012;0.28351
171;07-09-2012;0.28293
172;08-09-2012;
173;09-09-2012;
174;10-09-2012;0.28117
175;11-09-2012;0.28043
176;12-09-2012;0.28104
177;13-09-2012;0.28111
178;14-09-2012;0.28222
179;15-09-2012;
180;16-09-2012;
181;17-09-2012;0.2805
182;18-09-2012;0.28082
183;19-09-2012;0.28145
184;20-09-2012;0.28039
185;21-09-2012;0.28208
186;22-09-2012;
187;23-09-2012;
188;24-09-2012;0.281
189;25-09-2012;0.28162
190;26-09-2012;0.28085
191;27-09-2012;0.28093
192;28-09-2012;0.28042
193;29-09-2012;
194;30-09-2012;
195;01-10-2012;0.28161
196;02-10-2012;0.28217
197;03-10-2012;0.28158
198;04-10-2012;0.28161
199;05-10-2012;0.28363
200;06-10-2012;
201;07-10-2012;
202;08-10-2012;0.28236
203;09-10-2012;0.28411
204;10-10-2012;0.28491
205;11-10-2012;0.28536
206;12-10-2012;0.285
207;13-10-2012;
208;14-10-2012;
209;15-10-2012;0.28469
210;16-10-2012;0.28487
211;17-10-2012;0.28506
212;18-10-2012;0.28427
213;19-10-2012;0.28418
214;20-10-2012;
215;21-10-2012;
216;22-10-2012;0.28373
217;23-10-2012;0.28323
218;24-10-2012;0.28435
219;25-10-2012;
220;26-10-2012;
221;27-10-2012;
222;28-10-2012;
223;29-10-2012;
224;30-10-2012;0.28435
225;31-10-2012;0.28491
226;01-11-2012;0.28387
227;02-11-2012;0.28354
228;03-11-2012;
229;04-11-2012;
230;05-11-2012;0.28314
231;06-11-2012;0.2827
232;07-11-2012;0.28077
233;08-11-2012;0.28084
234;09-11-2012;0.28216
