;Tarih;TP_DK_CNY_S
0;20-03-2012;0.28563
1;21-03-2012;0.28718
2;22-03-2012;0.28692
3;23-03-2012;0.28741
4;24-03-2012;
5;25-03-2012;
6;26-03-2012;0.2855
7;27-03-2012;0.28421
8;28-03-2012;0.28293
9;29-03-2012;0.28268
10;30-03-2012;0.28228
11;31-03-2012;
12;01-04-2012;
13;02-04-2012;0.28286
14;03-04-2012;0.28273
15;04-04-2012;0.2823
16;05-04-2012;0.28425
17;06-04-2012;0.28437
18;07-04-2012;
19;08-04-2012;
20;09-04-2012;0.2842
21;10-04-2012;0.28489
22;11-04-2012;0.2853
23;12-04-2012;0.28643
24;13-04-2012;0.28541
25;14-04-2012;
26;15-04-2012;
27;16-04-2012;0.28432
28;17-04-2012;0.2852
29;18-04-2012;0.28424
30;19-04-2012;0.28418
31;20-04-2012;0.28372
32;21-04-2012;
33;22-04-2012;
34;23-04-2012;
35;24-04-2012;0.28397
36;25-04-2012;0.28353
37;26-04-2012;0.28149
38;27-04-2012;0.27997
39;28-04-2012;
40;29-04-2012;
41;30-04-2012;0.27926
42;01-05-2012;
43;02-05-2012;0.2785
44;03-05-2012;0.27906
45;04-05-2012;0.27903
46;05-05-2012;
47;06-05-2012;
48;07-05-2012;0.27857
49;08-05-2012;0.27982
50;09-05-2012;0.27965
51;10-05-2012;0.28345
52;11-05-2012;0.28309
53;12-05-2012;
54;13-05-2012;
55;14-05-2012;0.28334
56;15-05-2012;0.2859
57;16-05-2012;0.2858
58;17-05-2012;0.28877
59;18-05-2012;0.28852
60;19-05-2012;
61;20-05-2012;
62;21-05-2012;0.28957
63;22-05-2012;0.28913
64;23-05-2012;0.28878
65;24-05-2012;0.2917
66;25-05-2012;0.29126
67;26-05-2012;
68;27-05-2012;
69;28-05-2012;0.29012
70;29-05-2012;0.28912
71;30-05-2012;0.28919
72;31-05-2012;0.28936
73;01-06-2012;0.29035
74;02-06-2012;
75;03-06-2012;
76;04-06-2012;0.29324
77;05-06-2012;0.29096
78;06-06-2012;0.29069
79;07-06-2012;0.2891
80;08-06-2012;0.2873
81;09-06-2012;
82;10-06-2012;
83;11-06-2012;0.28817
84;12-06-2012;0.28528
85;13-06-2012;0.28705
86;14-06-2012;0.28656
87;15-06-2012;0.28615
88;16-06-2012;
89;17-06-2012;
90;18-06-2012;0.28518
91;19-06-2012;0.28476
92;20-06-2012;0.28424
93;21-06-2012;0.28196
94;22-06-2012;0.28253
95;23-06-2012;
96;24-06-2012;
97;25-06-2012;0.28382
