;Tarih;TP_FG_F02
0;1982-1;387.4
1;1982-2;400.8
2;1982-3;409.9
3;1982-4;410.8
4;1982-5;409.3
5;1982-6;412.6
6;1982-7;413.2
7;1982-8;420.4
8;1982-9;449.3
9;1982-10;447.3
10;1982-11;459.2
11;1982-12;470.2
12;1983-1;484.6
13;1983-2;504.6
14;1983-3;513.4
15;1983-4;514.9
16;1983-5;510.9
17;1983-6;513.5
18;1983-7;509.7
19;1983-8;522.4
20;1983-9;535.8
21;1983-10;577.7
22;1983-11;597.3
23;1983-12;632.6
24;1984-1;647.3
25;1984-2;666.3
26;1984-3;692.3
27;1984-4;753.4
28;1984-5;802.9
29;1984-6;882.4
30;1984-7;877.3
31;1984-8;903.0
32;1984-9;903.0
33;1984-10;954.2
34;1984-11;989.9
35;1984-12;1009.1
36;1985-1;1044.4
37;1985-2;1083.5
38;1985-3;1157.7
39;1985-4;1144.6
40;1985-5;1146.3
41;1985-6;1109.4
42;1985-7;1103.3
43;1985-8;1147.3
44;1985-9;1203.0
45;1985-10;1302.4
46;1985-11;1371.1
47;1985-12;1371.4
48;1986-1;1408.8
49;1986-2;1444.4
50;1986-3;1455.1
51;1986-4;1423.6
52;1986-5;1447.8
53;1986-6;1491.2
54;1986-7;1538.7
55;1986-8;1541.2
56;1986-9;1548.6
57;1986-10;1706.3
58;1986-11;1729.6
59;1986-12;1757.2
60;1987-1;1817.1
61;1987-2;1877.8
62;1987-3;1968.5
63;1987-4;1985.5
64;1987-5;2149.0
65;1987-6;2098.4
66;1987-7;2128.6
67;1987-8;2172.0
68;1987-9;2181.3
69;1987-10;2278.2
70;1987-11;2461.0
71;1987-12;2730.1
72;1988-1;2905.3
73;1988-2;3112.0
74;1988-3;3415.0
75;1988-4;3443.3
76;1988-5;3435.4
77;1988-6;3495.5
78;1988-7;3596.8
79;1988-8;3737.3
80;1988-9;3858.0
81;1988-10;4132.3
82;1988-11;4477.4
83;1988-12;4627.1
84;1989-1;4882.7
85;1989-2;5197.8
86;1989-3;5295.5
