;Tarih;TP_FG_J092
0;2003-1;96.61
1;2003-2;96.51
2;2003-3;96.78
3;2003-4;97.04
4;2003-5;97.22
5;2003-6;97.48
6;2003-7;97.85
7;2003-8;98.88
8;2003-9;103.88
9;2003-10;105.15
10;2003-11;106.21
11;2003-12;106.37
12;2004-1;107.99
13;2004-2;109.55
14;2004-3;109.78
15;2004-4;110.06
16;2004-5;110.33
17;2004-6;110.44
18;2004-7;111.06
19;2004-8;111.76
20;2004-9;114.43
21;2004-10;115.0
22;2004-11;115.24
23;2004-12;114.88
24;2005-1;115.83
25;2005-2;115.36
26;2005-3;113.24
27;2005-4;113.05
28;2005-5;114.63
29;2005-6;114.51
30;2005-7;114.31
31;2005-8;115.26
32;2005-9;116.89
33;2005-10;117.94
34;2005-11;117.67
35;2005-12;118.38
36;2006-1;118.13
37;2006-2;117.85
38;2006-3;118.08
39;2006-4;117.85
40;2006-5;117.56
41;2006-6;118.49
42;2006-7;118.98
43;2006-8;120.79
44;2006-9;123.21
45;2006-10;123.76
46;2006-11;124.14
47;2006-12;124.32
48;2007-1;124.65
49;2007-2;124.0
50;2007-3;124.42
51;2007-4;124.5
52;2007-5;124.62
53;2007-6;124.83
54;2007-7;124.92
55;2007-8;124.94
56;2007-9;125.04
57;2007-10;125.75
58;2007-11;125.73
59;2007-12;125.36
60;2008-1;125.57
61;2008-2;125.74
62;2008-3;125.57
63;2008-4;126.3
64;2008-5;127.55
65;2008-6;127.98
66;2008-7;128.1
67;2008-8;128.82
68;2008-9;131.16
69;2008-10;131.59
70;2008-11;133.22
71;2008-12;134.44
72;2009-1;135.86
73;2009-2;137.64
74;2009-3;138.7
75;2009-4;138.91
76;2009-5;139.24
77;2009-6;139.28
78;2009-7;139.38
79;2009-8;139.48
80;2009-9;141.17
81;2009-10;141.97
82;2009-11;141.65
83;2009-12;142.64
84;2010-1;142.62
85;2010-2;142.78
86;2010-3;142.76
87;2010-4;143.46
88;2010-5;143.73
89;2010-6;143.8
90;2010-7;143.87
91;2010-8;143.72
92;2010-9;143.93
93;2010-10;144.7
94;2010-11;144.89
95;2010-12;144.87
96;2011-1;144.89
97;2011-2;145.13
98;2011-3;145.36
99;2011-4;147.75
100;2011-5;149.17
101;2011-6;150.12
102;2011-7;150.02
103;2011-8;150.63
104;2011-9;152.49
105;2011-10;155.02
106;2011-11;156.13
107;2011-12;157.54
108;2012-1;158.6
109;2012-2;160.7
110;2012-3;162.66
111;2012-4;164.29
112;2012-5;166.39
113;2012-6;167.16
114;2012-7;167.56
115;2012-8;169.12
116;2012-9;174.72
117;2012-10;178.88
118;2012-11;180.63
119;2012-12;181.56
120;2013-1;182.88
121;2013-2;183.65
122;2013-3;184.64
123;2013-4;185.24
124;2013-5;185.0
125;2013-6;184.47
126;2013-7;184.25
127;2013-8;184.42
128;2013-9;187.4
129;2013-10;188.01
130;2013-11;188.25
131;2013-12;189.18
132;2014-1;189.94
133;2014-2;193.1
134;2014-3;196.94
135;2014-4;198.15
136;2014-5;197.73
137;2014-6;198.4
138;2014-7;198.84
139;2014-8;199.69
140;2014-9;203.99
141;2014-10;207.6
142;2014-11;210.0
143;2014-12;211.71
144;2015-1;212.42
145;2015-2;214.62
146;2015-3;215.78
147;2015-4;217.46
148;2015-5;218.24
149;2015-6;218.76
150;2015-7;220.73
151;2015-8;222.16
152;2015-9;225.75
153;2015-10;230.03
154;2015-11;231.18
155;2015-12;232.12
156;2016-1;233.21
157;2016-2;235.43
158;2016-3;237.13
159;2016-4;238.87
160;2016-5;240.09
161;2016-6;240.67
162;2016-7;241.21
163;2016-8;241.61
164;2016-9;246.42
165;2016-10;251.65
166;2016-11;254.13
167;2016-12;257.23
168;2017-1;260.71
169;2017-2;270.98
170;2017-3;284.33
171;2017-4;293.38
172;2017-5;295.83
173;2017-6;298.64
174;2017-7;300.43
175;2017-8;304.19
176;2017-9;310.2
177;2017-10;316.7
178;2017-11;318.68
179;2017-12;320.0
180;2018-1;321.54
181;2018-2;323.75
182;2018-3;328.25
183;2018-4;330.54
184;2018-5;333.1
185;2018-6;336.58
186;2018-7;340.16
187;2018-8;350.09
188;2018-9;407.08
189;2018-10;434.62
190;2018-11;442.87
191;2018-12;445.27
192;2019-1;454.62
193;2019-2;458.92
194;2019-3;466.61
195;2019-4;471.61
196;2019-5;476.2
197;2019-6;477.6
198;2019-7;479.04
199;2019-8;489.99
200;2019-9;506.82
201;2019-10;514.12
202;2019-11;519.85
203;2019-12;522.13
204;2020-1;522.53
205;2020-2;518.79
206;2020-3;518.33
207;2020-4;513.88
208;2020-5;514.52
209;2020-6;516.22
210;2020-7;523.55
211;2020-8;526.87
212;2020-9;532.66
213;2020-10;535.7
214;2020-11;544.98
215;2020-12;555.38
216;2021-1;558.81
217;2021-2;563.91
218;2021-3;568.91
219;2021-4;583.74
220;2021-5;584.91
221;2021-6;606.75
222;2021-7;616.33
223;2021-8;632.42
224;2021-9;666.85
