;Tarih;TP_FG_TF01
0;2003-1;96.9878
1;2003-2;99.1187
2;2003-3;100.8373
3;2003-4;100.0152
4;2003-5;99.04
5;2003-6;98.8036
6;2003-7;99.1576
7;2003-8;99.6958
8;2003-9;99.6066
9;2003-10;100.6613
10;2003-11;102.7988
11;2003-12;103.2774
12;2004-1;107.1723
13;2004-2;107.4008
14;2004-3;108.0315
15;2004-4;110.4879
16;2004-5;115.5038
17;2004-6;116.4278
18;2004-7;115.562
19;2004-8;116.6885
20;2004-9;117.5281
21;2004-10;120.4252
22;2004-11;120.425
23;2004-12;119.1275
24;2005-1;118.6397
25;2005-2;118.7677
26;2005-3;120.27
27;2005-4;121.72
28;2005-5;121.96
29;2005-6;121.38
30;2005-7;120.48
31;2005-8;121.73
32;2005-9;122.68
33;2005-10;123.52
34;2005-11;122.35
35;2005-12;122.3
36;2006-1;124.7
37;2006-2;125.02
38;2006-3;125.33
39;2006-4;127.76
40;2006-5;131.3
41;2006-6;136.58
42;2006-7;137.76
43;2006-8;136.73
44;2006-9;136.41
45;2006-10;137.03
46;2006-11;136.63
47;2006-12;136.46
48;2007-1;136.39
49;2007-2;137.68
50;2007-3;139.02
51;2007-4;140.13
52;2007-5;140.68
53;2007-6;140.53
54;2007-7;140.62
55;2007-8;141.82
56;2007-9;143.26
57;2007-10;143.07
58;2007-11;144.35
59;2007-12;144.57
60;2008-1;145.18
61;2008-2;148.9
62;2008-3;153.62
63;2008-4;160.53
64;2008-5;163.93
65;2008-6;164.46
66;2008-7;166.51
67;2008-8;162.62
68;2008-9;161.16
69;2008-10;162.08
70;2008-11;162.03
71;2008-12;156.29
72;2009-1;156.65
73;2009-2;158.48
74;2009-3;158.94
75;2009-4;159.97
76;2009-5;159.89
77;2009-6;161.4
78;2009-7;160.26
79;2009-8;160.93
80;2009-9;161.92
81;2009-10;162.38
82;2009-11;164.48
83;2009-12;165.56
84;2010-1;166.52
85;2010-2;169.29
86;2010-3;172.58
87;2010-4;176.64
88;2010-5;174.61
89;2010-6;173.73
90;2010-7;173.46
91;2010-8;175.46
92;2010-9;176.35
93;2010-10;178.48
94;2010-11;177.92
95;2010-12;180.25
96;2011-1;184.51
97;2011-2;187.69
98;2011-3;189.98
99;2011-4;191.14
100;2011-5;191.43
101;2011-6;191.44
102;2011-7;191.39
103;2011-8;194.76
104;2011-9;197.77
105;2011-10;200.94
106;2011-11;202.24
107;2011-12;204.27
108;2012-1;205.05
109;2012-2;204.86
110;2012-3;205.6
111;2012-4;205.77
112;2012-5;206.86
113;2012-6;203.77
114;2012-7;203.13
115;2012-8;203.65
116;2012-9;205.75
117;2012-10;206.11
118;2012-11;209.53
119;2012-12;209.28
120;2013-1;208.9
121;2013-2;208.63
122;2013-3;210.33
123;2013-4;209.26
124;2013-5;211.35
125;2013-6;214.43
126;2013-7;216.56
127;2013-8;216.65
128;2013-9;218.56
129;2013-10;220.06
130;2013-11;221.42
131;2013-12;223.87
