;Tarih;TP_FG_TF02
0;2003-1;91.4778
1;2003-2;94.8794
2;2003-3;96.6845
3;2003-4;97.7292
4;2003-5;100.6131
5;2003-6;99.9727
6;2003-7;100.8554
7;2003-8;100.359
8;2003-9;101.3771
9;2003-10;102.5285
10;2003-11;105.5494
11;2003-12;107.9738
12;2004-1;118.6619
13;2004-2;120.5685
14;2004-3;120.4346
15;2004-4;126.5505
16;2004-5;130.6463
17;2004-6;128.9501
18;2004-7;123.4049
19;2004-8;120.9016
20;2004-9;120.9069
21;2004-10;122.7339
22;2004-11;125.7788
23;2004-12;126.1232
24;2005-1;127.3442
25;2005-2;127.191
26;2005-3;128.2
27;2005-4;126.56
28;2005-5;129.04
29;2005-6;124.69
30;2005-7;121.61
31;2005-8;120.97
32;2005-9;122.82
33;2005-10;125.1
34;2005-11;127.74
35;2005-12;129.94
36;2006-1;132.41
37;2006-2;133.17
38;2006-3;132.69
39;2006-4;135.73
40;2006-5;139.42
41;2006-6;139.07
42;2006-7;136.29
43;2006-8;134.55
44;2006-9;135.35
45;2006-10;134.79
46;2006-11;134.67
47;2006-12;133.23
48;2007-1;135.6
49;2007-2;138.28
50;2007-3;138.57
51;2007-4;139.49
52;2007-5;143.53
53;2007-6;145.05
54;2007-7;145.6
55;2007-8;146.64
56;2007-9;151.05
57;2007-10;152.99
58;2007-11;153.35
59;2007-12;154.15
60;2008-1;156.59
61;2008-2;159.82
62;2008-3;161.13
63;2008-4;165.75
64;2008-5;171.53
65;2008-6;166.84
66;2008-7;166.77
67;2008-8;163.45
68;2008-9;160.98
69;2008-10;160.56
70;2008-11;158.96
71;2008-12;154.39
72;2009-1;154.6
73;2009-2;157.12
74;2009-3;157.57
75;2009-4;162.73
76;2009-5;168.75
77;2009-6;171.61
78;2009-7;166.73
79;2009-8;166.76
80;2009-9;167.54
81;2009-10;169.43
82;2009-11;173.06
83;2009-12;176.34
84;2010-1;180.82
85;2010-2;188.12
86;2010-3;193.37
87;2010-4;211.38
88;2010-5;199.42
89;2010-6;198.03
90;2010-7;193.78
91;2010-8;200.53
92;2010-9;201.42
93;2010-10;214.69
94;2010-11;205.56
95;2010-12;201.95
96;2011-1;207.85
97;2011-2;212.31
98;2011-3;213.75
99;2011-4;221.09
100;2011-5;216.83
101;2011-6;210.05
102;2011-7;197.33
103;2011-8;195.83
104;2011-9;197.39
105;2011-10;205.27
106;2011-11;216.36
107;2011-12;223.23
108;2012-1;225.4
109;2012-2;229.58
110;2012-3;226.91
111;2012-4;225.33
112;2012-5;233.56
113;2012-6;219.27
114;2012-7;219.86
115;2012-8;218.21
116;2012-9;221.26
117;2012-10;221.31
118;2012-11;214.77
119;2012-12;213.93
120;2013-1;208.33
121;2013-2;213.67
122;2013-3;213.81
123;2013-4;209.05
124;2013-5;221.18
125;2013-6;228.65
126;2013-7;229.23
127;2013-8;219.26
128;2013-9;213.17
129;2013-10;222.62
130;2013-11;224.56
131;2013-12;230.15
