;Tarih;TP_ISGUCARSIV_G1
0;2005-1;47937.0
1;2005-2;48015.0
2;2005-3;48086.0
3;2005-4;48164.0
4;2005-5;48239.0
5;2005-6;48317.0
6;2005-7;48392.0
7;2005-8;48470.0
8;2005-9;48548.0
9;2005-10;48623.0
10;2005-11;48701.0
11;2005-12;48777.0
12;2006-1;48855.0
13;2006-2;48933.0
14;2006-3;49003.0
15;2006-4;49081.0
16;2006-5;49157.0
17;2006-6;49235.0
18;2006-7;49311.0
19;2006-8;49389.0
20;2006-9;49467.0
21;2006-10;49543.0
22;2006-11;49621.0
23;2006-12;49697.0
24;2007-1;49773.0
25;2007-2;49848.0
26;2007-3;49916.0
27;2007-4;49991.0
28;2007-5;50064.0
29;2007-6;50139.0
30;2007-7;50212.0
31;2007-8;50287.0
32;2007-9;50362.0
33;2007-10;50435.0
34;2007-11;50510.0
35;2007-12;50583.0
36;2008-1;50651.0
37;2008-2;50712.0
38;2008-3;50769.0
39;2008-4;50831.0
40;2008-5;50890.0
41;2008-6;50951.0
42;2008-7;51010.0
43;2008-8;51072.0
44;2008-9;51133.0
45;2008-10;51192.0
46;2008-11;51253.0
47;2008-12;51313.0
48;2009-1;51383.0
49;2009-2;51466.0
50;2009-3;51542.0
51;2009-4;51626.0
52;2009-5;51707.0
53;2009-6;51791.0
54;2009-7;51872.0
55;2009-8;51956.0
56;2009-9;52039.0
57;2009-10;52120.0
58;2009-11;52204.0
59;2009-12;52285.0
60;2010-1;52376.0
61;2010-2;52474.0
62;2010-3;52563.0
63;2010-4;52661.0
64;2010-5;52756.0
65;2010-6;52854.0
66;2010-7;52949.0
67;2010-8;53047.0
68;2010-9;53145.0
69;2010-10;53240.0
70;2010-11;53338.0
71;2010-12;53433.0
72;2011-1;53525.0
73;2011-2;53610.0
74;2011-3;53688.0
75;2011-4;53773.0
76;2011-5;53856.0
77;2011-6;53941.0
78;2011-7;54024.0
79;2011-8;54109.0
80;2011-9;54195.0
81;2011-10;54277.0
82;2011-11;54363.0
83;2011-12;54446.0
84;2012-1;54528.0
85;2012-2;54608.0
86;2012-3;54683.0
87;2012-4;54763.0
88;2012-5;54841.0
89;2012-6;54921.0
90;2012-7;54998.0
91;2012-8;55079.0
92;2012-9;55159.0
93;2012-10;55236.0
94;2012-11;55316.0
95;2012-12;55394.0
96;2013-1;55480.0
97;2013-2;55574.0
98;2013-3;55658.0
99;2013-4;55751.0
100;2013-5;55842.0
101;2013-6;55935.0
102;2013-7;56025.0
103;2013-8;56119.0
104;2013-9;56212.0
105;2013-10;56302.0
106;2013-11;56395.0
107;2013-12;56486.0
108;2014-1;56571.0
109;2014-2;56648.0
110;2014-3;56718.0
111;2014-4;56795.0
112;2014-5;56869.0
113;2014-6;56946.0
114;2014-7;57021.0
115;2014-8;57098.0
116;2014-9;57175.0
117;2014-10;57249.0
118;2014-11;57326.0
119;2014-12;57401.0
120;2015-1;57475.0
121;2015-2;57545.0
122;2015-3;57609.0
123;2015-4;57679.0
124;2015-5;57747.0
125;2015-6;57818.0
126;2015-7;57891.0
127;2015-8;57973.0
128;2015-9;58054.0
129;2015-10;58134.0
130;2015-11;58215.0
131;2015-12;58294.0
132;2016-1;58366.0
133;2016-2;58433.0
134;2016-3;58493.0
135;2016-4;58558.0
136;2016-5;58621.0
137;2016-6;58686.0
138;2016-7;58756.0
139;2016-8;58835.0
140;2016-9;58914.0
141;2016-10;58990.0
142;2016-11;59069.0
143;2016-12;59146.0
144;2017-1;59493.0
145;2017-2;59567.0
146;2017-3;59634.0
147;2017-4;59709.0
148;2017-5;59781.0
149;2017-6;59855.0
150;2017-7;59927.0
151;2017-8;60002.0
152;2017-9;60076.0
153;2017-10;60148.0
154;2017-11;60223.0
155;2017-12;60295.0
156;2018-1;60360.0
157;2018-2;60414.5
158;2018-3;60464.0
159;2018-4;60519.0
160;2018-5;60571.0
161;2018-6;60626.0
162;2018-7;60679.0
163;2018-8;60733.0
164;2018-9;60788.0
165;2018-10;60841.0
166;2018-11;60896.0
167;2018-12;60948.0
168;2019-1;61017.0
169;2019-2;61101.0
170;2019-3;61177.0
171;2019-4;61261.0
172;2019-5;61342.0
173;2019-6;61426.0
174;2019-7;61507.0
175;2019-8;61591.0
176;2019-9;61675.0
177;2019-10;61756.0
178;2019-11;61840.0
179;2019-12;61921.0
180;2020-1;62015.0
181;2020-2;62119.0
182;2020-3;62216.0
183;2020-4;62320.0
184;2020-5;62421.0
185;2020-6;62525.0
186;2020-7;62626.0
187;2020-8;62730.0
188;2020-9;62834.0
189;2020-10;62935.0
190;2020-11;63039.0
