;Tarih;TP_MK_LON_YTL
0;1973-12;105.0
1;1974-1;
2;1974-2;
3;1974-3;
4;1974-4;
5;1974-5;
6;1974-6;
7;1974-7;
8;1974-8;
9;1974-9;
10;1974-10;
11;1974-11;
12;1974-12;159.5
13;1975-1;
14;1975-2;
15;1975-3;
16;1975-4;
17;1975-5;
18;1975-6;
19;1975-7;
20;1975-8;
21;1975-9;
22;1975-10;
23;1975-11;
24;1975-12;161.1
25;1976-1;
26;1976-2;
27;1976-3;
28;1976-4;
29;1976-5;
30;1976-6;
31;1976-7;
32;1976-8;
33;1976-9;
34;1976-10;
35;1976-11;
36;1976-12;122.9
37;1977-1;
38;1977-2;
39;1977-3;
40;1977-4;
41;1977-5;
42;1977-6;
43;1977-7;
44;1977-8;
45;1977-9;
46;1977-10;
47;1977-11;
48;1977-12;147.0
49;1978-1;174.0
50;1978-2;178.0
51;1978-3;184.0
52;1978-4;176.0
53;1978-5;175.0
54;1978-6;184.0
55;1978-7;189.0
56;1978-8;206.0
57;1978-9;212.0
58;1978-10;226.0
59;1978-11;206.0
60;1978-12;208.0
61;1979-1;221.0
62;1979-2;245.0
63;1979-3;242.0
64;1979-4;239.0
65;1979-5;256.0
66;1979-6;280.0
67;1979-7;294.0
68;1979-8;301.0
69;1979-9;355.0
70;1979-10;392.0
71;1979-11;392.0
72;1979-12;450.0
73;1980-1;675.0
74;1980-2;665.0
75;1980-3;554.0
76;1980-4;517.0
77;1980-5;514.0
78;1980-6;601.0
79;1980-7;643.0
80;1980-8;627.0
81;1980-9;674.0
82;1980-10;661.0
83;1980-11;624.0
84;1980-12;538.0
85;1981-1;557.0
86;1981-2;500.0
87;1981-3;499.0
88;1981-4;496.0
89;1981-5;480.0
90;1981-6;401.0
91;1981-7;409.0
92;1981-8;410.0
93;1981-9;444.0
94;1981-10;438.0
95;1981-11;413.0
96;1981-12;410.0
97;1982-1;384.0
98;1982-2;384.0
99;1982-3;330.0
100;1982-4;350.0
101;1982-5;334.0
102;1982-6;315.0
103;1982-7;339.0
104;1982-8;364.0
105;1982-9;437.0
106;1982-10;422.0
107;1982-11;415.0
108;1982-12;445.0
109;1983-1;481.0
110;1983-2;491.0
111;1983-3;420.0
112;1983-4;433.0
113;1983-5;438.0
114;1983-6;413.0
115;1983-7;403.0
116;1983-8;416.0
117;1983-9;411.0
118;1983-10;393.0
119;1983-11;382.0
120;1983-12;388.0
121;1984-1;371.0
122;1984-2;386.0
123;1984-3;394.0
124;1984-4;381.0
125;1984-5;377.0
126;1984-6;378.0
127;1984-7;347.0
128;1984-8;348.0
129;1984-9;341.0
130;1984-10;340.0
131;1984-11;341.0
132;1984-12;320.0
133;1985-1;303.0
134;1985-2;299.0
135;1985-3;298.0
136;1985-4;325.0
137;1985-5;316.0
138;1985-6;316.0
139;1985-7;317.0
140;1985-8;330.0
141;1985-9;323.0
142;1985-10;326.0
143;1985-11;325.0
144;1985-12;322.0
145;1986-1;345.0
146;1986-2;339.0
147;1986-3;346.0
148;1986-4;340.0
149;1986-5;342.0
150;1986-6;343.0
151;1986-7;349.0
152;1986-8;377.0
153;1986-9;419.0
154;1986-10;424.0
155;1986-11;398.0
156;1986-12;323.0
157;1987-1;408.0
158;1987-2;401.0
159;1987-3;409.0
160;1987-4;438.0
161;1987-5;437.0
162;1987-6;450.0
163;1987-7;451.0
164;1987-8;461.0
165;1987-9;460.0
166;1987-10;465.0
167;1987-11;467.0
168;1987-12;486.0
169;1988-1;476.0
170;1988-2;442.0
171;1988-3;443.0
172;1988-4;409.0
173;1988-5;451.0
174;1988-6;451.0
175;1988-7;438.0
176;1988-8;461.0
177;1988-9;413.0
178;1988-10;407.0
179;1988-11;420.0
180;1988-12;419.0
181;1989-1;404.0
182;1989-2;388.0
183;1989-3;386.0
184;1989-4;384.0
185;1989-5;385.0
186;1989-6;385.0
187;1989-7;386.0
188;1989-8;385.0
