;Tarih;TP_PFVPBI01_K12
0;2012-1;158857402.49
1;2012-2;159542965.42
2;2012-3;164607772.58
3;2012-4;165892602.86
4;2012-5;169572277.37
5;2012-6;176176096.36
6;2012-7;183116487.74
7;2012-8;199250631.14
8;2012-9;202530139.25
9;2012-10;212925745.72
10;2012-11;213439812.49
11;2012-12;215207560.42
12;2013-1;221693180.0
13;2013-2;225697913.0
14;2013-3;233097400.0
15;2013-4;243848992.0
16;2013-5;243850289.0
17;2013-6;239715686.0
18;2013-7;242467925.0
19;2013-8;272308247.0
20;2013-9;269716192.0
21;2013-10;270464411.0
22;2013-11;275145795.0
23;2013-12;283475279.0
24;2014-1;287311404.0
25;2014-2;289328056.0
26;2014-3;280096171.0
27;2014-4;278634414.0
28;2014-5;277053990.0
29;2014-6;287400364.0
30;2014-7;281318428.0
31;2014-8;293803455.0
32;2014-9;304571793.0
33;2014-10;297339384.0
34;2014-11;299600620.0
35;2014-12;299403224.0
36;2015-1;317767998.0
37;2015-2;322914700.0
38;2015-3;319831518.0
39;2015-4;332133825.0
40;2015-5;324903943.0
41;2015-6;326138469.0
42;2015-7;339712360.0
43;2015-8;358612645.0
44;2015-9;369715270.0
45;2015-10;348412494.0
46;2015-11;345572470.0
47;2015-12;326611023.0
48;2016-1;336995445.0
49;2016-2;335577163.0
50;2016-3;329781844.0
51;2016-4;331732524.0
52;2016-5;348601590.0
53;2016-6;357606041.0
54;2016-7;366597088.0
55;2016-8;368618425.0
56;2016-9;358513220.0
57;2016-10;372761123.0
58;2016-11;397429311.0
59;2016-12;380326296.0
60;2017-1;414796141.0
61;2017-2;392492077.0
62;2017-3;391153427.0
63;2017-4;372065391.0
64;2017-5;382337650.0
65;2017-6;387675405.0
66;2017-7;386361764.0
67;2017-8;391687793.0
68;2017-9;406427822.0
69;2017-10;450838856.0
70;2017-11;461030427.0
71;2017-12;417148257.0
72;2018-1;442689545.0
73;2018-2;440201418.0
74;2018-3;447010537.0
75;2018-4;461235533.0
76;2018-5;489446790.0
77;2018-6;461966450.0
78;2018-7;501058742.0
79;2018-8;580556112.0
80;2018-9;525506529.0
81;2018-10;485931463.0
82;2018-11;479786701.0
83;2018-12;499052652.0
84;2019-1;520324454.0
85;2019-2;539233212.0
86;2019-3;543679630.0
87;2019-4;560495299.0
88;2019-5;576910968.0
89;2019-6;566597305.0
90;2019-7;563542442.0
91;2019-8;599453164.0
92;2019-9;582680752.0
93;2019-10;610304314.0
94;2019-11;613863133.0
95;2019-12;638588000.0
96;2020-1;622510407.0
97;2020-2;675589353.0
98;2020-3;612282551.0
99;2020-4;614876096.0
100;2020-5;630728616.0
101;2020-6;602723487.0
102;2020-7;639193718.0
103;2020-8;625409165.0
104;2020-9;636201069.0
105;2020-10;700935578.0
106;2020-11;659586036.0
107;2020-12;698404952.0
108;2021-1;718482925.0
109;2021-2;698694338.0
110;2021-3;736653264.0
111;2021-4;733882274.0
112;2021-5;803661902.0
113;2021-6;867425616.0
114;2021-7;914781588.0
115;2021-8;1001379205.0
116;2021-9;1088225016.0
117;2021-10;1191631440.0
