;Tarih;TP_TUFE1YI_T118
0;1994-1;0.9448085947
1;1994-2;0.974287802
2;1994-3;1.0081888904
3;1994-4;1.5019656131
4;1994-5;1.5078614546
5;1994-6;1.5078614546
6;1994-7;1.5830334332
7;1994-8;1.6950544211
8;1994-9;1.6950544211
9;1994-10;1.6950544211
10;1994-11;1.6994763022
11;1994-12;1.8763515461
12;1995-1;1.8763515461
13;1995-2;1.8837213479
14;1995-3;1.9633152077
15;1995-4;2.0399611468
16;1995-5;2.1328206498
17;1995-6;2.2153624303
18;1995-7;2.3111698541
19;1995-8;2.4541440096
20;1995-9;2.5779566804
21;1995-10;2.5779566804
22;1995-11;2.5897483633
23;1995-12;2.5897483633
24;1996-1;3.2206034001
25;1996-2;3.4829683452
26;1996-3;3.6539477477
27;1996-4;4.0755004125
28;1996-5;4.278906943
29;1996-6;4.4985270375
30;1996-7;4.7255169339
31;1996-8;4.983459998
32;1996-9;5.2414030621
33;1996-10;5.5037680073
34;1996-11;5.7867683976
35;1996-12;6.0727167086
36;1997-1;6.3734046233
37;1997-2;6.5650194709
38;1997-3;6.7684260015
39;1997-4;6.9806762942
40;1997-5;7.225353715
41;1997-6;7.4552915321
42;1997-7;7.6867033096
43;1997-8;7.9254848889
44;1997-9;8.4133657701
45;1997-10;8.9896842733
46;1997-11;9.6706539625
47;1997-12;9.6912894076
48;1998-1;10.1835921699
49;1998-2;10.695056417
50;1998-3;11.2463175939
51;1998-4;11.802000652
52;1998-5;12.3974806399
53;1998-6;13.0194919145
54;1998-7;13.6680344756
55;1998-8;14.3239468385
56;1998-9;14.7587651466
57;1998-10;15.195057415
58;1998-11;15.6372455248
59;1998-12;16.0971211591
60;1999-1;16.873898272
61;1999-2;17.7494307296
62;1999-3;18.6131715041
63;1999-4;19.5432404952
64;1999-5;20.5632210686
65;1999-6;21.5728839194
66;1999-7;22.6518229075
67;1999-8;23.7690848651
68;1999-9;24.9261437525
69;1999-10;26.1451089754
70;1999-11;27.4392461769
71;1999-12;28.7540188235
72;2000-1;29.9066558299
73;2000-2;30.5728859154
74;2000-3;31.3909339186
75;2000-4;32.0144191535
76;2000-5;32.7278159707
77;2000-6;33.4898534801
78;2000-7;34.1973544558
79;2000-8;35.0242462213
80;2000-9;35.6639450202
81;2000-10;36.403873124
82;2000-11;37.2174992461
83;2000-12;39.0231006947
84;2001-1;41.5081978721
85;2001-2;42.1139955826
86;2001-3;49.5221203831
87;2001-4;58.940727123
88;2001-5;63.8799683101
89;2001-6;66.1041745026
90;2001-7;69.1081057289
91;2001-8;74.4114151265
92;2001-9;78.7050616732
93;2001-10;81.3051277591
94;2001-11;83.0694583174
95;2001-12;86.98429705
96;2002-1;91.4371313163
97;2002-2;91.0082088497
98;2002-3;90.916823307
99;2002-4;91.7776161609
100;2002-5;92.4011013958
101;2002-6;93.5832176094
102;2002-7;95.6334964788
103;2002-8;97.8326453452
104;2002-9;100.6759148915
105;2002-10;100.7835139983
106;2002-11;103.2789288982
107;2002-12;103.0799442488
108;2003-1;103.2715590964
109;2003-2;103.5687800931
110;2003-3;103.5476710816
111;2003-4;102.6864577845
112;2003-5;102.9414671097
113;2003-6;103.0776878715
114;2003-7;102.4235558852
115;2003-8;101.9064086991
116;2003-9;101.4253466244
117;2003-10;91.8521315105
118;2003-11;91.7209614512
119;2003-12;91.5779727921
120;2004-1;100.8326181655
121;2004-2;99.9095579831
122;2004-3;99.8735271091
123;2004-4;99.824445857
124;2004-5;100.179006785
125;2004-6;100.2919733645
126;2004-7;100.3416850032
127;2004-8;100.6110889392
128;2004-9;100.7282982786
129;2004-10;96.2060059991
130;2004-11;96.9245590231
131;2004-12;97.0675867416
132;2005-1;105.44
133;2005-2;105.6
134;2005-3;105.49
135;2005-4;105.84
136;2005-5;106.06
137;2005-6;105.97
138;2005-7;105.96
139;2005-8;106.89
140;2005-9;88.33
141;2005-10;88.68
142;2005-11;89.46
143;2005-12;89.93
144;2006-1;108.65
145;2006-2;108.76
146;2006-3;108.71
147;2006-4;109.24
148;2006-5;109.14
149;2006-6;110.08
150;2006-7;110.98
151;2006-8;110.91
152;2006-9;111.41
153;2006-10;126.9
154;2006-11;126.9
155;2006-12;127.45
156;2007-1;127.15
157;2007-2;130.05
158;2007-3;135.13
159;2007-4;132.9
160;2007-5;126.18
161;2007-6;122.73
162;2007-7;127.54
163;2007-8;133.19
164;2007-9;132.8
165;2007-10;119.12
166;2007-11;118.02
167;2007-12;116.62
168;2008-1;119.15
169;2008-2;144.55
170;2008-3;145.75
171;2008-4;153.21
172;2008-5;153.92
173;2008-6;146.52
174;2008-7;158.03
175;2008-8;167.76
176;2008-9;168.56
177;2008-10;187.2
178;2008-11;203.47
179;2008-12;197.35
180;2009-1;206.48
181;2009-2;227.16
182;2009-3;229.45
183;2009-4;218.36
184;2009-5;193.22
185;2009-6;175.17
186;2009-7;176.55
187;2009-8;169.14
188;2009-9;167.4
189;2009-10;166.91
190;2009-11;169.61
191;2009-12;170.82
192;2010-1;169.39
193;2010-2;186.79
194;2010-3;188.91
195;2010-4;189.27
196;2010-5;191.25
197;2010-6;191.47
198;2010-7;192.37
199;2010-8;202.36
200;2010-9;202.57
201;2010-10;201.82
202;2010-11;199.94
203;2010-12;204.72
204;2011-1;206.23
205;2011-2;197.63
206;2011-3;196.74
207;2011-4;193.82
208;2011-5;184.04
209;2011-6;185.88
210;2011-7;186.34
211;2011-8;196.16
212;2011-9;202.41
213;2011-10;209.8
214;2011-11;213.71
215;2011-12;219.39
216;2012-1;221.88
217;2012-2;210.47
218;2012-3;207.79
219;2012-4;207.59
220;2012-5;209.42
221;2012-6;212.93
222;2012-7;206.09
223;2012-8;207.59
224;2012-9;209.7
225;2012-10;207.14
226;2012-11;276.93
227;2012-12;275.42
228;2013-1;272.45
229;2013-2;234.49
230;2013-3;239.14
231;2013-4;235.82
232;2013-5;240.45
233;2013-6;242.58
234;2013-7;245.47
235;2013-8;237.43
236;2013-9;244.41
237;2013-10;244.87
238;2013-11;242.03
239;2013-12;244.69
240;2014-1;253.5
241;2014-2;245.98
242;2014-3;241.82
243;2014-4;240.3
244;2014-5;231.66
245;2014-6;230.09
246;2014-7;232.12
247;2014-8;230.26
248;2014-9;232.42
249;2014-10;248.51
250;2014-11;243.08
251;2014-12;235.98
252;2015-1;238.22
253;2015-2;239.0
254;2015-3;240.22
255;2015-4;243.22
256;2015-5;236.59
257;2015-6;232.23
258;2015-7;232.83
259;2015-8;238.73
260;2015-9;244.72
261;2015-10;246.75
262;2015-11;237.65
263;2015-12;236.42
264;2016-1;238.69
265;2016-2;228.73
266;2016-3;224.62
267;2016-4;223.43
268;2016-5;216.17
269;2016-6;217.97
270;2016-7;219.04
271;2016-8;212.66
272;2016-9;213.17
273;2016-10;212.5
274;2016-11;205.78
275;2016-12;208.55
276;2017-1;217.15
277;2017-2;215.68
278;2017-3;209.88
279;2017-4;212.06
280;2017-5;212.72
281;2017-6;214.64
282;2017-7;211.28
283;2017-8;212.9
284;2017-9;209.55
285;2017-10;213.95
286;2017-11;205.97
287;2017-12;209.4
288;2018-1;190.82
289;2018-2;231.09
290;2018-3;229.15
291;2018-4;230.9
292;2018-5;252.47
293;2018-6;257.45
294;2018-7;260.0
295;2018-8;256.89
296;2018-9;360.18
297;2018-10;391.24
298;2018-11;400.43
299;2018-12;366.5
300;2019-1;367.91
301;2019-2;340.57
302;2019-3;347.31
303;2019-4;364.52
304;2019-5;368.17
305;2019-6;396.99
306;2019-7;383.67
307;2019-8;400.3
308;2019-9;412.39
309;2019-10;417.94
310;2019-11;415.72
311;2019-12;412.06
312;2020-1;415.98
313;2020-2;406.09
314;2020-3;410.11
315;2020-4;411.39
316;2020-5;421.51
317;2020-6;434.29
