;Tarih;TP_UR_K06
0;1968;536.0
1;1969;584.0
2;1970;533.0
3;1971;465.0
4;1972;574.0
5;1973;705.0
6;1974;948.0
7;1975;1155.0
8;1976;1295.0
9;1977;1451.0
10;1978;1554.0
11;1979;1860.0
12;1980;1518.0
13;1981;1546.0
14;1982;1360.0
15;1983;1261.0
16;1984;1195.0
17;1985;1320.0
18;1986;1459.0
19;1987;1629.0
20;1988;1685.0
21;1989;1933.0
22;1990;2655.0
23;1991;2603.0
24;1992;2682.0
25;1993;2981.0
26;1994;2173.0
27;1995;2727.0
28;1996;2888.0
29;1997;3021.0
30;1998;3176.0
31;1999;2847.0
32;2000;2941.0
33;2001;2146.0
34;2002;2622.0
35;2003;3412.0
36;2004;4187.0
37;2005;5016.0
38;2006;5482.0
