;Tarih;TP_02ISTANBUL_Y
0;2010-1;97.15
1;2010-2;96.33
2;2010-3;96.9
3;2010-4;97.07
4;2010-5;98.19
5;2010-6;98.05
6;2010-7;99.22
7;2010-8;101.26
8;2010-9;102.89
9;2010-10;103.21
10;2010-11;104.15
11;2010-12;105.5
12;2011-1;104.59
13;2011-2;106.8
14;2011-3;108.43
15;2011-4;110.49
16;2011-5;112.26
17;2011-6;113.75
18;2011-7;114.17
19;2011-8;115.16
20;2011-9;116.45
21;2011-10;117.85
22;2011-11;117.67
23;2011-12;118.42
24;2012-1;119.4
25;2012-2;121.96
26;2012-3;123.86
27;2012-4;125.67
28;2012-5;127.03
29;2012-6;129.08
30;2012-7;130.32
31;2012-8;132.57
32;2012-9;135.3
33;2012-10;136.49
34;2012-11;136.91
35;2012-12;138.91
36;2013-1;140.41
37;2013-2;143.47
38;2013-3;145.28
39;2013-4;146.77
40;2013-5;149.48
41;2013-6;151.25
42;2013-7;153.77
43;2013-8;155.65
44;2013-9;158.02
45;2013-10;160.48
46;2013-11;163.48
47;2013-12;164.74
48;2014-1;168.15
49;2014-2;172.07
50;2014-3;175.38
51;2014-4;176.34
52;2014-5;177.8
53;2014-6;181.76
54;2014-7;186.43
55;2014-8;191.45
56;2014-9;192.94
57;2014-10;196.92
58;2014-11;200.03
59;2014-12;203.11
60;2015-1;205.64
61;2015-2;210.15
62;2015-3;216.84
63;2015-4;220.78
64;2015-5;225.29
65;2015-6;228.22
66;2015-7;231.96
67;2015-8;235.57
68;2015-9;237.88
69;2015-10;241.67
70;2015-11;246.54
71;2015-12;247.98
72;2016-1;249.15
73;2016-2;254.42
74;2016-3;258.01
75;2016-4;260.41
76;2016-5;263.37
77;2016-6;264.58
78;2016-7;267.59
79;2016-8;272.26
80;2016-9;274.8
81;2016-10;276.59
82;2016-11;277.2
83;2016-12;278.64
84;2017-1;281.39
85;2017-2;287.09
86;2017-3;290.11
87;2017-4;291.01
88;2017-5;292.39
89;2017-6;293.76
90;2017-7;294.98
91;2017-8;296.4
92;2017-9;301.7
93;2017-10;306.02
94;2017-11;305.95
95;2017-12;302.53
96;2018-1;302.62
97;2018-2;303.41
98;2018-3;303.88
99;2018-4;306.59
100;2018-5;306.72
101;2018-6;307.69
102;2018-7;307.31
103;2018-8;307.74
104;2018-9;309.38
105;2018-10;313.35
106;2018-11;313.29
107;2018-12;317.44
108;2019-1;327.24
