;Tarih;TP_04IZMIR_Y
0;2010-1;98.02
1;2010-2;97.54
2;2010-3;99.49
3;2010-4;97.54
4;2010-5;97.54
5;2010-6;97.54
6;2010-7;99.97
7;2010-8;101.24
8;2010-9;101.68
9;2010-10;102.22
10;2010-11;103.29
11;2010-12;103.88
12;2011-1;102.7
13;2011-2;105.34
14;2011-3;106.41
15;2011-4;107.29
16;2011-5;109.04
17;2011-6;109.34
18;2011-7;108.36
19;2011-8;108.36
20;2011-9;111.39
21;2011-10;111.97
22;2011-11;110.8
23;2011-12;109.73
24;2012-1;113.53
25;2012-2;117.72
26;2012-3;118.89
27;2012-4;118.8
28;2012-5;118.41
29;2012-6;118.8
30;2012-7;119.33
31;2012-8;121.92
32;2012-9;123.09
33;2012-10;125.82
34;2012-11;128.06
35;2012-12;127.77
36;2013-1;126.84
37;2013-2;130.01
38;2013-3;133.32
39;2013-4;135.76
40;2013-5;138.3
41;2013-6;139.37
42;2013-7;142.2
43;2013-8;144.44
44;2013-9;148.1
45;2013-10;146.3
46;2013-11;146.78
47;2013-12;145.71
48;2014-1;146.58
49;2014-2;147.95
50;2014-3;149.42
51;2014-4;152.25
52;2014-5;153.82
53;2014-6;157.14
54;2014-7;154.99
55;2014-8;158.31
56;2014-9;158.8
57;2014-10;162.9
58;2014-11;162.9
59;2014-12;166.62
60;2015-1;170.13
61;2015-2;174.53
62;2015-3;179.12
63;2015-4;179.51
64;2015-5;183.23
65;2015-6;182.74
66;2015-7;188.51
67;2015-8;189.43
68;2015-9;190.75
69;2015-10;191.24
70;2015-11;191.63
71;2015-12;195.44
72;2016-1;196.75
73;2016-2;199.2
74;2016-3;205.3
75;2016-4;205.3
76;2016-5;212.44
77;2016-6;211.85
78;2016-7;211.51
79;2016-8;212.63
80;2016-9;217.13
81;2016-10;223.97
82;2016-11;224.75
83;2016-12;226.8
84;2017-1;228.88
85;2017-2;234.14
86;2017-3;239.15
87;2017-4;242.59
88;2017-5;245.04
89;2017-6;251.37
90;2017-7;254.23
91;2017-8;260.05
92;2017-9;262.43
93;2017-10;264.89
94;2017-11;266.99
95;2017-12;269.94
96;2018-1;275.65
97;2018-2;278.26
98;2018-3;279.0
99;2018-4;284.92
100;2018-5;292.17
101;2018-6;300.13
102;2018-7;302.28
103;2018-8;307.25
104;2018-9;297.75
105;2018-10;306.01
106;2018-11;294.65
107;2018-12;294.58
108;2019-1;287.32
