;Tarih;TP_20TR90
0;2010-1;98.6
1;2010-2;97.1
2;2010-3;97.28
3;2010-4;97.81
4;2010-5;99.37
5;2010-6;99.22
6;2010-7;99.97
7;2010-8;100.47
8;2010-9;102.27
9;2010-10;102.25
10;2010-11;102.54
11;2010-12;103.05
12;2011-1;103.52
13;2011-2;104.07
14;2011-3;105.35
15;2011-4;106.77
16;2011-5;108.25
17;2011-6;109.45
18;2011-7;109.12
19;2011-8;109.06
20;2011-9;109.84
21;2011-10;109.6
22;2011-11;108.64
23;2011-12;107.87
24;2012-1;108.13
25;2012-2;108.61
26;2012-3;111.54
27;2012-4;113.78
28;2012-5;115.79
29;2012-6;117.57
30;2012-7;117.28
31;2012-8;117.07
32;2012-9;117.16
33;2012-10;118.27
34;2012-11;118.88
35;2012-12;119.62
36;2013-1;120.22
37;2013-2;120.8
38;2013-3;121.0
39;2013-4;122.61
40;2013-5;125.47
41;2013-6;127.63
42;2013-7;128.64
43;2013-8;128.5
44;2013-9;127.66
45;2013-10;125.61
46;2013-11;123.02
47;2013-12;124.7
48;2014-1;126.27
49;2014-2;128.99
50;2014-3;130.97
51;2014-4;130.95
52;2014-5;132.11
53;2014-6;132.9
54;2014-7;134.79
55;2014-8;136.37
56;2014-9;137.11
57;2014-10;137.53
58;2014-11;137.31
59;2014-12;137.81
60;2015-1;139.69
61;2015-2;141.43
62;2015-3;143.97
63;2015-4;146.85
64;2015-5;148.83
65;2015-6;150.42
66;2015-7;149.72
67;2015-8;151.82
68;2015-9;153.1
69;2015-10;153.82
70;2015-11;153.66
71;2015-12;153.49
72;2016-1;155.53
73;2016-2;158.93
74;2016-3;161.29
75;2016-4;163.39
76;2016-5;164.57
77;2016-6;167.85
78;2016-7;171.98
79;2016-8;174.87
80;2016-9;176.94
81;2016-10;175.83
82;2016-11;176.9
83;2016-12;177.45
84;2017-1;184.57
85;2017-2;187.71
86;2017-3;190.95
87;2017-4;194.98
88;2017-5;197.86
89;2017-6;202.36
90;2017-7;202.59
91;2017-8;205.74
92;2017-9;207.57
93;2017-10;209.55
94;2017-11;210.5
95;2017-12;211.67
96;2018-1;213.67
97;2018-2;215.67
98;2018-3;216.52
99;2018-4;220.35
100;2018-5;226.15
101;2018-6;228.99
102;2018-7;230.4
103;2018-8;230.99
104;2018-9;227.06
105;2018-10;230.67
106;2018-11;228.82
107;2018-12;230.98
108;2019-1;226.82
