;Tarih;TP_22TRA2
0;2010-1;93.61
1;2010-2;93.61
2;2010-3;94.28
3;2010-4;96.14
4;2010-5;98.16
5;2010-6;101.02
6;2010-7;102.7
7;2010-8;105.23
8;2010-9;105.23
9;2010-10;103.21
10;2010-11;103.21
11;2010-12;103.54
12;2011-1;106.73
13;2011-2;104.55
14;2011-3;106.82
15;2011-4;105.05
16;2011-5;108.75
17;2011-6;110.69
18;2011-7;111.03
19;2011-8;112.29
20;2011-9;112.88
21;2011-10;112.79
22;2011-11;112.29
23;2011-12;112.29
24;2012-1;114.47
25;2012-2;118.6
26;2012-3;119.86
27;2012-4;119.52
28;2012-5;121.04
29;2012-6;122.55
30;2012-7;123.4
31;2012-8;126.26
32;2012-9;129.88
33;2012-10;133.67
34;2012-11;135.69
35;2012-12;134.68
36;2013-1;133.5
37;2013-2;130.72
38;2013-3;130.47
39;2013-4;130.97
40;2013-5;133.58
41;2013-6;135.69
42;2013-7;136.44
43;2013-8;136.36
44;2013-9;136.36
45;2013-10;139.39
46;2013-11;142.42
47;2013-12;143.43
48;2014-1;142.42
49;2014-2;144.27
50;2014-3;142.41
51;2014-4;142.08
52;2014-5;141.99
53;2014-6;142.25
54;2014-7;143.93
55;2014-8;145.53
56;2014-9;149.65
57;2014-10;150.83
58;2014-11;150.33
59;2014-12;149.99
60;2015-1;148.97
61;2015-2;151.25
62;2015-3;149.82
63;2015-4;151.5
64;2015-5;153.02
65;2015-6;152.09
66;2015-7;150.49
67;2015-8;150.15
68;2015-9;152.51
69;2015-10;160.25
70;2015-11;157.06
71;2015-12;158.49
72;2016-1;157.9
73;2016-2;163.28
74;2016-3;162.1
75;2016-4;159.75
76;2016-5;161.26
77;2016-6;161.09
78;2016-7;162.78
79;2016-8;163.28
80;2016-9;168.33
81;2016-10;168.33
82;2016-11;168.33
83;2016-12;168.33
84;2017-1;168.33
85;2017-2;168.33
86;2017-3;168.33
87;2017-4;168.33
88;2017-5;168.33
89;2017-6;168.33
90;2017-7;168.33
91;2017-8;168.33
92;2017-9;169.5
93;2017-10;173.71
94;2017-11;174.89
95;2017-12;176.4
96;2018-1;175.79
97;2018-2;172.08
98;2018-3;172.38
99;2018-4;176.27
100;2018-5;180.27
101;2018-6;182.9
102;2018-7;186.35
103;2018-8;188.23
104;2018-9;194.06
105;2018-10;193.09
106;2018-11;194.58
107;2018-12;194.7
108;2019-1;187.77
