;Tarih;TP_23TRB1
0;2010-1;95.43
1;2010-2;97.91
2;2010-3;98.96
3;2010-4;100.86
4;2010-5;100.65
5;2010-6;101.23
6;2010-7;99.23
7;2010-8;99.76
8;2010-9;97.9
9;2010-10;100.53
10;2010-11;103.09
11;2010-12;104.4
12;2011-1;104.36
13;2011-2;104.91
14;2011-3;105.02
15;2011-4;105.02
16;2011-5;104.24
17;2011-6;104.87
18;2011-7;107.46
19;2011-8;107.73
20;2011-9;110.14
21;2011-10;111.85
22;2011-11;113.0
23;2011-12;114.22
24;2012-1;112.86
25;2012-2;113.55
26;2012-3;116.22
27;2012-4;116.39
28;2012-5;117.27
29;2012-6;117.68
30;2012-7;118.86
31;2012-8;120.13
32;2012-9;120.05
33;2012-10;120.6
34;2012-11;121.66
35;2012-12;122.98
36;2013-1;123.5
37;2013-2;124.3
38;2013-3;126.21
39;2013-4;127.1
40;2013-5;127.68
41;2013-6;128.92
42;2013-7;130.84
43;2013-8;131.24
44;2013-9;132.17
45;2013-10;132.43
46;2013-11;137.04
47;2013-12;137.08
48;2014-1;137.85
49;2014-2;137.02
50;2014-3;137.99
51;2014-4;139.34
52;2014-5;138.78
53;2014-6;138.65
54;2014-7;138.13
55;2014-8;140.61
56;2014-9;140.63
57;2014-10;143.05
58;2014-11;143.38
59;2014-12;145.4
60;2015-1;145.77
61;2015-2;146.06
62;2015-3;145.37
63;2015-4;145.04
64;2015-5;148.11
65;2015-6;149.19
66;2015-7;150.97
67;2015-8;149.33
68;2015-9;150.67
69;2015-10;151.36
70;2015-11;155.8
71;2015-12;155.63
72;2016-1;157.39
73;2016-2;156.07
74;2016-3;155.36
75;2016-4;157.17
76;2016-5;159.02
77;2016-6;160.66
78;2016-7;161.41
79;2016-8;160.97
80;2016-9;165.62
81;2016-10;167.06
82;2016-11;171.31
83;2016-12;171.04
84;2017-1;173.01
85;2017-2;173.17
86;2017-3;175.45
87;2017-4;176.68
88;2017-5;180.67
89;2017-6;183.93
90;2017-7;186.4
91;2017-8;186.58
92;2017-9;188.68
93;2017-10;193.18
94;2017-11;198.55
95;2017-12;204.02
96;2018-1;208.32
97;2018-2;209.19
98;2018-3;207.01
99;2018-4;212.78
100;2018-5;220.68
101;2018-6;225.28
102;2018-7;225.75
103;2018-8;223.37
104;2018-9;222.06
105;2018-10;231.22
106;2018-11;240.66
107;2018-12;241.54
108;2019-1;237.84
