;Tarih;TP_25TRC1
0;2010-1;95.87
1;2010-2;96.92
2;2010-3;96.97
3;2010-4;97.49
4;2010-5;96.4
5;2010-6;98.19
6;2010-7;99.35
7;2010-8;101.99
8;2010-9;102.25
9;2010-10;104.41
10;2010-11;104.15
11;2010-12;105.94
12;2011-1;107.14
13;2011-2;109.89
14;2011-3;112.83
15;2011-4;114.54
16;2011-5;117.46
17;2011-6;119.63
18;2011-7;122.6
19;2011-8;124.5
20;2011-9;126.79
21;2011-10;129.01
22;2011-11;132.49
23;2011-12;136.55
24;2012-1;139.17
25;2012-2;140.78
26;2012-3;140.65
27;2012-4;143.44
28;2012-5;148.94
29;2012-6;151.91
30;2012-7;157.12
31;2012-8;156.76
32;2012-9;161.32
33;2012-10;162.16
34;2012-11;164.28
35;2012-12;166.03
36;2013-1;170.06
37;2013-2;172.93
38;2013-3;173.65
39;2013-4;176.48
40;2013-5;177.72
41;2013-6;182.48
42;2013-7;185.48
43;2013-8;190.16
44;2013-9;192.5
45;2013-10;196.41
46;2013-11;201.96
47;2013-12;204.55
48;2014-1;206.7
49;2014-2;207.83
50;2014-3;210.6
51;2014-4;212.42
52;2014-5;216.15
53;2014-6;216.94
54;2014-7;218.62
55;2014-8;217.96
56;2014-9;220.44
57;2014-10;221.02
58;2014-11;221.01
59;2014-12;221.06
60;2015-1;220.75
61;2015-2;223.38
62;2015-3;225.06
63;2015-4;229.24
64;2015-5;231.21
65;2015-6;231.15
66;2015-7;227.45
67;2015-8;226.14
68;2015-9;226.25
69;2015-10;230.71
70;2015-11;234.54
71;2015-12;233.79
72;2016-1;229.68
73;2016-2;231.14
74;2016-3;231.64
75;2016-4;228.87
76;2016-5;230.77
77;2016-6;232.33
78;2016-7;231.81
79;2016-8;229.36
80;2016-9;229.36
81;2016-10;231.31
82;2016-11;233.11
83;2016-12;233.32
84;2017-1;233.49
85;2017-2;234.08
86;2017-3;234.43
87;2017-4;235.73
88;2017-5;239.08
89;2017-6;241.43
90;2017-7;242.4
91;2017-8;241.11
92;2017-9;243.19
93;2017-10;244.79
94;2017-11;246.41
95;2017-12;246.23
96;2018-1;246.76
97;2018-2;249.76
98;2018-3;251.83
99;2018-4;257.36
100;2018-5;262.36
101;2018-6;266.71
102;2018-7;267.73
103;2018-8;269.54
104;2018-9;272.85
105;2018-10;278.26
106;2018-11;280.31
107;2018-12;280.9
108;2019-1;300.53
