;Tarih;TP_BEK_S01_C_S
0;2013-1;0.18
1;2013-2;0.3
2;2013-3;0.29
3;2013-4;0.51
4;2013-5;0.33
5;2013-6;0.25
6;2013-7;0.3
7;2013-8;0.53
8;2013-9;0.28
9;2013-10;0.25
10;2013-11;0.28
11;2013-12;0.16
12;2014-1;0.16
13;2014-2;0.35
14;2014-3;0.23
15;2014-4;0.38
16;2014-5;0.33
17;2014-6;0.28
18;2014-7;0.28
19;2014-8;0.55
20;2014-9;0.26
21;2014-10;0.24
22;2014-11;0.4
23;2014-12;0.21
24;2015-1;0.22
25;2015-2;0.32
26;2015-3;0.23
27;2015-4;0.4
28;2015-5;0.33
29;2015-6;0.23
30;2015-7;0.27
31;2015-8;0.53
32;2015-9;0.27
33;2015-10;0.28
34;2015-11;0.29
35;2015-12;0.2
36;2016-1;0.29
37;2016-2;0.34
38;2016-3;0.19
39;2016-4;0.37
40;2016-5;0.22
41;2016-6;0.25
42;2016-7;0.19
43;2016-8;0.47
44;2016-9;0.26
45;2016-10;0.28
46;2016-11;0.43
47;2016-12;0.32
48;2017-1;0.35
49;2017-2;0.27
50;2017-3;0.27
51;2017-4;0.48
52;2017-5;0.37
53;2017-6;0.24
54;2017-7;0.27
55;2017-8;0.5
56;2017-9;0.22
57;2017-10;0.33
58;2017-11;0.49
59;2017-12;0.42
60;2018-1;0.22
61;2018-2;0.27
62;2018-3;0.28
63;2018-4;0.35
64;2018-5;0.3
65;2018-6;0.38
66;2018-7;0.35
67;2018-8;0.63
68;2018-9;0.46
69;2018-10;0.59
70;2018-11;0.71
71;2018-12;0.38
72;2019-1;0.39
73;2019-2;0.85
74;2019-3;0.38
75;2019-4;0.44
76;2019-5;0.44
77;2019-6;0.33
78;2019-7;0.51
79;2019-8;0.65
80;2019-9;0.41
81;2019-10;0.4
82;2019-11;0.39
83;2019-12;0.29
84;2020-1;0.3
85;2020-2;0.24
86;2020-3;0.23
87;2020-4;0.39
88;2020-5;0.37
89;2020-6;0.29
90;2020-7;0.4
91;2020-8;0.61
92;2020-9;0.33
93;2020-10;0.3
94;2020-11;0.36
95;2020-12;0.24
96;2021-1;0.22
97;2021-2;0.31
98;2021-3;0.23
99;2021-4;0.36
100;2021-5;0.29
101;2021-6;0.32
102;2021-7;0.39
103;2021-8;0.54
104;2021-9;0.3
105;2021-10;0.29
106;2021-11;0.5
107;2021-12;0.82
108;2022-1;1.06
109;2022-2;1.01
110;2022-3;1.09
111;2022-4;1.2
112;2022-5;1.65
113;2022-6;1.32
114;2022-7;1.58
115;2022-8;1.12
116;2022-9;0.7
117;2022-10;1.16
118;2022-11;1.03
119;2022-12;0.75
120;2023-1;0.66
121;2023-2;0.57
122;2023-3;0.7
123;2023-4;0.58
124;2023-5;0.69
125;2023-6;0.94
126;2023-7;0.81
127;2023-8;0.72
128;2023-9;1.48
129;2023-10;0.79
130;2023-11;1.36
131;2023-12;0.75
132;2024-1;0.63
