;Tarih;TP_BEK_S01_C_U
0;2013-1;0.5
1;2013-2;0.69
2;2013-3;0.45
3;2013-4;-0.08
4;2013-5;0.04
5;2013-6;0.31
6;2013-7;0.71
7;2013-8;1.06
8;2013-9;0.7
9;2013-10;0.45
10;2013-11;0.73
11;2013-12;0.51
12;2014-1;0.64
13;2014-2;0.74
14;2014-3;0.59
15;2014-4;0.3
16;2014-5;0.17
17;2014-6;0.15
18;2014-7;0.6
19;2014-8;1.02
20;2014-9;0.47
21;2014-10;0.43
22;2014-11;0.92
23;2014-12;0.47
24;2015-1;0.56
25;2015-2;0.73
26;2015-3;0.49
27;2015-4;0.24
28;2015-5;0.2
29;2015-6;0.19
30;2015-7;0.5
31;2015-8;1.14
32;2015-9;0.51
33;2015-10;0.28
34;2015-11;0.89
35;2015-12;0.58
36;2016-1;0.79
37;2016-2;1.04
38;2016-3;0.6
39;2016-4;0.14
40;2016-5;0.15
41;2016-6;0.41
42;2016-7;0.75
43;2016-8;1.2401
44;2016-9;0.61
45;2016-10;0.46
46;2016-11;1.11
47;2016-12;0.58
48;2017-1;0.76
49;2017-2;0.95
50;2017-3;0.62
51;2017-4;0.24
52;2017-5;0.35
53;2017-6;0.22
54;2017-7;0.57
55;2017-8;1.17
56;2017-9;0.5
57;2017-10;0.51
58;2017-11;1.27
59;2017-12;0.67
60;2018-1;0.78
61;2018-2;1.05
62;2018-3;0.66
63;2018-4;0.32
64;2018-5;0.51
65;2018-6;0.54
66;2018-7;0.87
67;2018-8;1.5
68;2018-9;1.33
69;2018-10;0.98
70;2018-11;1.71
71;2018-12;0.98
72;2019-1;1.03
73;2019-2;1.47
74;2019-3;1.11
75;2019-4;0.88
76;2019-5;0.96
77;2019-6;0.91
78;2019-7;1.35
79;2019-8;1.93
80;2019-9;1.17
81;2019-10;0.93
82;2019-11;1.26
83;2019-12;0.65
84;2020-1;0.81
85;2020-2;1.08
86;2020-3;0.7
87;2020-4;0.43
88;2020-5;0.44
89;2020-6;0.48
90;2020-7;0.82
91;2020-8;1.29
92;2020-9;0.65
93;2020-10;0.65
94;2020-11;1.28
95;2020-12;0.66
96;2021-1;0.83
97;2021-2;1.08
98;2021-3;0.81
99;2021-4;0.67
100;2021-5;0.69
101;2021-6;0.74
102;2021-7;1.13
103;2021-8;1.57
104;2021-9;0.95
105;2021-10;0.94
106;2021-11;1.8
107;2021-12;1.96
108;2022-1;2.34
109;2022-2;2.62
110;2022-3;2.4
111;2022-4;2.25
112;2022-5;2.54
113;2022-6;2.54
114;2022-7;3.31
115;2022-8;3.67
116;2022-9;2.7
117;2022-10;2.91
118;2022-11;3.76
119;2022-12;2.62
120;2023-1;2.22
121;2023-2;2.57
122;2023-3;2.53
123;2023-4;2.61
124;2023-5;2.37
125;2023-6;2.21
126;2023-7;3.24
127;2023-8;3.97
128;2023-9;3.73
129;2023-10;3.42
130;2023-11;4.96
131;2023-12;3.25
132;2024-1;3.1
