;Tarih;TP_BEK_S01_D_D
0;2013-1;6.0
1;2013-2;7.0
2;2013-3;6.5
3;2013-4;6.5
4;2013-5;6.5
5;2013-6;7.0
6;2013-7;7.0
7;2013-8;7.5
8;2013-9;7.5
9;2013-10;7.5
10;2013-11;7.5
11;2013-12;7.5
12;2014-1;7.0
13;2014-2;7.5
14;2014-3;8.0
15;2014-4;8.0
16;2014-5;8.0
17;2014-6;8.0
18;2014-7;8.5
19;2014-8;9.0
20;2014-9;9.0
21;2014-10;9.0
22;2014-11;9.0
23;2014-12;9.0
24;2015-1;7.0
25;2015-2;7.0
26;2015-3;7.0
27;2015-4;7.0
28;2015-5;7.5
29;2015-6;7.5
30;2015-7;7.5
31;2015-8;7.5
32;2015-9;8.0
33;2015-10;8.0
34;2015-11;8.0
35;2015-12;8.5
36;2016-1;8.5
37;2016-2;8.5
38;2016-3;8.5
39;2016-4;8.0
40;2016-5;7.5
41;2016-6;7.5
42;2016-7;8.0
43;2016-8;8.0
44;2016-9;8.0
45;2016-10;8.0
46;2016-11;7.5
47;2016-12;7.5
48;2017-1;8.0
49;2017-2;9.0
50;2017-3;9.0
51;2017-4;9.5
52;2017-5;9.5
53;2017-6;9.5
54;2017-7;9.5
55;2017-8;9.5
56;2017-9;9.5
57;2017-10;9.8
58;2017-11;11.0
59;2017-12;11.7
60;2018-1;9.5
61;2018-2;9.5
62;2018-3;9.5
63;2018-4;10.0
64;2018-5;11.0
65;2018-6;12.0
66;2018-7;14.0
67;2018-8;14.0
68;2018-9;20.0
69;2018-10;24.0
70;2018-11;25.0
71;2018-12;21.0
72;2019-1;16.0
73;2019-2;16.0
74;2019-3;16.0
75;2019-4;16.0
76;2019-5;16.0
77;2019-6;16.0
78;2019-7;15.0
79;2019-8;14.0
80;2019-9;14.0
81;2019-10;12.5
82;2019-11;12.0
83;2019-12;11.5
84;2020-1;10.0
85;2020-2;10.0
86;2020-3;9.0
87;2020-4;10.0
88;2020-5;10.0
89;2020-6;10.0
90;2020-7;10.0
91;2020-8;10.5
92;2020-9;11.0
93;2020-10;12.0
94;2020-11;12.5
95;2020-12;14.1
96;2021-1;11.0
97;2021-2;11.0
98;2021-3;11.5
99;2021-4;13.0
100;2021-5;14.0
101;2021-6;15.0
102;2021-7;15.0
103;2021-8;16.0
104;2021-9;16.5
105;2021-10;18.0
106;2021-11;19.0
107;2021-12;23.4
108;2022-1;30.0
109;2022-2;35.0
110;2022-3;40.0
111;2022-4;45.0
112;2022-5;50.0
113;2022-6;65.0
114;2022-7;70.0
115;2022-8;70.0
116;2022-9;65.0
117;2022-10;70.0
118;2022-11;68.0
119;2022-12;68.0
120;2023-1;40.0
121;2023-2;40.0
122;2023-3;35.0
123;2023-4;40.0
124;2023-5;40.0
125;2023-6;45.0
126;2023-7;50.0
127;2023-8;58.0
128;2023-9;65.0
129;2023-10;70.0
130;2023-11;65.0
131;2023-12;65.0
132;2024-1;40.0
