;Tarih;TP_BEK_S01_D_K
0;2013-1;5.1
1;2013-2;5.3
2;2013-3;5.3
3;2013-4;5.2
4;2013-5;5.25
5;2013-6;5.4
6;2013-7;5.8
7;2013-8;6.0
8;2013-9;6.35
9;2013-10;6.46
10;2013-11;6.75
11;2013-12;6.64
12;2014-1;6.0
13;2014-2;6.5
14;2014-3;6.8
15;2014-4;7.0
16;2014-5;7.0
17;2014-6;6.85
18;2014-7;7.28
19;2014-8;7.0
20;2014-9;7.0
21;2014-10;7.3
22;2014-11;7.0
23;2014-12;8.25
24;2015-1;5.8
25;2015-2;5.6
26;2015-3;6.0
27;2015-4;6.2
28;2015-5;6.0
29;2015-6;6.75
30;2015-7;6.8
31;2015-8;6.48
32;2015-9;7.0
33;2015-10;7.05
34;2015-11;7.5
35;2015-12;7.8
36;2016-1;6.5
37;2016-2;7.0
38;2016-3;7.0
39;2016-4;6.3
40;2016-5;6.72
41;2016-6;6.5
42;2016-7;7.0
43;2016-8;7.0
44;2016-9;7.0
45;2016-10;6.0
46;2016-11;7.1
47;2016-12;6.9
48;2017-1;7.16
49;2017-2;7.9
50;2017-3;8.0
51;2017-4;8.0
52;2017-5;8.0
53;2017-6;8.0
54;2017-7;8.7
55;2017-8;8.7
56;2017-9;8.0
57;2017-10;8.7
58;2017-11;9.8
59;2017-12;10.78
60;2018-1;7.5
61;2018-2;8.0
62;2018-3;8.5
63;2018-4;8.85
64;2018-5;9.5
65;2018-6;9.95
66;2018-7;11.9
67;2018-8;12.5
68;2018-9;15.0
69;2018-10;18.45
70;2018-11;21.0
71;2018-12;19.8
72;2019-1;12.59
73;2019-2;11.54
74;2019-3;11.5
75;2019-4;12.08
76;2019-5;13.0
77;2019-6;12.0
78;2019-7;9.28
79;2019-8;11.79
80;2019-9;11.16
81;2019-10;11.0
82;2019-11;10.85
83;2019-12;10.8
84;2020-1;8.0
85;2020-2;8.5
86;2020-3;8.0
87;2020-4;7.35
88;2020-5;7.0
89;2020-6;7.4
90;2020-7;7.4
91;2020-8;8.9
92;2020-9;8.9
93;2020-10;10.5
94;2020-11;10.9
95;2020-12;13.0
96;2021-1;8.75
97;2021-2;9.4
98;2021-3;9.4
99;2021-4;9.44
100;2021-5;11.2
101;2021-6;10.5
102;2021-7;14.0
103;2021-8;14.1
104;2021-9;15.4
105;2021-10;16.2
106;2021-11;16.2
107;2021-12;20.9
108;2022-1;15.0
109;2022-2;23.2
110;2022-3;23.2
111;2022-4;33.0
112;2022-5;42.8
113;2022-6;45.1
114;2022-7;53.8
115;2022-8;60.1
116;2022-9;60.38
117;2022-10;62.2
118;2022-11;64.01
119;2022-12;64.77
120;2023-1;20.0
121;2023-2;20.0
122;2023-3;22.0
123;2023-4;24.0
124;2023-5;24.0
125;2023-6;24.0
126;2023-7;24.0
127;2023-8;44.0
128;2023-9;57.0
129;2023-10;58.0
130;2023-11;63.65
131;2023-12;63.2
132;2024-1;32.0
