;Tarih;TP_BEK_S01_D_U
0;2013-1;6.32
1;2013-2;6.59
2;2013-3;6.58
3;2013-4;6.6
4;2013-5;6.51
5;2013-6;6.53
6;2013-7;7.2
7;2013-8;7.33
8;2013-9;7.44
9;2013-10;7.39
10;2013-11;7.71
11;2013-12;7.35
12;2014-1;7.44
13;2014-2;7.92
14;2014-3;7.98
15;2014-4;8.12
16;2014-5;8.33
17;2014-6;8.29
18;2014-7;8.3
19;2014-8;8.7
20;2014-9;8.89
21;2014-10;9.16
22;2014-11;9.22
23;2014-12;9.02
24;2015-1;6.82
25;2015-2;6.77
26;2015-3;6.98
27;2015-4;7.29
28;2015-5;7.5
29;2015-6;7.77
30;2015-7;7.71
31;2015-8;7.65
32;2015-9;7.98
33;2015-10;8.25
34;2015-11;8.36
35;2015-12;8.53
36;2016-1;8.19
37;2016-2;8.48
38;2016-3;8.29
39;2016-4;7.91
40;2016-5;7.8
41;2016-6;7.64
42;2016-7;7.81
43;2016-8;8.21
44;2016-9;8.07
45;2016-10;7.81
46;2016-11;7.8
47;2016-12;7.69
48;2017-1;8.48
49;2017-2;8.87
50;2017-3;9.08
51;2017-4;9.28
52;2017-5;9.53
53;2017-6;9.55
54;2017-7;9.49
55;2017-8;9.46
56;2017-9;9.72
57;2017-10;9.89
58;2017-11;10.68
59;2017-12;11.74
60;2018-1;9.55
61;2018-2;9.52
62;2018-3;9.49
63;2018-4;10.07
64;2018-5;11.07
65;2018-6;12.28
66;2018-7;13.88
67;2018-8;16.45
68;2018-9;19.61
69;2018-10;24.22
70;2018-11;24.45
71;2018-12;21.28
72;2019-1;16.45
73;2019-2;15.91
74;2019-3;15.64
75;2019-4;16.23
76;2019-5;16.68
77;2019-6;15.85
78;2019-7;15.01
79;2019-8;14.42
80;2019-9;13.96
81;2019-10;12.69
82;2019-11;12.18
83;2019-12;11.62
84;2020-1;10.01
85;2020-2;10.06
86;2020-3;9.98
87;2020-4;9.76
88;2020-5;9.38
89;2020-6;9.54
90;2020-7;10.22
91;2020-8;10.82
92;2020-9;11.46
93;2020-10;11.76
94;2020-11;12.47
95;2020-12;14.18
96;2021-1;11.15
97;2021-2;11.23
98;2021-3;11.54
99;2021-4;13.12
100;2021-5;13.81
101;2021-6;14.46
102;2021-7;15.64
103;2021-8;16.3
104;2021-9;16.74
105;2021-10;17.6326
106;2021-11;19.31
107;2021-12;23.85
108;2022-1;29.75
109;2022-2;34.06
110;2022-3;40.47
111;2022-4;46.44
112;2022-5;57.92
113;2022-6;64.59
114;2022-7;69.94
115;2022-8;70.6
116;2022-9;67.73
117;2022-10;67.78
118;2022-11;68.06
119;2022-12;66.8
120;2023-1;32.46
121;2023-2;35.76
122;2023-3;37.72
123;2023-4;37.77
124;2023-5;37.17
125;2023-6;38.55
126;2023-7;43.82
127;2023-8;59.46
128;2023-9;67.22
129;2023-10;68.01
130;2023-11;67.23
131;2023-12;65.39
132;2024-1;42.04
