;Tarih;TP_BEK_S01_E_B
0;2013-1;8.0
1;2013-2;8.5
2;2013-3;8.2
3;2013-4;8.0
4;2013-5;8.0
5;2013-6;7.5
6;2013-7;8.73
7;2013-8;8.4
8;2013-9;10.0
9;2013-10;8.2
10;2013-11;8.5
11;2013-12;8.0
12;2014-1;10.0
13;2014-2;10.5
14;2014-3;12.0
15;2014-4;9.0
16;2014-5;9.3
17;2014-6;8.91
18;2014-7;10.0
19;2014-8;9.0
20;2014-9;8.9
21;2014-10;9.9
22;2014-11;9.7
23;2014-12;9.5
24;2015-1;8.75
25;2015-2;7.9
26;2015-3;8.0
27;2015-4;8.5
28;2015-5;8.7
29;2015-6;8.25
30;2015-7;8.6
31;2015-8;8.25
32;2015-9;8.8
33;2015-10;8.48
34;2015-11;9.0
35;2015-12;8.75
36;2016-1;9.1
37;2016-2;9.35
38;2016-3;9.1
39;2016-4;9.7
40;2016-5;9.75
41;2016-6;9.56
42;2016-7;9.3
43;2016-8;9.0
44;2016-9;9.5
45;2016-10;8.9
46;2016-11;9.13
47;2016-12;10.0
48;2017-1;14.0
49;2017-2;10.0
50;2017-3;10.52
51;2017-4;12.0
52;2017-5;11.5
53;2017-6;10.0
54;2017-7;10.0
55;2017-8;12.0
56;2017-9;11.2
57;2017-10;11.0
58;2017-11;11.0
59;2017-12;12.86
60;2018-1;11.6
61;2018-2;11.5
62;2018-3;11.0
63;2018-4;13.0
64;2018-5;12.0
65;2018-6;16.0
66;2018-7;18.0
67;2018-8;25.0
68;2018-9;25.0
69;2018-10;29.0
70;2018-11;24.0
71;2018-12;23.35
72;2019-1;23.0
73;2019-2;19.9
74;2019-3;19.8
75;2019-4;21.0
76;2019-5;19.5
77;2019-6;20.7
78;2019-7;18.7
79;2019-8;18.5
80;2019-9;17.2
81;2019-10;15.0
82;2019-11;13.0
83;2019-12;12.35
84;2020-1;12.57
85;2020-2;12.5
86;2020-3;12.35
87;2020-4;13.8
88;2020-5;12.2
89;2020-6;14.7
90;2020-7;13.2
91;2020-8;14.0
92;2020-9;14.3
93;2020-10;13.3
94;2020-11;13.3
95;2020-12;14.7
96;2021-1;13.88
97;2021-2;13.0
98;2021-3;13.0
99;2021-4;15.8
100;2021-5;16.1
101;2021-6;16.1
102;2021-7;16.2
103;2021-8;17.0
104;2021-9;17.0
105;2021-10;17.0
106;2021-11;20.0
107;2021-12;40.0
108;2022-1;48.0
109;2022-2;43.0
110;2022-3;55.0
111;2022-4;58.0
112;2022-5;67.0
113;2022-6;63.0
114;2022-7;64.75
115;2022-8;64.75
116;2022-9;54.75
117;2022-10;49.0
118;2022-11;59.5
119;2022-12;55.9
120;2023-1;55.9
121;2023-2;40.7
122;2023-3;45.0
123;2023-4;40.6
124;2023-5;40.5
125;2023-6;46.0
126;2023-7;51.1
127;2023-8;57.55
128;2023-9;64.0
129;2023-10;60.9
130;2023-11;55.43
131;2023-12;50.0
132;2024-1;47.97
