;Tarih;TP_BEK_S01_E_M
0;2013-1;6.0
1;2013-2;6.03
2;2013-3;6.07
3;2013-4;6.04
4;2013-5;6.1
5;2013-6;6.2
6;2013-7;6.5
7;2013-8;6.5
8;2013-9;6.55
9;2013-10;6.7
10;2013-11;6.75
11;2013-12;6.8
12;2014-1;7.0
13;2014-2;7.1
14;2014-3;7.3
15;2014-4;7.3
16;2014-5;7.3
17;2014-6;7.23
18;2014-7;7.3
19;2014-8;7.44
20;2014-9;7.5
21;2014-10;7.5
22;2014-11;7.5
23;2014-12;7.0
24;2015-1;6.9
25;2015-2;6.75
26;2015-3;6.8
27;2015-4;7.0
28;2015-5;7.0
29;2015-6;7.0
30;2015-7;7.0
31;2015-8;7.0
32;2015-9;7.25
33;2015-10;7.5
34;2015-11;7.5
35;2015-12;7.5
36;2016-1;8.0
37;2016-2;8.0
38;2016-3;7.9
39;2016-4;7.8
40;2016-5;7.8
41;2016-6;7.58
42;2016-7;7.5
43;2016-8;7.5
44;2016-9;7.6
45;2016-10;7.6
46;2016-11;7.85
47;2016-12;8.0
48;2017-1;8.2
49;2017-2;8.1
50;2017-3;8.0
51;2017-4;8.2
52;2017-5;8.4
53;2017-6;8.41
54;2017-7;8.4
55;2017-8;8.5
56;2017-9;8.5
57;2017-10;8.5
58;2017-11;8.73
59;2017-12;9.2
60;2018-1;9.12
61;2018-2;9.18
62;2018-3;9.21
63;2018-4;9.5
64;2018-5;10.0
65;2018-6;10.5
66;2018-7;11.0
67;2018-8;12.5
68;2018-9;14.4
69;2018-10;16.83
70;2018-11;17.0
71;2018-12;16.2
72;2019-1;15.75
73;2019-2;15.26
74;2019-3;15.01
75;2019-4;15.25
76;2019-5;15.5
77;2019-6;14.9
78;2019-7;13.5
79;2019-8;12.85
80;2019-9;12.1
81;2019-10;11.0
82;2019-11;10.21
83;2019-12;10.0
84;2020-1;9.68
85;2020-2;9.63
86;2020-3;9.7
87;2020-4;9.73
88;2020-5;9.0
89;2020-6;9.0
90;2020-7;9.33
91;2020-8;9.8
92;2020-9;10.0
93;2020-10;10.3
94;2020-11;10.68
95;2020-12;11.0
96;2021-1;10.6
97;2021-2;10.15
98;2021-3;10.5
99;2021-4;11.0
100;2021-5;11.5
101;2021-6;12.0
102;2021-7;12.5
103;2021-8;12.5
104;2021-9;12.91
105;2021-10;14.12
106;2021-11;16.0
107;2021-12;21.65
108;2022-1;24.5
109;2022-2;25.0
110;2022-3;26.5
111;2022-4;28.8
112;2022-5;33.27
113;2022-6;37.0
114;2022-7;40.0
115;2022-8;41.15
116;2022-9;37.7
117;2022-10;38.0
118;2022-11;38.9
119;2022-12;38.0
120;2023-1;29.0
121;2023-2;32.89
122;2023-3;32.0
123;2023-4;33.0
124;2023-5;32.0
125;2023-6;30.9
126;2023-7;34.0
127;2023-8;41.2
128;2023-9;45.0
129;2023-10;45.0
130;2023-11;44.15
131;2023-12;42.0
132;2024-1;39.0
