;Tarih;TP_BEK_S01_E_U
0;2013-1;6.1
1;2013-2;6.07
2;2013-3;6.18
3;2013-4;6.13
4;2013-5;6.15
5;2013-6;6.2
6;2013-7;6.45
7;2013-8;6.45
8;2013-9;6.64
9;2013-10;6.61
10;2013-11;6.74
11;2013-12;6.74
12;2014-1;7.06
13;2014-2;7.21
14;2014-3;7.31
15;2014-4;7.22
16;2014-5;7.21
17;2014-6;7.19
18;2014-7;7.27
19;2014-8;7.35
20;2014-9;7.44
21;2014-10;7.54
22;2014-11;7.5
23;2014-12;7.21
24;2015-1;6.81
25;2015-2;6.69
26;2015-3;6.78
27;2015-4;6.91
28;2015-5;6.85
29;2015-6;7.0
30;2015-7;7.05
31;2015-8;7.04
32;2015-9;7.25
33;2015-10;7.34
34;2015-11;7.42
35;2015-12;7.56
36;2016-1;7.92
37;2016-2;7.96
38;2016-3;7.89
39;2016-4;7.78
40;2016-5;7.81
41;2016-6;7.6
42;2016-7;7.59
43;2016-8;7.61
44;2016-9;7.62
45;2016-10;7.61
46;2016-11;7.87
47;2016-12;8.04
48;2017-1;8.19
49;2017-2;8.21
50;2017-3;8.15
51;2017-4;8.27
52;2017-5;8.41
53;2017-6;8.32
54;2017-7;8.41
55;2017-8;8.37
56;2017-9;8.35
57;2017-10;8.52
58;2017-11;8.65
59;2017-12;9.3
60;2018-1;9.24
61;2018-2;9.26
62;2018-3;9.24
63;2018-4;9.62
64;2018-5;10.15
65;2018-6;10.47
66;2018-7;11.07
67;2018-8;12.96
68;2018-9;14.46
69;2018-10;17.03
70;2018-11;17.38
71;2018-12;16.46
72;2019-1;15.91
73;2019-2;15.47
74;2019-3;15.24
75;2019-4;15.38
76;2019-5;15.48
77;2019-6;14.88
78;2019-7;13.9
79;2019-8;12.77
80;2019-9;12.21
81;2019-10;11.18
82;2019-11;10.46
83;2019-12;10.07
84;2020-1;9.54
85;2020-2;9.61
86;2020-3;9.51
87;2020-4;9.7
88;2020-5;9.2
89;2020-6;9.03
90;2020-7;9.33
91;2020-8;9.7
92;2020-9;10.15
93;2020-10;10.53
94;2020-11;10.77
95;2020-12;10.84
96;2021-1;10.53
97;2021-2;10.36
98;2021-3;10.47
99;2021-4;11.26
100;2021-5;11.81
101;2021-6;12.12
102;2021-7;12.62
103;2021-8;12.48
104;2021-9;12.94
105;2021-10;13.91
106;2021-11;15.61
107;2021-12;21.39
108;2022-1;25.37
109;2022-2;24.83
110;2022-3;26.43
111;2022-4;28.41
112;2022-5;33.28
113;2022-6;37.91
114;2022-7;40.23
115;2022-8;41.99
116;2022-9;36.74
117;2022-10;37.34
118;2022-11;37.47
119;2022-12;34.92
120;2023-1;30.44
121;2023-2;30.75
122;2023-3;31.63
123;2023-4;31.02
124;2023-5;29.84
125;2023-6;30.65
126;2023-7;33.21
127;2023-8;42.01
128;2023-9;44.94
129;2023-10;45.28
130;2023-11;43.94
131;2023-12;41.23
132;2024-1;39.09
