;Tarih;TP_BEK_S01_F_B
0;2013-1;8.0
1;2013-2;8.5
2;2013-3;8.5
3;2013-4;8.1
4;2013-5;8.0
5;2013-6;7.5
6;2013-7;7.9
7;2013-8;7.92
8;2013-9;10.0
9;2013-10;8.5
10;2013-11;8.5
11;2013-12;8.5
12;2014-1;10.0
13;2014-2;8.5
14;2014-3;12.0
15;2014-4;8.5
16;2014-5;9.5
17;2014-6;8.0
18;2014-7;8.88
19;2014-8;8.5
20;2014-9;8.95
21;2014-10;8.7
22;2014-11;9.0
23;2014-12;9.25
24;2015-1;8.0
25;2015-2;7.6
26;2015-3;8.18
27;2015-4;8.1
28;2015-5;8.0
29;2015-6;8.1
30;2015-7;8.4
31;2015-8;8.0
32;2015-9;8.5
33;2015-10;8.5
34;2015-11;8.5
35;2015-12;8.5
36;2016-1;9.3
37;2016-2;9.3
38;2016-3;9.3
39;2016-4;9.5
40;2016-5;9.0
41;2016-6;9.0
42;2016-7;9.0
43;2016-8;9.0
44;2016-9;8.5
45;2016-10;8.5
46;2016-11;9.0
47;2016-12;9.5
48;2017-1;14.0
49;2017-2;9.8
50;2017-3;9.8
51;2017-4;10.0
52;2017-5;11.0
53;2017-6;10.0
54;2017-7;9.8
55;2017-8;10.0
56;2017-9;11.0
57;2017-10;10.5
58;2017-11;10.5
59;2017-12;12.8
60;2018-1;11.6
61;2018-2;10.4
62;2018-3;10.3
63;2018-4;12.0
64;2018-5;11.9
65;2018-6;15.0
66;2018-7;17.0
67;2018-8;15.0
68;2018-9;26.0
69;2018-10;22.0
70;2018-11;18.4
71;2018-12;18.3
72;2019-1;17.8
73;2019-2;17.8
74;2019-3;18.0
75;2019-4;17.6
76;2019-5;17.9
77;2019-6;16.5
78;2019-7;16.0
79;2019-8;13.5
80;2019-9;14.5
81;2019-10;14.5
82;2019-11;12.5
83;2019-12;13.5
84;2020-1;13.7
85;2020-2;13.9
86;2020-3;12.0
87;2020-4;12.0
88;2020-5;12.9
89;2020-6;10.69
90;2020-7;11.1
91;2020-8;14.8
92;2020-9;14.5
93;2020-10;13.8
94;2020-11;13.8
95;2020-12;15.4
96;2021-1;11.0
97;2021-2;12.0
98;2021-3;12.0
99;2021-4;12.0
100;2021-5;12.0
101;2021-6;13.5
102;2021-7;13.5
103;2021-8;14.0
104;2021-9;15.0
105;2021-10;15.36
106;2021-11;15.8
107;2021-12;25.0
108;2022-1;26.0
109;2022-2;22.5
110;2022-3;25.0
111;2022-4;28.0
112;2022-5;30.4
113;2022-6;40.0
114;2022-7;50.0
115;2022-8;44.75
116;2022-9;39.75
117;2022-10;29.75
118;2022-11;35.0
119;2022-12;36.8
120;2023-1;26.4
121;2023-2;28.16
122;2023-3;29.9
123;2023-4;29.12
124;2023-5;28.44
125;2023-6;33.0
126;2023-7;34.5
127;2023-8;35.0
128;2023-9;49.0
129;2023-10;42.06
130;2023-11;37.0
131;2023-12;37.5
132;2024-1;38.0
