;Tarih;TP_BEK_S05_A_B
0;2013-1;1.81
1;2013-2;1.81
2;2013-3;1.84
3;2013-4;1.9
4;2013-5;1.84
5;2013-6;1.95
6;2013-7;2.0
7;2013-8;1.97
8;2013-9;2.1
9;2013-10;2.0502
10;2013-11;2.1
11;2013-12;2.1
12;2014-1;2.25
13;2014-2;2.3
14;2014-3;2.35
15;2014-4;2.3
16;2014-5;2.3
17;2014-6;2.2
18;2014-7;2.2
19;2014-8;2.2
20;2014-9;2.25
21;2014-10;2.32
22;2014-11;2.31
23;2014-12;2.4
24;2015-1;2.35
25;2015-2;2.55
26;2015-3;2.7
27;2015-4;2.8
28;2015-5;2.9
29;2015-6;2.9
30;2015-7;2.8
31;2015-8;2.9
32;2015-9;3.15
33;2015-10;3.06
34;2015-11;3.0
35;2015-12;3.1
36;2016-1;3.2
37;2016-2;3.05
38;2016-3;3.0
39;2016-4;3.0
40;2016-5;3.05
41;2016-6;3.05
42;2016-7;3.01
43;2016-8;3.01
44;2016-9;3.1
45;2016-10;3.15
46;2016-11;3.53
47;2016-12;3.7
48;2017-1;3.85
49;2017-2;3.9
50;2017-3;4.0
51;2017-4;3.9
52;2017-5;3.7
53;2017-6;3.685
54;2017-7;3.66
55;2017-8;3.72
56;2017-9;3.5688
57;2017-10;3.85
58;2017-11;3.95
59;2017-12;4.1
60;2018-1;4.2
61;2018-2;3.9
62;2018-3;4.0
63;2018-4;4.25
64;2018-5;5.0
65;2018-6;5.0
66;2018-7;5.0
67;2018-8;6.9
68;2018-9;7.0
69;2018-10;6.5
70;2018-11;5.85
71;2018-12;5.85
72;2019-1;5.8
73;2019-2;5.5
74;2019-3;5.65
75;2019-4;6.0
76;2019-5;6.32
77;2019-6;6.81
78;2019-7;6.0029
79;2019-8;5.7
80;2019-9;6.05
81;2019-10;6.2
82;2019-11;6.0
83;2019-12;6.1
84;2020-1;6.05
85;2020-2;6.13
86;2020-3;6.4
87;2020-4;7.15
88;2020-5;7.2
89;2020-6;7.0
90;2020-7;7.0
91;2020-8;7.55
92;2020-9;7.65
93;2020-10;8.12
94;2020-11;8.5
95;2020-12;8.0
96;2021-1;7.75
97;2021-2;7.95
98;2021-3;7.85
99;2021-4;8.5
100;2021-5;8.56
101;2021-6;9.0
102;2021-7;8.9
103;2021-8;8.8
104;2021-9;8.9
105;2021-10;9.5
106;2021-11;10.1
107;2021-12;14.5
108;2022-1;15.0
109;2022-2;14.0
110;2022-3;16.67
111;2022-4;16.0
112;2022-5;17.0
113;2022-6;18.0
114;2022-7;18.0
115;2022-8;19.0
116;2022-9;20.0994
117;2022-10;19.6
118;2022-11;19.0934
119;2022-12;20.0
120;2023-1;20.191
121;2023-2;19.29
122;2023-3;19.9
123;2023-4;20.0
124;2023-5;20.5
125;2023-6;25.7
126;2023-7;27.0
127;2023-8;28.126
128;2023-9;29.0
129;2023-10;29.23
130;2023-11;29.88
131;2023-12;31.0
132;2024-1;31.26
