;Tarih;TP_BEK_S05_A_M
0;2013-1;1.78
1;2013-2;1.772
2;2013-3;1.8011
3;2013-4;1.795
4;2013-5;1.8
5;2013-6;1.88
6;2013-7;1.94
7;2013-8;1.9325
8;2013-9;2.013
9;2013-10;1.99
10;2013-11;2.03
11;2013-12;2.02
12;2014-1;2.2
13;2014-2;2.2
14;2014-3;2.235
15;2014-4;2.14
16;2014-5;2.0825
17;2014-6;2.13
18;2014-7;2.13
19;2014-8;2.16
20;2014-9;2.215
21;2014-10;2.275
22;2014-11;2.255
23;2014-12;2.312
24;2015-1;2.3
25;2015-2;2.45
26;2015-3;2.6
27;2015-4;2.7
28;2015-5;2.65
29;2015-6;2.73
30;2015-7;2.67
31;2015-8;2.8
32;2015-9;3.0
33;2015-10;2.95
34;2015-11;2.87
35;2015-12;2.95
36;2016-1;3.025
37;2016-2;2.97
38;2016-3;2.9
39;2016-4;2.86
40;2016-5;2.9775
41;2016-6;2.94
42;2016-7;2.9035
43;2016-8;2.95
44;2016-9;2.975
45;2016-10;3.08
46;2016-11;3.3394
47;2016-12;3.46
48;2017-1;3.7825
49;2017-2;3.7275
50;2017-3;3.75
51;2017-4;3.7
52;2017-5;3.6
53;2017-6;3.55
54;2017-7;3.5938
55;2017-8;3.55
56;2017-9;3.45
57;2017-10;3.65
58;2017-11;3.8525
59;2017-12;3.88
60;2018-1;3.8
61;2018-2;3.8075
62;2018-3;3.8555
63;2018-4;4.0838
64;2018-5;4.4
65;2018-6;4.5
66;2018-7;4.8
67;2018-8;5.85
68;2018-9;6.5
69;2018-10;5.75
70;2018-11;5.5
71;2018-12;5.4375
72;2019-1;5.5
73;2019-2;5.3
74;2019-3;5.49
75;2019-4;5.8
76;2019-5;6.1
77;2019-6;5.894
78;2019-7;5.75
79;2019-8;5.55
80;2019-9;5.745
81;2019-10;5.9
82;2019-11;5.8
83;2019-12;5.8
84;2020-1;5.955
85;2020-2;6.05
86;2020-3;6.2
87;2020-4;6.9
88;2020-5;6.95
89;2020-6;6.85
90;2020-7;6.87
91;2020-8;7.3
92;2020-9;7.5
93;2020-10;7.9
94;2020-11;7.89
95;2020-12;7.8
96;2021-1;7.45
97;2021-2;7.1
98;2021-3;7.5
99;2021-4;8.2
100;2021-5;8.3
101;2021-6;8.6
102;2021-7;8.7
103;2021-8;8.5
104;2021-9;8.5
105;2021-10;9.01
106;2021-11;9.8
107;2021-12;13.85
108;2022-1;13.9
109;2022-2;13.7
110;2022-3;14.7
111;2022-4;14.8
112;2022-5;16.0
113;2022-6;17.3375
114;2022-7;17.35
115;2022-8;18.0
116;2022-9;18.375
117;2022-10;18.75
118;2022-11;18.75
119;2022-12;18.7
120;2023-1;18.85
121;2023-2;18.9
122;2023-3;19.0
123;2023-4;19.5
124;2023-5;19.8
125;2023-6;24.0
126;2023-7;26.3
127;2023-8;27.3
128;2023-9;27.1888
129;2023-10;28.2
130;2023-11;29.0
131;2023-12;29.5873
132;2024-1;30.5
