;Tarih;TP_BEK_S05_A_S
0;2013-1;0.0117
1;2013-2;0.0136
2;2013-3;0.0117
3;2013-4;0.0164
4;2013-5;0.015
5;2013-6;0.0206
6;2013-7;0.0277
7;2013-8;0.0143
8;2013-9;0.0269
9;2013-10;0.0241
10;2013-11;0.0266
11;2013-12;0.0268
12;2014-1;0.038
13;2014-2;0.0313
14;2014-3;0.034
15;2014-4;0.0347
16;2014-5;0.0349
17;2014-6;0.0224
18;2014-7;0.0176
19;2014-8;0.0157
20;2014-9;0.0218
21;2014-10;0.0212
22;2014-11;0.0206
23;2014-12;0.0397
24;2015-1;0.0211
25;2015-2;0.0328
26;2015-3;0.0511
27;2015-4;0.0406
28;2015-5;0.0573
29;2015-6;0.0381
30;2015-7;0.0386
31;2015-8;0.0387
32;2015-9;0.0422
33;2015-10;0.0538
34;2015-11;0.0385
35;2015-12;0.0504
36;2016-1;0.0493
37;2016-2;0.0313
38;2016-3;0.0389
39;2016-4;0.0316
40;2016-5;0.0386
41;2016-6;0.0353
42;2016-7;0.0351
43;2016-8;0.0258
44;2016-9;0.029
45;2016-10;0.0299
46;2016-11;0.0685
47;2016-12;0.0639
48;2017-1;0.0619
49;2017-2;0.0682
50;2017-3;0.0699
51;2017-4;0.0689
52;2017-5;0.043
53;2017-6;0.0424
54;2017-7;0.0357
55;2017-8;0.0332
56;2017-9;0.0449
57;2017-10;0.0536
58;2017-11;0.0484
59;2017-12;0.077
60;2018-1;0.0692
61;2018-2;0.0246
62;2018-3;0.0399
63;2018-4;0.0561
64;2018-5;0.1209
65;2018-6;0.1186
66;2018-7;0.0844
67;2018-8;0.3776
68;2018-9;0.2932
69;2018-10;0.195
70;2018-11;0.1082
71;2018-12;0.1563
72;2019-1;0.1024
73;2019-2;0.0628
74;2019-3;0.0654
75;2019-4;0.077
76;2019-5;0.091
77;2019-6;0.1552
78;2019-7;0.0934
79;2019-8;0.0771
80;2019-9;0.1068
81;2019-10;0.0776
82;2019-11;0.0548
83;2019-12;0.0717
84;2020-1;0.0593
85;2020-2;0.0432
86;2020-3;0.083
87;2020-4;0.1096
88;2020-5;0.0862
89;2020-6;0.0522
90;2020-7;0.0283
91;2020-8;0.1023
92;2020-9;0.0659
93;2020-10;0.0897
94;2020-11;0.2772
95;2020-12;0.1331
96;2021-1;0.1097
97;2021-2;0.1386
98;2021-3;0.1342
99;2021-4;0.1177
100;2021-5;0.1104
101;2021-6;0.0948
102;2021-7;0.0872
103;2021-8;0.105
104;2021-9;0.1107
105;2021-10;0.1182
106;2021-11;0.1488
107;2021-12;0.3086
108;2022-1;0.3301
109;2022-2;0.1883
110;2022-3;0.3954
111;2022-4;0.2404
112;2022-5;0.3822
113;2022-6;0.3421
114;2022-7;0.3127
115;2022-8;0.228
116;2022-9;0.3819
117;2022-10;0.2348
118;2022-11;0.165
119;2022-12;0.2642
120;2023-1;0.2777
121;2023-2;0.1073
122;2023-3;0.1629
123;2023-4;0.1845
124;2023-5;0.2127
125;2023-6;0.6379
126;2023-7;0.3519
127;2023-8;0.3013
128;2023-9;0.4565
129;2023-10;0.2621
130;2023-11;0.3346
131;2023-12;0.389
132;2024-1;0.253
