;Tarih;TP_BEK_S05_B_S
0;2013-1;0.0522
1;2013-2;0.0485
2;2013-3;0.0463
3;2013-4;0.0465
4;2013-5;0.0397
5;2013-6;0.0477
6;2013-7;0.0605
7;2013-8;0.0489
8;2013-9;0.0543
9;2013-10;0.0476
10;2013-11;0.0401
11;2013-12;0.0268
12;2014-1;0.1136
13;2014-2;0.0993
14;2014-3;0.0915
15;2014-4;0.0746
16;2014-5;0.0973
17;2014-6;0.0648
18;2014-7;0.0608
19;2014-8;0.0504
20;2014-9;0.0713
21;2014-10;0.0493
22;2014-11;0.0404
23;2014-12;0.0397
24;2015-1;0.0702
25;2015-2;0.0903
26;2015-3;0.108
27;2015-4;0.0999
28;2015-5;0.0985
29;2015-6;0.0971
30;2015-7;0.0846
31;2015-8;0.0781
32;2015-9;0.1236
33;2015-10;0.1014
34;2015-11;0.0702
35;2015-12;0.0504
36;2016-1;0.1145
37;2016-2;0.1097
38;2016-3;0.1026
39;2016-4;0.1032
40;2016-5;0.0958
41;2016-6;0.0904
42;2016-7;0.0794
43;2016-8;0.0691
44;2016-9;0.0549
45;2016-10;0.0581
46;2016-11;0.1099
47;2016-12;0.0639
48;2017-1;0.1963
49;2017-2;0.1835
50;2017-3;0.1608
51;2017-4;0.1593
52;2017-5;0.1555
53;2017-6;0.1325
54;2017-7;0.1133
55;2017-8;0.1164
56;2017-9;0.1077
57;2017-10;0.1009
58;2017-11;0.1153
59;2017-12;0.077
60;2018-1;0.18
61;2018-2;0.15
62;2018-3;0.1249
63;2018-4;0.1539
64;2018-5;0.3005
65;2018-6;0.2719
66;2018-7;0.2649
67;2018-8;0.7436
68;2018-9;0.5765
69;2018-10;0.444
70;2018-11;0.2428
71;2018-12;0.1563
72;2019-1;0.3412
73;2019-2;0.3735
74;2019-3;0.3159
75;2019-4;0.3101
76;2019-5;0.3101
77;2019-6;0.2729
78;2019-7;0.2329
79;2019-8;0.2221
80;2019-9;0.176
81;2019-10;0.1416
82;2019-11;0.121
83;2019-12;0.0717
84;2020-1;0.1425
85;2020-2;0.1523
86;2020-3;0.2093
87;2020-4;0.3762
88;2020-5;0.3552
89;2020-6;0.2648
90;2020-7;0.2326
91;2020-8;0.252
92;2020-9;0.2227
93;2020-10;0.2083
94;2020-11;0.3819
95;2020-12;0.1331
96;2021-1;0.4275
97;2021-2;0.457
98;2021-3;0.3876
99;2021-4;0.3894
100;2021-5;0.3776
101;2021-6;0.3539
102;2021-7;0.3228
103;2021-8;0.3034
104;2021-9;0.2419
105;2021-10;0.2122
106;2021-11;0.2896
107;2021-12;0.3086
108;2022-1;1.8108
109;2022-2;1.4922
110;2022-3;1.5485
111;2022-4;1.403
112;2022-5;1.6622
113;2022-6;1.7327
114;2022-7;1.6501
115;2022-8;1.5507
116;2022-9;1.1358
117;2022-10;0.7138
118;2022-11;0.7185
119;2022-12;0.2642
120;2023-1;2.093
121;2023-2;1.8633
122;2023-3;1.6604
123;2023-4;1.6414
124;2023-5;1.4158
125;2023-6;1.4652
126;2023-7;1.0332
127;2023-8;1.5099
128;2023-9;1.38
129;2023-10;0.7008
130;2023-11;0.6208
131;2023-12;0.389
132;2024-1;2.4871
