;Tarih;TP_BEK_S05_B_U
0;2013-1;1.8215
1;2013-2;1.8131
2;2013-3;1.8219
3;2013-4;1.8207
4;2013-5;1.8213
5;2013-6;1.8753
6;2013-7;1.9332
7;2013-8;1.9339
8;2013-9;1.9952
9;2013-10;1.9843
10;2013-11;2.0171
11;2013-12;2.0199
12;2014-1;2.2102
13;2014-2;2.226
14;2014-3;2.2351
15;2014-4;2.2021
16;2014-5;2.1724
17;2014-6;2.1721
18;2014-7;2.1754
19;2014-8;2.1919
20;2014-9;2.2383
21;2014-10;2.2832
22;2014-11;2.2707
23;2014-12;2.3195
24;2015-1;2.4089
25;2015-2;2.5025
26;2015-3;2.6116
27;2015-4;2.7012
28;2015-5;2.7193
29;2015-6;2.7807
30;2015-7;2.7614
31;2015-8;2.8321
32;2015-9;3.0414
33;2015-10;2.9943
34;2015-11;2.9256
35;2015-12;2.9394
36;2016-1;3.1704
37;2016-2;3.1469
38;2016-3;3.1132
39;2016-4;3.079
40;2016-5;3.1087
41;2016-6;3.1008
42;2016-7;3.0545
43;2016-8;3.0684
44;2016-9;3.0662
45;2016-10;3.1203
46;2016-11;3.3369
47;2016-12;3.4602
48;2017-1;3.8619
49;2017-2;3.8807
50;2017-3;3.8495
51;2017-4;3.8352
52;2017-5;3.8027
53;2017-6;3.7553
54;2017-7;3.7492
55;2017-8;3.7199
56;2017-9;3.6323
57;2017-10;3.7165
58;2017-11;3.8624
59;2017-12;3.8805
60;2018-1;4.1156
61;2018-2;4.097
62;2018-3;4.0975
63;2018-4;4.222
64;2018-5;4.4352
65;2018-6;4.5837
66;2018-7;4.8328
67;2018-8;5.9663
68;2018-9;6.5938
69;2018-10;5.9894
70;2018-11;5.6405
71;2018-12;5.4372
72;2019-1;6.1847
73;2019-2;5.9898
74;2019-3;6.0615
75;2019-4;6.203
76;2019-5;6.431
77;2019-6;6.3015
78;2019-7;6.1448
79;2019-8;5.9002
80;2019-9;5.9954
81;2019-10;6.0473
82;2019-11;5.9055
83;2019-12;5.8166
84;2020-1;6.4079
85;2020-2;6.4485
86;2020-3;6.5117
87;2020-4;6.9277
88;2020-5;7.018
89;2020-6;6.9922
90;2020-7;7.0188
91;2020-8;7.3428
92;2020-9;7.599
93;2020-10;7.8979
94;2020-11;7.8867
95;2020-12;7.7704
96;2021-1;8.0874
97;2021-2;7.7865
98;2021-3;7.9455
99;2021-4;8.5749
100;2021-5;8.7118
101;2021-6;8.9488
102;2021-7;8.991
103;2021-8;8.9431
104;2021-9;8.9184
105;2021-10;9.2195
106;2021-11;9.9785
107;2021-12;13.7719
108;2022-1;16.1348
109;2022-2;16.0431
110;2022-3;16.6774
111;2022-4;16.8481
112;2022-5;17.5682
113;2022-6;18.8874
114;2022-7;18.9881
115;2022-8;19.648
116;2022-9;19.5062
117;2022-10;19.8169
118;2022-11;19.5422
119;2022-12;18.7797
120;2023-1;23.1161
121;2023-2;22.8363
122;2023-3;22.9097
123;2023-4;23.1535
124;2023-5;23.086
125;2023-6;26.18
126;2023-7;28.456
127;2023-8;29.822
128;2023-9;30.1422
129;2023-10;30.0453
130;2023-11;29.9961
131;2023-12;29.6229
132;2024-1;39.9958
