;Tarih;TP_BEK_S05_C_K
0;2013-1;1.7
1;2013-2;1.72
2;2013-3;1.7
3;2013-4;1.7
4;2013-5;1.75
5;2013-6;1.77
6;2013-7;1.8
7;2013-8;1.75
8;2013-9;1.85
9;2013-10;1.88
10;2013-11;1.88
11;2013-12;1.85
12;2014-1;1.9
13;2014-2;2.0
14;2014-3;2.0
15;2014-4;2.04
16;2014-5;1.95
17;2014-6;2.0
18;2014-7;2.0
19;2014-8;2.0
20;2014-9;2.0
21;2014-10;2.14
22;2014-11;2.1
23;2014-12;2.18
24;2015-1;2.15
25;2015-2;2.18
26;2015-3;2.18
27;2015-4;2.25
28;2015-5;2.35
29;2015-6;2.5358
30;2015-7;2.5001
31;2015-8;2.55
32;2015-9;2.7405
33;2015-10;2.65
34;2015-11;2.62
35;2015-12;2.75
36;2016-1;2.85
37;2016-2;2.75
38;2016-3;2.8
39;2016-4;2.75
40;2016-5;2.95
41;2016-6;2.98
42;2016-7;2.89
43;2016-8;2.93
44;2016-9;2.85
45;2016-10;2.85
46;2016-11;3.0
47;2016-12;3.2
48;2017-1;3.25
49;2017-2;3.35
50;2017-3;3.45
51;2017-4;3.55
52;2017-5;3.48
53;2017-6;3.48
54;2017-7;3.3
55;2017-8;3.5
56;2017-9;3.41
57;2017-10;3.5
58;2017-11;3.55
59;2017-12;3.42
60;2018-1;3.66
61;2018-2;3.72
62;2018-3;3.75
63;2018-4;3.82
64;2018-5;4.1
65;2018-6;4.1
66;2018-7;4.5
67;2018-8;4.7
68;2018-9;5.2
69;2018-10;5.0
70;2018-11;5.0
71;2018-12;5.0
72;2019-1;5.1
73;2019-2;5.3935
74;2019-3;5.5518
75;2019-4;5.6534
76;2019-5;5.6534
77;2019-6;5.7116
78;2019-7;5.3
79;2019-8;5.5
80;2019-9;5.3
81;2019-10;5.95
82;2019-11;5.5
83;2019-12;5.3
84;2020-1;6.15
85;2020-2;6.0
86;2020-3;5.8
87;2020-4;4.8
88;2020-5;5.9
89;2020-6;6.2
90;2020-7;5.8
91;2020-8;6.4
92;2020-9;6.8
93;2020-10;7.5
94;2020-11;7.25
95;2020-12;6.8
96;2021-1;7.1
97;2021-2;7.0
98;2021-3;6.987
99;2021-4;7.5
100;2021-5;7.5
101;2021-6;8.0
102;2021-7;8.0
103;2021-8;8.0
104;2021-9;8.7
105;2021-10;9.4
106;2021-11;9.5
107;2021-12;9.5
108;2022-1;8.5
109;2022-2;10.0
110;2022-3;12.0
111;2022-4;12.0
112;2022-5;13.0
113;2022-6;13.0
114;2022-7;13.0
115;2022-8;16.5
116;2022-9;14.5
117;2022-10;14.5
118;2022-11;14.5
119;2022-12;15.0
120;2023-1;17.5
121;2023-2;17.5
122;2023-3;17.0
123;2023-4;18.0
124;2023-5;15.0
125;2023-6;18.5
126;2023-7;26.0
127;2023-8;29.5
128;2023-9;30.0
129;2023-10;33.0
130;2023-11;26.0
131;2023-12;35.0
132;2024-1;32.5
