;Tarih;TP_BEK_S05_C_M
0;2013-1;1.8331
1;2013-2;1.8219
2;2013-3;1.835
3;2013-4;1.84
4;2013-5;1.8433
5;2013-6;1.88
6;2013-7;1.94
7;2013-8;1.95
8;2013-9;2.02
9;2013-10;2.03
10;2013-11;2.09
11;2013-12;2.08
12;2014-1;2.21
13;2014-2;2.25
14;2014-3;2.25
15;2014-4;2.2438
16;2014-5;2.21
17;2014-6;2.21
18;2014-7;2.225
19;2014-8;2.25
20;2014-9;2.29
21;2014-10;2.35
22;2014-11;2.35
23;2014-12;2.4
24;2015-1;2.45
25;2015-2;2.52
26;2015-3;2.65
27;2015-4;2.75
28;2015-5;2.75
29;2015-6;2.85
30;2015-7;2.805
31;2015-8;2.9
32;2015-9;3.15
33;2015-10;3.15
34;2015-11;3.1
35;2015-12;3.1
36;2016-1;3.215
37;2016-2;3.2
38;2016-3;3.2
39;2016-4;3.2
40;2016-5;3.2
41;2016-6;3.2
42;2016-7;3.18
43;2016-8;3.2
44;2016-9;3.2
45;2016-10;3.25
46;2016-11;3.5
47;2016-12;3.65
48;2017-1;3.98
49;2017-2;3.95
50;2017-3;3.9
51;2017-4;3.92
52;2017-5;3.94
53;2017-6;3.9
54;2017-7;3.9
55;2017-8;3.9
56;2017-9;3.825
57;2017-10;3.89
58;2017-11;4.1
59;2017-12;4.15
60;2018-1;4.23
61;2018-2;4.2
62;2018-3;4.2
63;2018-4;4.325
64;2018-5;4.545
65;2018-6;4.7
66;2018-7;5.1
67;2018-8;6.1925
68;2018-9;7.085
69;2018-10;6.5
70;2018-11;6.5
71;2018-12;6.25
72;2019-1;6.25
73;2019-2;6.16
74;2019-3;6.25
75;2019-4;6.3
76;2019-5;6.7
77;2019-6;6.634
78;2019-7;6.5
79;2019-8;6.23
80;2019-9;6.3625
81;2019-10;6.4
82;2019-11;6.33
83;2019-12;6.35
84;2020-1;6.45
85;2020-2;6.5
86;2020-3;6.6254
87;2020-4;7.1
88;2020-5;7.25
89;2020-6;7.2
90;2020-7;7.236
91;2020-8;7.65
92;2020-9;8.0
93;2020-10;8.28
94;2020-11;8.4
95;2020-12;8.4
96;2021-1;8.2
97;2021-2;7.9888
98;2021-3;8.1695
99;2021-4;8.725
100;2021-5;8.9288
101;2021-6;9.2466
102;2021-7;9.3599
103;2021-8;9.4
104;2021-9;9.5
105;2021-10;9.875
106;2021-11;10.95
107;2021-12;15.5
108;2022-1;16.4775
109;2022-2;16.5
110;2022-3;17.25
111;2022-4;17.8
112;2022-5;18.5
113;2022-6;20.43
114;2022-7;20.65
115;2022-8;21.5
116;2022-9;22.0
117;2022-10;23.6538
118;2022-11;23.535
119;2022-12;23.0
120;2023-1;23.285
121;2023-2;23.4
122;2023-3;23.69
123;2023-4;24.0
124;2023-5;24.0
125;2023-6;28.6778
126;2023-7;31.75
127;2023-8;34.4602
128;2023-9;37.0
129;2023-10;39.34
130;2023-11;40.0
131;2023-12;39.225
132;2024-1;41.0
